[2442.217] (S)かなるな: 部屋破壊しそう
[2446.056] (S)zakiyoka: 破壊力が
[2447.660] (S)akahige9280: ひとつの部屋がゲージみたいなもんよね
[2450.617] kamui811: お散歩だったり、お世話だったりやっぱ大変ですからね
[2472.843] (S)and_you02: ちゃんと躾けないと部屋のあちこちでおしっこするからなぁ
[2473.187] (S)akahige9280: tonaka2Nice2
[2473.413] (S)zakiyoka: ないす
[2475.425] (S)えまㅇ: 早いなぁ
[2476.451] (S)ららく: tonaka2Nice2
[2479.617] Umomm00: お金うめ〜
[2482.074] lililllln: なすなす
[2492.602] amiby4u: ないすー
[2498.110] ktuunn: ラジオ見えてきた
[2505.311] (S)ムギちゃ: ラジオタワー警戒
[2506.380] oku_0422: ラジオタワー注意
[2514.828] yudai_kota: 大型犬は1部屋いるぐらいキツい じいちゃんとこ飼ってたから
[2527.966] (S)junn_0212: 買おう
[2534.120] ktuunn: ボイス要るか？
[2535.264] lililllln: ﾅﾁｮｰ
[2539.754] (S)zakiyoka: 癒しは必要ww
[2541.364] yutanatana: 物々交換いいねｗ
[2542.682] doutin0315: なつきー
[2544.636] cowspecterrr: ライ様のボイスは高望みすぎるか？
[2545.584] (S)かなるな: それ昨日コメントにあった
[2546.728] さくぅ_: それいいかもw
[2547.964] yudai_kota: かみーとが買うよ爆笑
[2549.551] munogi: 一旦最低発言か
[2549.751] mochineko___: ひのらんのは？
[2550.800] pwgkpmtjwm: いやーだとしたら2000
[2551.274] (S)じぇにん: なるせボイスでいこう
[2557.867] amiby4u: 交換条件ww
[2562.086] きゅべりあさん: らいさまのチッハーナイスでいきましょう
[2564.643] hokuroo: らいさまチクチクボイスもありだよ
[2564.705] lililllln: ほんまやこっちにはなるせもおる
[2570.323] (S)かなるな: らい様の棒読みボイスの方が価値高いぞ
[2571.493] skylark393: なずぴ、れんくんもお願いします…
[2575.189] ktuunn: ボドカにボイス売るとか？
[2576.543] kobakobabunbun: トトのミックスボイス入らない?
[2580.153] (S)hari_hedgehog: 絶対嫌がりそうだけどnqrseもいいねw
[2584.959] gloria8133: れんくんボイスあればうるーかから何でも貰える
[2585.342] (S)junn_0212: ヘンディーのボイスも欲しいな
[2587.231] オーマーン国際空港: 前サーバーのボイスが
[2591.511] (S)ムギちゃ: ナイス警戒
[2604.754] (S)かなるな: カイトさんボイスキボンヌ
[2605.920] (S)akko818: 危険ゾーンきたか
[2611.716] mochineko___: らい様のボイスもありやなー
[2643.685] lililllln: 警戒◎
[2678.800] gloria8133: 大人の立ち回り
[2680.363] Umomm00: うん
[2681.085] (S)かなるな: へぇ
[2683.639] やきそばぬ: UGさんのモノマネしてるノリアキ
[2687.488] オーマーン国際空港: WTF
[2687.891] はとはと: UGの口癖やね
[2690.944] ネコとパン: ネスじゃないん？
[2695.873] suu110: ｵｹｨｰ
[2698.092] kobakobabunbun: 別にいいんだけどさ
[2698.305] r1r3t: かせん発信かと思ってた
[2700.001] samucd16: UG
[2701.008] (S)zakiyoka: 洋モノじゃないんだww
[2704.035] Umomm00: UGが言ってたのをk4senが擦ってた
[2704.933] munou_tdtk: サトシ
[2706.180] zakidown4: UGやね
[2708.514] ささかまごろー: ｵｩｹｨ～
[2712.070] 黒マスクのりんりん: ｵｩｹｨ
[2714.246] (S)かなるな: 洋物やと思ってた
