[6721.357] (S)yaseig777: ｱｲﾎﾞｰ!ｱｲﾎﾞｰ！
[6735.272] (S)ンパールーパー: ｵﾊﾞｻﾏｯ!ｵﾊﾞｻﾏｯ!
[6766.031] (S)ンパールーパー: うわ
[6775.692] (S)ンパールーパー: あ、寝た…
[6797.283] (S)ンパールーパー: あ！ダルシムの衣装のやつじゃん
[6892.539] (S)ンパールーパー: 顔目立ちすぎな色してるな
[6933.515] __ひびき: 体は竜なのに顔がネズミでこわい
[6943.065] (S)ンパールーパー: 首周り暖かそう
[6966.047] (S)yaseig777: wwww
[6971.019] (S)ンパールーパー: スマブラで言うプリンみたいなやつか
[6991.056] (S)ンパールーパー: お、
[6996.651] (S)ンパールーパー: 寝るの早いwww
[7004.303] (S)Owl__zzz: 降りてこいや！
[7008.065] (S)ンパールーパー: ダルシムも寝てね？
[7025.580] (S)ンパールーパー: 寝ダルシムだ
[7033.677] __ひびき: ダルシムも寝てる
[7043.118] (S)ンパールーパー: ずっと寝ダルシムだ
[7049.223] (S)ンパールーパー: 寝よ
[7052.493] (S)Owl__zzz: ヨガスリープ
[7053.212] (S)yaseig777: ランスしんどそうだなこれw相性悪いなw
[7069.055] (S)ンパールーパー: 河の字になろうね
[7075.148] (S)ンパールーパー: 川の字
[7075.370] adampomsky: こんばんはー
[7114.534] (S)ンパールーパー: ストリンガー(？)弾？
[7119.283] (S)yaseig777: 閃光弾で叩き落とすのがいっちゃん楽ではある
[7145.482] (S)ンパールーパー: かっこよ
[7203.934] (S)ンパールーパー: 流石、ダルシム
[7210.599] (S)yaseig777: 今日はいい仕事するなダルシム
[7232.654] (S)ンパールーパー: 可愛くて優秀だねぇ、ダルシム
[7247.203] (S)Owl__zzz: 頭以外硬いな
[7262.638] (S)ンパールーパー: ダルシム一緒に寝ようね
[7270.499] (S)ンパールーパー: ダルシム可愛かった、今
[7282.220] (S)ンパールーパー: こわっ
[7292.599] (S)ンパールーパー: 間一髪…
[7315.686] (S)ンパールーパー: 耐え！
[7316.661] __ひびき: ダルシム寝てるなぁ
[7316.750] (S)yaseig777: ガジャブー助けて！
[7352.019] (S)ンパールーパー: 寝ダルシムかぁ
[7363.724] (S)ンパールーパー: ぐへぇ
