[84.838] (S)kawach_824: フェスお疲れ様でした！
[84.984] yui_mono: フェスお疲れ様でした！
[85.053] rurumi3: お疲れ様でしたー！
[85.257] ねこもも: フェスお疲れ様でした！
[85.454] よーかん101: 楽しかったです！
[85.681] (S)siraga3: crvaniHello
[85.925] atsu__k: こんばんは
[85.929] ゆっけたや: 配信感謝〜
[86.120] milktea35: フェスお疲れ様でした！！
[86.179] ぱんてぃす: そうっすね！
[86.691] (S)なあちゃぬ: たのしかったです〜！
[86.770] nana_pons: 久しぶりな感じがするね
[86.970] (S)giantpiyo: フェス楽しかった！！
[87.105] リィザ: CRフェス2日間最高でした！お疲れ様でした！！
[87.224] くすくすー: 楽しかったです！！
[87.343] sap_o: 愛してる
[87.358] hatsuna_m: フェスお疲れ様でした！
[87.415] (S)ha7aBoo: ha7aBoo subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[87.555] ranmaru_13: こんばんはー！フェスお疲れ様でしたー！
[88.547] (S)bang_chan_3: フェスお疲れ様でしたぁ〜！！！！
[88.945] ポポキ: お疲れ様でした！
[88.965] mari_kinako_okayu: フェス楽しかったです！！
[89.912] niboshi221b: フェスお疲れ様でした！
[90.050] (S)みわち: ちょっと久しぶりか
[90.068] yukiiichi: お疲れ様でした！
[90.257] (S)rururu3_: crvaniHello
[90.539] みゅんっ: 配信待ってました!
[90.746] na_gi_kn: フェスお疲れ様でした〜！
[90.767] (S)ronchan__: crvaniHello
[90.899] seven_wb: お疲れ様ですた
[90.982] Rains_Jecht: おはよー！CRフェスお疲れ様でした！
[91.173] 秦沅: フェスお疲れ様でしたー！
[91.256] (S)puririnnnnn: crvaniHello
[91.973] (S)しいらぎ: 耳の方は大丈夫ですか？
[92.211] (S)ろぷちゃん: CRフェスお疲れ様でしたー！！
[92.891] あーーーちゃ: そうだね
[93.100] しゃむちゃ: 配信ありがとだよーん
[93.897] xlizly__: お疲れ様〜！！！初参戦だったけど2日間行けてよかった〜！楽しかった！
[93.915] (S)siraga3: お疲れ様でした！！
[93.940] _ふぁる_: フェスお疲れ様でしたー！楽しかったです☺️☺️☺️
[94.114] みゃぉ: フェスお疲れ様でした！
[94.221] tomatobeeeem: お疲れ様でした〜〜！
[94.326] (S)oguratoast_neo: お疲れ様でした！めちゃ楽しかったです！
[94.493] (S)yume_da: crvaniHello
[94.804] (S)海緒: crvaniHello
[94.945] (S)airuka_16: crvaniHello
[95.599] (S)実音: うんうん
[95.777] kotori_10152: 最高だった😊
[95.814] alk010717: 確かに！フェスお疲れ様でした！
[96.200] chia_2416: お疲れ様でした〜！
[96.347] atsu__k: お疲れ様でした！！！
[96.477] kiyooooo111: 声良すぎたよ！
[97.599] ao31004: お疲れ様でしたー！
[98.017] nau_nau21: こんはんはー！CRフェスお疲れ様でしたー！
[98.027] epa_shi: 2日間めちゃくちゃ楽しかったですー！
[98.121] (S)ergngi: お疲れ様でしたー！
[98.155] naru_naruto: フェス楽しかった〜！
[98.293] enchuchu3: お疲れ様でした！
[98.827] (S)kawach_824: RUST後は休養してました？
[98.910] makota2525: お疲れ様でしたー！！
[98.968] よーかん101: スーパーアリーナ大きかったですね！
[99.008] ぐぐぐる: おつかれさま～
[99.046] (S)sase_i: お疲れ様でしたー
[99.064] _ひゅーす: お疲れさまでした！
[99.085] (S)ronchan__: crvaniHeart
[99.118] (S)ここあミルク_: CRふぇすお疲れ様でしたぁ
[99.261] そらまめゆめ: フェスめちゃくちゃ楽しかったですー！！！
[99.311] mno_uo_ou: お疲れ様でした~！
[99.416] (S)あつこ_0609: フェスお疲れ様でした！
[100.322] micheru_17: みんなの声久々に聞けて嬉しかった☺️
[100.410] nanan_ra: お疲れ様でした！楽しい時間をくれて感謝
[100.560] (S)rariru16: お疲れさまでしたー！
[100.704] rinna0615: CR
[100.834] s_y1020: フェスお疲れさまでしたあ！楽しかったです！
[101.023] ore_reo397: フェス楽しかったです！
[101.042] kaora391: フェス楽しかったです〜
[101.175] (S)海緒: お疲れ様でした！
[101.249] めるめ: お疲れ様でした〜！！
[101.732] amincho_n: おつかれさまでした！
[101.825] kotori_10152: 愛してるありがとね〜
[102.089] シナナナ: ~MISSING_MESSAGE_INFO~
[102.255] rei_m71: たくさん楽しめました！
[102.315] gyoza25252: フェスおつかれ！すごかった
[103.147] (S)sanana_7: お疲れ様でした
[103.299] miu18iiii: こんばんは！お疲れ様です！
[103.546] (S)るうるう: CRフェスお疲れ様でした！
[103.722] mimizudayo9: フェスめっちゃ楽しかったですー！！！！！
[103.916] (S)うなちゃんまん: お疲れ様でした〜 
[104.141] 佐田くっきー: フェス最高に楽しかった
[104.148] kana_1753: お疲れ様でした！
[104.425] うしおねこ: フェス楽しかったです！！！！！
[104.449] (S)かなう11: crvaniHello
[104.565] (S)実音: フェス最高すぎたよ、！
[104.580] kokomi0001: フェス楽しかった〜！！
[104.674] びいち: お疲れ様でしたー
[104.683] (S)hina0311jpn: お疲れ様でした！
[105.298] tomi_cha_n: 楽しかったです！！
[105.464] (S)onk_rin: お疲れ様でした〜
[105.596] (S)syksro: CRフェスお疲れ様でした！
[105.748] (S)aco_cha: 2日間めちゃくちゃ楽しかったよー！！！
[106.343] wakana18: お疲れ様でした！！
[106.497] mmmy_m: バニさんめちゃくちゃいい声響いてた！
[106.503] (S)みるめる: お久しぶりです~！お疲れ様でした！
[106.737] (S)lo3zz_: たのしかったよー！
[107.382] ぐるふぁ: フェスお疲れ様でした！！
[107.482] nan_05harapeco: お疲れ様でした！
[107.491] (S)airuka_16: フェスおつかれさまでした！！
[107.529] mi_zu_i_ro: 愛してるよボイス最高だったよ👍
[107.547] (S)しいらぎ: crvaniHeart
[107.607] よよいの宵: お疲れ様でした！！！
[107.619] hhaarukkaa: お疲れ様でした！
[107.624] (S)おじゅじゅ: crvaniHello
[107.640] akauo_1110: ふぇすお疲れ様でした！一緒に楽しめて嬉しかったです！！！
[108.316] (S)かっちょ: フェス楽しかったです！！
[108.500] ナルミ: お疲れ様でした！！
[109.716] tama_min: フェス楽しかったです！お疲れ様でしたー！
[110.128] (S)sleep131221: crvaniHeart￼ 
[110.344] tsurutaro_anm: たのしかったよー！
[110.479] まぐろっ: オンライン組出番長かったべ
