[3268.311] kurage88: このタイミングで？ｗ
[3268.818] kamisimeru: カウンターが一律＋2ってのは教えたほうが良い
[3269.203] crusade893: ふ～どさんも折笠さんより教えてて楽しいだろうなぁ
[3272.246] yoshikawa_yo: 攻撃回数連続2回提示にしてガードと昇龍組み込めばボクシング面白そう
[3272.404] RicQuaresma7: 今日は誰だ
[3272.845] tannkai: だれだ？
[3276.616] ﾃﾄﾗﾝ: なんだァてめぇ・・・
[3284.220] うもだま: ｗｗｗ
[3284.504] crusade893: アフロじゃなかった
[3289.034] perfect_pudding: GTChimp
[3291.416] kakenanz: オーストラリアの男ｗ
[3291.726] kurage88: あべちゃん
[3295.698] kurage88: 威圧してくるｗ
[3296.862] kousen17: 筋肉
[3297.043] ビルニー_ティー_ロマン: 外道？
[3297.560] (S)cafe_gondo: やべえｗ
[3297.581] tannkai: たくましい
[3298.791] (S)フラスク: 筋肉きたー
[3299.953] kamisimeru: 筋肉すごいな～ｗｗｗ
[3300.745] 流川棚: オーストラリアの人かｗ
[3301.096] ぐぐっす: 圧
[3301.211] omedetroit: でたー！！！！
[3301.675] PpAaNnDdRrAa: やベーヤツ
[3303.811] raging_machin3: sugoiiii
[3304.732] ねぎ子: wwww
[3316.448] tannkai: このガタイでこの声ｗ
[3317.036] yoshikawa_yo: 嘘吐きだー
[3317.764] user0511: やべーやつきたｗ
[3318.305] hakogata: 筋肉だけ持ち帰った男
[3321.646] kamisimeru: 見た目はものすごい覚えてる
[3325.416] omedetroit: ジョビンより面白いと噂の
[3328.707] Henshin: muscle desuka
[3333.279] guutara_boy: コントローラーぶっ壊しちゃわない？
[3334.650] scottie_ver03: 筋肉もりもりマッショマンや
[3335.182] typewild9: やべーやつ
[3337.003] korejanai: スト５出来るの？
[3344.045] raging_machin3: Abs-chan
[3345.029] crusade893: 手違いでｗｗｗ
[3346.267] hajimenogunko: bringing the audition guys back is a really cool idea
[3349.333] sumiyoshisan_: 恩人よりカジノをとった男
[3349.493] 56ne5656: 手違いでね
[3350.278] うもだま: 手違いｗｗｗ
[3358.953] kurage88: ニーズｗ
[3367.070] kamisimeru: 「なんか良い」を持ってるなー
[3367.168] うもだま: ｗｗｗｗｗ
[3367.473] psionicpsi: ｗｗｗ
[3367.948] 56ne5656: ｗｗｗｗｗ
[3368.663] korejanai: 1時間ｗｗｗ
[3369.608] tannkai: ｗｗｗｗｗ
[3370.160] pukeshi: ｗｗｗ
[3379.345] (S)イナゴ0213: さすがの浅瀬
[3386.156] omedetroit: もう相当1時間
[3391.648] yoshikawa_yo: おまえよーw
[3396.405] うもだま: はっやｗ
[3412.562] omedetroit: 9roadメンツええなぁw
[3412.621] psionicpsi: ｗｗｗｗｗ
[3415.040] korejanai: ｗｗｗ
[3415.133] user0511: ｗｗｗ
[3416.839] kurage88: ｗｗｗｗｗ
[3422.967] うもだま: ｗｗｗｗｗｗｗ
[3423.434] 56ne5656: ｗｗｗｗｗ
[3423.878] pukeshi: ｗｗｗ
[3424.167] crusade893: ｗｗｗｗｗｗ
[3425.011] tannkai: ｗｗｗｗｗｗｗｗｗｗｗ
[3428.114] sugarsato_: ふざけんなｗｗｗｗ
[3429.203] fliege1515: 基本適当なんだよなーｗ
[3430.820] imurilove: 嘘しか出てこねぇ
[3434.428] 56ne5656: 面白いなｗ
[3436.095] kurage88: 相変わらず炸裂しとるなｗ
[3436.557] scottie_ver03: ふざけんなｗ
[3440.096] tannkai: 高田純次
[3441.136] psionicpsi: パナすねぇｗ
[3443.900] omedetroit: さすがに笑うw
[3446.145] coralbeaf: だいこく食われるぞ
[3448.456] kurage88: 増量ｗ
[3450.093] fatcatz: ﾆﾀﾞｸﾞｯ
[3450.871] kamisimeru: あべちゃん良すぎるわ― あのオーディションほんと面白い人が集まったんだな―ｗｗ
[3451.877] (S)フラスク: ｗｗｗ
[3452.080] 56ne5656: C調過ぎるｗ
[3453.681] dan4909: 適当すぎｗ
[3459.158] fliege1515: 口プレイじゃねぇかｗ
[3461.656] crusade893: 多分弱いｗｗｗｗ
[3475.518] kurage88: 言っていくｗ
[3479.470] vent_odd: 鈴木さんのがちゃんとしてるww
[3481.540] 56ne5656: ｗｗｗｗ
[3482.075] kakenanz: この昔のゲーセンわいわい感よｗ
[3482.815] 寝るポイント: 北斗の拳ですぐ死ぬ奴かな？
[3484.276] ぐぐっす: やめーやｗｗｗｗ
[3485.309] unknown00kuv: 完全にわかられてて草
[3486.171] crusade893: 腹いてぇｗｗｗｗ
[3489.894] kamisimeru: あべちゃんタレントだわ―ｗｗ
[3506.536] うもだま: ｗｗｗ
[3507.674] fliege1515: 言いたいだけｗ
[3510.141] (S)cafe_gondo: ｗｗｗｗｗ
[3510.360] 56ne5656: フレーム覚える前から越えられてたｗ
[3511.954] pukeshi: 処理ｗ
[3524.199] korejanai: さっきの技ｗｗ
[3526.373] うもだま: おお
[3527.206] psionicpsi: うおおおおお
[3527.628] kamisimeru: アベちゃん良すぎるわ―
[3530.117] RicQuaresma7: おお
[3530.917] 56ne5656: そ～ぅｗ
[3531.464] adamsmokey: あべちゃーん
[3534.014] unknown00kuv: カンニングしていくぅ!
[3534.334] roleout: SeemsGood
[3535.710] azaleanHill: ポテンシャルの違い
[3540.014] dan4909: 三味線するなｗｗｗ
