[80.929] ただの絵描き: わこらだ！！！
[81.080] そふぃ3: radaoKitya
[81.734] namatamago427: れいーど！？
[81.848] 愛の林檎: そうなのか
[81.933] (S)t0_ukq: radaoKitya
[81.946] rona0525: おかえり
[81.957] (S)raruaaa: radaoKitya
[82.088] しょーーーん: ま！？！？！？
[82.241] えりさ_: えw
[82.293] (S)霞ちゃん: radaoKitya
[82.410] kanio319: radaoKitya
[82.489] risukao: まあ？w
[82.490] (S)mrgrtpsr: radaoKitya
[82.555] rituha_75: radaoHi
[82.735] (S)miam_1018: radaoKitya
[82.816] かりんとお: わこらだ
[82.848] そらぎ: radaoKitya
[83.020] ウォルフ_: わこらだ
[83.139] 王子かけご飯: 距離感バグ
[83.317] show_918: radaoHi
[83.371] mini_42yoni: きちゃー
[83.373] suzuka0901: radaoKitya
[83.631] (S)ぽりごんのすけ: わこらだ 
[83.841] めじぇどっ: きちゃーー
[83.873] ~MISSING_COMMENTER_INFO~: radaoKitya
[83.878] Ishio_62113125: まあまあまあ？ww
[83.958] maguro_sasimi: おーー
[84.017] ただの絵描き: radaoHi
[84.159] なつおよ: まぁまぁw
[84.452] mbando55: まあまあまあ
[84.534] (S)とあさ: radaoKitya
[84.666] yaaanagi_09: きちゃあああああああああぁぁぁ
[84.896] (S)panno_mimi: radaoKitya
[84.926] シジミン: わこらだ
[85.134] toubun__: レイドくんまじか
[85.253] hima_norita: radaoHi
[85.471] tarou_kakio: れいーどー！
[85.512] さち_: れいーどきちゃ
[85.706] (M)kaname17ksb: !commands edit !member [w/ Nakamu ぐちつぼ ぺいんと 白雪レイド ]
[85.715] mizuiro000: れいーど！
[85.744] nonaru4637: radaoKitya
[85.876] (M)Nightbot: @kaname17ksb -> The command "!member" has been edited successfully.
[85.947] おらみか: radaoHi
[86.242] mituhq: わこらだ
[86.938] 宙海: よそ行きレイード！
[86.973] 愛の林檎: え？
[87.789] batu_0009: わこらだ
[87.874] nekodama2155: まぁまぁまぁ？
[87.905] huminnoko: わこらだ
[88.039] しょーーーん: れいーどきちゃあ
[88.287] (S)~MISSING_COMMENTER_INFO~: radaoKitya
[88.472] miyamiya138: わこらだ
