[2096.810] kitagawakun: 飛びガードさせたらコパ投げとかしてみてどんだけグラップしてくるのかな～とかはわかりやすいポイントかも
[2108.955] canon_203: ここ兄おつです
[2139.257] cjGRAYSON: You can crush counter it but its tricky to time
[2142.311] sh1zuku716: ひろさんがんばって
[2209.012] g3lily: capcomChan
[2220.297] RockJohnAxe: Jiyuna could be like 25% louder
[2229.726] cjGRAYSON: its fine
[2231.731] (S)へたれないず: HeyGuys
[2245.663] (S)kumatedd: プロフェッショナルで言ってた数字がどうのってこういう事なんだ
[2283.347] cjGRAYSON: real sfv online 
[2297.746] cafe_gondo: umePout
[2301.113] kitagawakun: 気合の空刃もある
[2316.876] yoshikawa_yo: ひろゆきみある
[2328.501] kappadulce: oh good a Karin
[2329.408] mAsA0852: 鈴木さんLP近いので親近感
[2338.642] (S)ersansu: ひろゆきはパッドなのか
[2349.554] kamisimeru: 操作しながらそれやるの全然できねえ
[2354.976] kitagawakun: む、よきコスなり
[2379.522] canon_203: スポーツコスはじめてみたわ
[2379.666] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2382.615] (S)kumatedd: うおおおお
[2397.934] yoshikawa_yo: 成長してるなあ
[2402.752] kitagawakun: なんかスポーツコスって冬服と夏服みたいなのあるよね
[2405.880] cjGRAYSON: keep pressing buttons inbetween strings and getting blown up
[2408.513] canon_203: へー
[2410.494] shibaponz: これでシルバーから脱却できないもんなぁ
[2414.563] sh1zuku716: またカリン新しいコスきたのか
[2419.249] (S)kumatedd: ｗｗ
[2426.016] kamisimeru: 何も考えてないことがふ～どにバレる
[2427.416] canon_203: ｗｗｗ
[2427.524] NijiRoi: who's translating right now?
[2432.841] Nuu03: ww
[2435.251] cjGRAYSON: Jiyuna
[2437.681] fliege1515: ｗｗ
[2439.713] canon_203: アンドリュー応援ｗｗ
[2446.509] NijiRoi: thanks brother
[2447.132] toyopi0901: かわいいw
[2448.227] kitagawakun: 何も考えていることを考えている
[2453.625] RockJohnAxe: @NijiRoi Jiyuna
[2458.130] yoshikawa_yo: ちがうかーw
[2459.395] kamisimeru: なんとなく行動がバレル
[2459.564] (S)suzume_s: 初心者は「何してくるんだ」で頭いっぱい
[2467.439] NijiRoi: @RockJohnAxe ye thanks
[2467.826] (S)kumatedd: 先生こえー…プロや
[2477.790] (S)miharasan: 今日は何配信？ 自己？
[2508.151] canon_203: ふーど先生「人読み講座」？かな？
[2517.277] (S)miharasan: （画面見えないから）
[2523.804] yoshikawa_yo: くそw
[2531.169] (S)shochann: バックステップの件は、俺もびびったｗ
[2541.288] cafe_gondo: 面白い
[2542.270] gypsy2603: 三原さんこんばんは
[2545.076] cjGRAYSON: Necalli gets faster in vt?
[2548.575] golddanball: かくはん・・・
[2561.237] canon_203: メンタル配信だったか
[2563.880] kitagawakun: かりんサンバイザーつけた状態で上着だけ脱いでほしいな
[2572.388] kappadulce: c'mon suzu get in there!
[2580.298] (S)miharasan: shamrock100
[2604.734] canon_203: みはらさんチアー
[2617.431] (S)kumatedd: なんだそのクローバー 可愛い
[2623.704] nepentheses: なんか周りうるさいのなんで
[2626.479] kemononeko: myersHmm
[2634.049] canon_203: スマブラ大会っす
[2636.899] watafork: スマブラの大会やってるらしいよ
[2648.089] chiicama2525: 音声の設定ってどこから？
[2650.811] (S)miharasan: 中野ですか？
[2653.090] sh1zuku716: 最近ラウンジやるとシルバーブロンズに猛者結構居て結構負ける byスパダイ
[2656.420] canon_203: 中野っす
[2656.830] (M)ayuha167: うっすスマブラです
[2665.329] (S)miharasan: （移動中なので、音とチャットしか見れないｗ）
[2672.878] ヒゲ眉の化身: 設定は自分のPCで
[2677.384] canon_203: マニアックな観戦だｗｗｗ
[2684.177] (S)kumatedd: おー
[2704.540] ヒゲ眉の化身: 心の目
[2704.598] (S)suzume_s: ラジオ感覚かな？
[2721.471] canon_203: 今鈴木さんネカリとかりんの方が対戦中
[2723.795] kappadulce: gah
[2759.270] (S)kumatedd: 決まってないなら行かなくていい！
[2765.515] (S)kumatedd: のか
[2769.521] (S)suzume_s: 相手に動かされちゃうよね
[2788.179] GremlinTakahashi: mada
[2788.293] kitagawakun: ウチの近くの横断歩道に『迷ったら 走るな 動くな 次を待て』って看板立ってるよ
[2798.178] cjGRAYSON: yup
[2806.818] yoshikawa_yo: くそー禁止な！w
[2809.396] canon_203: ほー
[2809.979] (S)lucita_lapita: 今日は成長してる感じがする
[2816.102] (S)ersansu: 刺さるなー
[2842.959] nepentheses: 相手の気持ちになってみるんだ
[2844.730] canon_203: 鈴木さん最初に比べたらすげーアブレッシブになったよなー
[2850.195] Gonkbrass: Seriously, the commentary/translation is so on point!
[2853.104] GremlinTakahashi: ちゃんと原因を分析できるのはいいね
[2891.422] Chazbarth_: time for CC button
[2908.272] cjGRAYSON: CC
[2916.357] cjGRAYSON: stop all that nonsense
[2928.677] nulo_: Smash players 
[2980.909] 7akase: おお、置きも連打も一緒 というのは目から鱗
[2996.744] GremlinTakahashi: おいてたから食らう 気づいたね
[3010.849] krtwitch2013: ノコノコ行ってｗｗｗ
[3012.915] (S)kumatedd: なんという理知的な…
[3035.732] cjGRAYSON: the yomi absolutely
[3044.091] (S)shochann: 全部ｗ
[3044.569] canon_203: 100ｗｗｗ
[3066.776] Mogul_Kahn: hey.. where daigoz
[3097.797] Mogul_Kahn: it's okay, I will have to learn some japanese then 
[3149.730] Gonkbrass: What if Jiyuna doesn't even speak Japanese?! What if the whole commentary is just all made up!? Mind blown...
[3151.274] (S)lucita_lapita: 鈴木さんもガンガン質問していいね
[3163.275] canon_203: やるき勢だ
[3168.062] (S)kumatedd: 今日の鈴木氏はおびえてない！いいぞ
[3182.776] penitarou0515: 同じlpだからマジためになる
[3211.843] semmelboesel: :D
[3212.307] Mogul_Kahn: @Gonkbrass that could be a possibility.. we will never know
[3222.481] Gonkbrass: Ahhhhh MonkaS
[3241.280] Mogul_Kahn: how long did it take you to be fluent in Jap Jiyuna?
[3254.138] cjGRAYSON: the yomi, the meta
[3258.400] (S)lucita_lapita: 鈴木さんの圧
[3272.073] user0511: もうリュウの使いの心失ったふーきゅん・・・
[3282.985] kamisimeru: やっぱダッシュ投げにはおいてないと駄目だな
[3283.122] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[3294.472] canon_203: おー
[3304.199] cjGRAYSON: stand outside the range of cr strong and hit that roundhouse
[3372.539] kamisimeru: おいナウシカいるぞ
[3374.903] (S)kumatedd: 小動物のような鈴木さん
[3376.895] (S)lucita_lapita: 近くが怖いのわかるわw
[3376.914] user0511: やりまくってれば怖くなくなる
[3389.072] kenitama: おれもこわい
[3391.637] canon_203: 以外と鈴木さんがネカリにやられたらネカリの強さに実感もてるのかもね
