[828.678] (S)港区ザンギエフ: どぐら式の解説しときませんか？
[828.787] あすか002: 笑い話になれたしね
[828.834] cuchibirusan: 結構会場うろうろしたけどどぐにゃん見れなかったよ〜
[831.573] gate25horse: EVOJお疲れ様でした！大会終わりでスミマセンが、今年は海外大会は行かれますか？調整後すぐに、サウジ予選を兼ねたアメリカ大会ですけど？ Cheer100
[845.568] kaiji0424: キャラ変えは調整次第って感じですか？
[849.515] njpw2017: 自分も謝るけど実際対して悪いことでもないという
[856.048] sannpann_twich: ひぐちはドリームハック行く予定みたいだね
[857.603] (S)ぶれお: 調整直後すぎやしなあ
[865.060] yuyucyannn: やっぱ豪鬼盛り上がったね
[865.917] (S)kuronoizayoi: 去年どぐらさんにGGST1回勝ったよって伝えたら100点満点っす！って言ってくれて嬉しかったので今年は初日プール抜けたましたって伝えたかったのですがエンカウントできずでした…
[866.123] shikokuzei01: 日本の大会は出たいっすね
[868.492] p4seri: 豪鬼wkwk
[868.552] (S)港区ザンギエフ: ザンギがめちゃ強くなったらまたザンギに帰って来てね
[870.926] (S)g_dms: お疲れさまでした 鉄拳8のパッチノートもきました
[872.702] h1ran0p: 試遊台、誰か調整入ってないか確かめてくれんかなぁ
[879.698] あすか002: 明日は試遊する人相当増えそう
[893.407] ippo0606: そうなんだ
[895.735] nyancoromochi: ありゃりゃ
[897.393] (S)ekiben_taro: あんだけ人いたらなぁ
[898.885] shikokuzei01: そりゃ人気者だし
[903.755] pawafu1_: 仕方ない
[904.878] (S)港区ザンギエフ: 仕方なし
[905.392] kitori_17: 売れっ子ですねえ
[906.979] (S)ぶれお: あんだけ人いたら無理やで
[909.529] yuyucyannn: そりゃねぇ
[912.268] Matetya: お忙しい中で写真撮っていただいてありがとうございました😭
[914.043] h1ran0p: 1人対応すると列並ぶからね
[914.130] gustav1117m: どぐらさん、キンバリーのコスプレしてる人と写真撮ってる所を見たわ。
[914.537] shingo_015: 喫煙所で写真撮らせて頂きました、ありがとうございました！
[916.866] (S)鉄板: 会場内でやったら大変や
[920.958] tobias0930: 移動するだけでも一苦労やしな
[922.998] カモナベ: 確かにそうなんすよね…
[924.788] obiheart: EVOJお疲れ様でした。喫煙所行くたびにどぐらさん行列に対応しててすごいなーって見てた
[925.177] kitori_17: 始まっちゃう
[925.997] (S)うちま_: 喫煙所でどぐらさん入ってきた時ビビって声かけられなかったですわ
[927.791] (S)acrofiora: というか忙しいそうなのにすまなんだ
[928.980] ippo0606: 一人受けると並ぶもんね
[929.442] yuyucyannn: ウメさんもサイン会開くぐらい人多かったもん
[930.060] juno0220: 豪鬼・スレイヤーPV再チェックありますか
[930.435] akasanz3x: 売れかけおじさんとは違うな・・・ｗ
[931.578] (S)scare16g: 売れた
[934.562] 吉田じんぎ: ３日目が空いてたよね
[934.795] toto3210119: 人が凄かったからね
[935.109] shikokuzei01: しかもエボだからどぐらさん知ってる人のほうが多いし
[935.738] こんぽち: 見かけたけど、「おるなあ」って眺めるだけにしてました…
[936.182] 七_: なんかプール戦見てるタイミングで悪くてすみませんでした
[936.950] goma_dara: 会場内に列できるスペース厳しい
[939.845] vanvan1up: こく…
[940.722] カモナベ: そういう意図だったんすね。しょうがないっすね確かに
[942.506] 3hashibirokou: ジャスティン例のポーズ流れまくってきて笑った
[942.717] くおお: 列すげー
[942.962] (S)鉄板: すーぐ大行列出来てて人気すごいと思った
[949.240] あすか002: CR凄いなー
[950.396] (S)roubushin123: roubushin123 subscribed at Tier 1. They've subscribed for 8 months! こんにちは。昨日のウォチパとても面白かったです。ありがとうございました。
[950.525] (S)港区ザンギエフ: 次はウメさん枠にどぐらさんINかな
[950.968] akasanz3x: こく、KSK・・・
[951.202] KAZUMETAL1014: でもまぁ見れただけでも嬉しいんちゃう？
[957.830] (S)ぶれお: おびさん初めて生で見たけどいかつくてびっくりしちゃった
[964.943] (S)ayataqa11: つい先日DJマスターいけました！どぐDJに憧れ、スト6買って半年近くかかりましたがようやく土俵に上がれた気がします笑 どくらさんと対戦出来るようにまだまだ精進します！
[975.487] (S)港区ザンギエフ: おめでと〜！
[976.287] (S)keipopoo: 喫煙所の有名人エンカウント率すごかったと聞いています
[982.058] sannpann_twich: シュートはPWSブースで400人以上にファン対応してたらしいね
[985.370] てーなーありが: DJマスターおめでとう！！
[986.234] pawafu1_: マスターおめでと～
[987.412] atoz428: 釈迦さんの試合注目度すごかったですね
[987.900] h1ran0p: ブースでサイン会しますね〜とかがあると嬉しい かもしれない
[990.019] kaiji0424: 最近MENAめっちゃ勝ってないですか？
[990.649] 七_: スレイヤーバカかっこよかったからギルティ村帰りながらストやります。
[992.765] shikokuzei01: 大須さんが完全にカメラおじに間違われたのマジっす？
[993.518] (S)港区ザンギエフ: 喫煙所、凄いな…
[998.786] bon0227: アケコンとか買ったりしました？
[1000.224] ーおろー: 喫煙所は穴場
[1002.370] (S)鉄板: 喫煙所行けばマジで誰かプロがいたレベル
[1002.418] goma_dara: 店舗ブースのサイン会とかはだから神やった
[1006.774] あすか002: 穴場すぎた
[1006.781] kusanotsuki: 釈迦さんのケツはどうでした
[1014.030] (M)(S)ぱぱすぬわ: わたくしギアさんと対決してきました
[1014.321] (S)ksks0628: menaはずっと勝ってる
[1026.972] あすか002: 喫煙は無限にプロが集まる
[1034.452] 吉田じんぎ: 朝も居ったな
[1034.920] s____1lo3: Cheer100 どぐらさんEVOJお疲れ様でした!! サインとツーショもありがとうございました；； 遠巻きに2日間ずっと追いかけ回しちゃってすみませんでした；； 言い忘れちゃったんですけど、黒髪めっちゃかっこよかったです!!
[1035.684] (S)港区ザンギエフ: 釈迦なるどぐらの3人と会える喫煙所、とんでもないね
[1038.605] arutoda: 鉄拳もうやらないの？アップデートきとるで笑
[1039.006] サケ缶: 来年見に行きたいんですけど会場って毎年違うんですか？
