[2659.699] asm1dep: わからんかった
[2661.203] ezoharunobu: イワーク見えなくね？
[2661.959] (S)柚真: みえない
[2664.229] urimubo: バグ
[2664.692] (S)イナムドゥチ: 映ってなかったよねw
[2668.249] daiahon: 見えなかった
[2668.916] peeman09: 普通にボコボコにされてた
[2671.021] コンソメあいく: どーゆーゲーム？
[2671.319] hikar1nn: バグまじか
[2671.871] hunk_r7: あもさい
[2675.278] あぷあぷえる: 透明能力持ち！？
[2677.891] mashasi1015: 致命的すぎるww
[2683.490] ramiabb: 霊感ない人視点
[2687.146] right_daga: 霊感なし
[2693.547] 北川だよ: てことは撮ったビデオにも何も映ってないんじゃねw
[2694.167] あぷあぷえる: 霊感なしかぁ
[2694.336] spiwdggf: 楽しそうやな
[2711.630] minmin_uw1211: 兄妹みたいやな www
[2712.245] u_cchi: 会話なりっ立てないｗ
[2721.141] あぷあぷえる: ロスト？
[2729.924] Aug_Leaf: https://clips.twitch.tv/PopularHealthySpiderRedCoat-_WPJRpPmV7fA1QiR
[2746.682] tanaksan: あれ？w
[2747.427] (M)Adazx: wwwwwww
[2750.146] 臭めのこかりん: wwwwwwwwwwwww
[2752.067] right_daga: ？？
[2753.043] maru__2127: ｗｗｗｗｗｗｗｗｗ
[2753.893] チビレナス: wwww
[2756.581] Aug_Leaf: vodkav2Bad
[2757.916] spiwdggf: LUL
[2758.074] WtYnT: wwwwwwwwww
[2762.515] オリカナ: WWWWWWWWW
[2853.218] 優しい乙女: 絶対画面酔いしてるだろ
[2857.747] (S)kaputinon777: 画面もうちょい明るくしたら視認性上がるかもしれん
[2889.934] spiwdggf: ペットボトルにしか見えん
[2892.454] spiwdggf: 麦茶やん
[2926.740] (S)Skyhi_20: 今きたけど組み合わせ珍し
[2932.398] あさヒ: w
[2933.446] shon3058: www
[2933.872] オカっち: LUL
[2937.625] オリカナ: WWWWWWWWW
[2947.368] togari28: おもろいめんつやん
[2955.426] (S)kaputinon777: 【神回】
[2991.060] あさヒ: ww
[2995.360] spiwdggf: ピストン🤔
[3035.494] y4eww: ｗｗｗｗｗｗ
[3037.908] mupo123456789: チェンソーマンはやばい。
[3041.928] spiwdggf: LUL
[3044.136] shon3058: www
[3049.640] (S)Skyhi_20: ww
