[1427.746] aru_ichi: hi the guy who is playing with daigo is a pro player too ?
[1451.485] wahaha7788: 6は対空昇竜なんかきついから空対空に切り替えた
[1455.178] (S)bobonchuaaaa: このリュウ同キャラ熱すぎるな
[1472.025] (S)taketin0109: 製品版でもリュウが最前線で戦える性能だといいね
[1488.431] Roxy_ovo: yes
[1488.723] ひろみつー: つ、つよい！
[1492.877] maddy2623: ちょｗ
[1493.194] une3333: ボタンがｗ
[1493.808] (S)マンゴスチン: つんよい
[1497.895] kiton_taichi: 翔にぃつええ
[1498.187] (S)一1990: いつものヒトボじゃなかったから負けただけ
[1499.843] だいこん_: 翔くんつえー
[1501.613] (S)刹那エフエイセイ: メンバーは？
[1504.617] akasanz3x: 店長セッティングｗ
[1514.963] harumak1_: どなただろう
[1516.513] nanaadhd: 翔くん一番勝ってるな
[1518.731] (S)naginagi99: Kakeru aka Uzura
[1519.820] buretan555: グローブ装備勢おる
[1523.755] suginaka56: つよーい
[1525.130] guilegairu: ここのゲーケン行きたいんだけどどこにあるの？
[1525.265] (S)bobonchuaaaa: 5でもリュウを使い続けた男は面構えが違う
[1527.800] donekofg: やないくんよね
[1528.587] (S)ラバヤマゲオ: yanai0Naguritaikao
[1535.436] moricocoa: 道着が本業
[1536.563] gettyozi: やないさんは配信慣れしてるなあ
[1537.875] (S)yut7xot8: かける兄期待大！！
[1542.228] (S)Nao_iwt222: やはりリュウといえば翔よ
[1542.868] オワオワタ: ルーク落ちしてたやん
[1545.157] bec118_japan: また店長が成長しちまう
[1554.364] harumak1_: やないくんか。だいぶイメージ変わったね
[1557.035] (S)junjamaica: ヤナイひげ生えてるやん
[1561.553] chiri2992: βでランダムマスターになったの翔さんだっけ
[1565.456] Vitamin_Z7: is that kawano?
[1566.652] kiton_taichi: いぶし銀メンバー、SFLで活躍してほしい
[1572.067] ロミヲ: 翔ウメというリーガー外の私闘
[1578.829] (S)yut7xot8: 顔もカッコいいから活躍したら人気でそう
[1584.611] buretan555: NO kawano
[1585.919] (M)ANIMEILLUMINATI: ダイヤモンドガイルです。今から行きます 
[1586.343] kaomoji3: no kawano
[1594.144] やきにくマン: スト6ゲーセン、見るたびに豪華になってる
[1598.595] だいこん_: レンタル用ヒトボ常備
[1600.232] akasanz3x: hit boxの貸し出しありなゲーセン
[1604.471] (S)junjamaica: 昨日届いたのね
[1605.283] goozy009: 途中からウメハラいぶし銀参戦とかだとおもろそう
[1606.707] サラバア: アンドリュー！？
[1611.070] tabibitox: あんどりゅーｗ
[1614.021] moricocoa: jiyuna来るの？
[1614.187] potocki1810: おひさーーアンドリュー
[1622.939] yuzubox: アンドリューｗ
[1625.394] harumak1_: いぶし銀はSOLから出る可能性もあるからね。
[1628.261] (S)brutal9998: いぶし銀はリーグ出てない
[1633.674] aliyome: アンドリュー久しぶりじゃん！！！
[1638.530] (S)junjamaica: うめちゃんの右のひょっこりはん誰？
[1656.583] がぶのみコーラ: ゲーセン開店してたか
[1659.299] ootsukemono: おお人がいっぱいが
[1663.054] sengoku_iori: ガイルまだ体験版に実装されてないけど、来るんか？
[1665.950] akasanz3x: きたな
[1667.188] (S)~MISSING_COMMENTER_INFO~: 誰か来た
[1668.131] harumak1_: まだ増えるのｗ
[1672.840] yamanashi_sp: いぶしぎんは熊本と提携した
[1673.860] yo5hhhh: さっきのSakoさんの波衝撃くつ中いいね そっから電刃
[1674.021] ガチくんコス転売ヤー: ウメちゃん来た！
[1675.661] tabibitox: ほんとにきたの？ｗ
[1676.267] koro3__: ご来店だ
[1687.534] moto357: めんおじがボタン変えに来た？
[1691.744] akasanz3x: ワンチャンささもにいアウトで交代があるのかもしれない
[1693.889] Dakaa: can i buy a hitbox in new zealand
[1698.042] はらくだり: 誰来た！？
[1699.714] j_zima: j_zima subscribed with Prime. They've subscribed for 42 months! 
[1703.418] (S)super_fluo: 松田翔太系のイケメンやねかけるくん
[1707.376] aru_0928: 夜はトパンガ鑑賞会になったりするの？
[1708.377] yamanashi_sp: いぶしぎんゴールド
[1709.374] sengoku_iori: メンおじ？アンドリュー？
[1714.938] ぷろしぃど: モザイク
[1715.688] サラバア: ぼやぁ
[1716.832] Papapadad: sakoさんモザイクが
[1716.865] poposuke: ぼやぁ
[1718.218] ~MISSING_COMMENTER_INFO~: ささもアウトってなんかあったの？
[1722.667] harumak1_: というか活躍してなかったら誰だろうが交代可能性あると思うで
[1725.563] (S)junjamaica: ピント外したかおじ
[1738.207] hato_pizza: 今日休んでるだけ
[1738.300] (S)naginagi99: リミットないって言ってたからトパンガ始まっても気が済むまでやり続ける可能性
[1742.348] だいこん_: ヌキさんのゲーム来るか
[1744.541] wahaha7788: 老眼視点助かる
[1751.424] (S)せんじ肉: モザイクかかってる
[1754.659] akasanz3x: トパンガ関係なくやるでしょｗ
[1756.105] (M)(S)gameinntwitch: Webカメラってピント固定できるんだろか
[1761.815] サラバア: 活躍関係なく交代は既定路線まであると思う
[1763.260] inosukerin: 松田龍平にすごい似てる気がする
[1764.982] HirocoT: 老眼視点ｗ
