[60.544] まじっくん: ガチでおめでとうほんとに
[60.555] (S)Slide_no_Tatsujin: batoraSuki
[60.599] shisyamooooo: batoraNagare
[60.654] (S)minatoyssy: 結婚おめでとう！
[60.691] bossneko616: batoraNagare
[60.812] mountain_dimple: きtらあああああああああああああああああああああ
[60.868] (S)歌い踊り舞う私はマララ: この度はご結婚おめでとうございます。
[60.899] yuriyurisankaku: 結婚おめ
[62.133] (S)めがっちぴー: 結婚おめでとう
[62.144] 3lolow: お幸せに 
[62.149] ニンニクマン: おめええええええ
[62.535] もちもちぴもち: batoraNagare
[62.611] uoxou_zzz: なになになに
[62.613] hogehoge0821: batoraSho
[62.642] ことよせふみの: おめでとうございます
[62.674] きっぺ: 子ども！？
[62.697] untimusyamusya: プロポーズ成功したか
[62.707] ヴァンホーエンハイム: マジおめでとう
[62.770] (S)m20jayo: batoraTeinei
[62.776] tamaco_5: きtらあああああああああああああああああああああああああああああ
[62.815] ni_na_caramel: こんばんは♪
[62.819] (S)サブスク配りおじさん: 結構おめでとう！
[62.851] gaku0x0: batoraNagare
[62.867] (S)kuuuu_poke: おめでとう！
[62.906] (S)kuro837: 結婚おめ
[63.127] fy17d: んほほ
[63.291] chifool: おめでとう！！！！
[63.345] (S)kitana2875: batoraNagare
[63.348] (S)babakokoga: マジでおめ
[63.438] roxas_sorakun: この度 
[63.655] (S)グッチはな丸: え？え？え？どっち？
[63.684] (S)Riz126: おめでとう！！！！！！！！！
[63.760] shucli: batoraNagare
[63.830] ももでび: おめでとう
[63.842] (S)ikarou64: おめ！！！！！！！
[63.868] whitechoco1999: 流れ
[63.871] pppp25i: プロポーズ成功したか
[63.909] kirananashi: 流れいいですか？
[63.946] khaaaki: 結婚おめ
[65.312] ~MISSING_COMMENTER_INFO~: 役所は揃ったな
[65.321] kuriyama_t_aki: 改マリ許可降りたのおめでとう！！
[65.362] こさけけ: ちょっと酒買ってくるわ！！！！！！
[65.389] 田中タイキック: 田中タイキック subscribed with Prime. They've subscribed for 18 months! 
[65.494] hvfhffvjfnfuffdbnbfdu: kyleclutchGG
[65.512] ザナック: 昇級おめ
[65.529] (S)gu9qsa1h7vz1: ZETA
[65.545] ruri014: 結婚おめでとう‼️‼️‼️‼️
[65.580] (S)pandasan_power: batoraNagare
[65.586] wanwaaaan: しこしこしてたのに
[65.604] (S)センダ: batoraNagare
[65.618] fleshfishman: 離婚おめでとう
[65.642] フィヨルドランドペンギン: batoraSho
[65.723] 3toyy: スタイル「流」
[65.743] ひぽ_: 5億まじかw
[65.831] green222777: 離婚おめ
[65.883] (S)ちょろのん: まず名を名乗れ
[65.900] (S)komatsu0829: 病み上がりプロポーズおめ
[66.154] (S)山田亮介: 結婚おめ！！！！
[66.157] binaryStars10: 退職おめ
[66.195] vxfjbvx: すんばらしい
[66.245] (S)コンマスターだよ: おめ
[66.314] shiron_03: 流れ
[66.360] (S)Slide_no_Tatsujin: おめ
[66.393] irohasu84: はやまるな
[66.434] あのもの: 緊張する
[66.538] sasa_0506: 退職おめ
[66.640] ひより4509: みんなでさ結婚式盛り上げにいくよ
[66.742] atattake: 今日7日？
[66.802] (S)m20jayo: batoraTeinei
[66.902] saba_kan__: 結婚おめ
[66.945] yakutsun: 配信やめるの？
[66.947] (S)もふおじ: batoraNagare
[68.588] makou2023: ご結婚おめでとうございます㊗️
[68.591] (S)nemo_1729: さすがにはんぜういかないわ
[68.617] (S)ya_taze: batoraNagare
[68.654] natadetulip: batoraNagare_TK
[68.763] (S)ine_dayo: batoraNagare
[68.769] 出所しました: ビッツ解放したらどうだ
[68.793] shunsakukunn: おいずるいぞ
[68.812] kuuuu_momomo: まじかまじかまじか
[68.869] みそキ60日間: 頑張って
[68.885] batoneyazof: 死刑判決まじかw
[68.963] yapayapa23: まんぜう軍突撃
[69.073] nununu_ma: 結婚おめ
[69.122] lucky_pherrow: 結婚まじ？
[69.126] エリカ嬢: はやく
[69.185] apple_pie0827: どうせ流れ定期
[69.291] もちもちぴもち: batoraNagare
[69.330] (S)smnalover: 結婚おめでとうございます！
[69.521] balance_091: おめ
[69.633] f4fireboy: batoraShino
[69.715] ANAPA0000: サブスクください
[69.775] (S)ふじわらもとお: これどっちだ？？？？
[69.821] (S)Reborn7031: この 
[69.833] 究極体: おい
[69.962] gerupa: batoraNagare
[69.983] leaf0229: いつ入籍するんだ？
[70.009] (S)はんぺん太郎: まじでうれしい
[70.154] ebizochan: なに笑ってんだよ
[70.220] suger4628: 結婚
[70.355] ネン: おめでとう
[70.363] yasop_no_musuko: おめ
[70.427] daiku_man: 引退まじ？
[70.562] kato__hero: 離婚してくれ
[70.613] rokurokurokku: うおおおおおおおおおおおおお
[70.795] (S)たふぐみ: batoraNagare
[70.839] (S)苗木: なにわろてんねん
[70.858] たくあんや: 結婚おめ
[71.996] ursnsym: 結婚おめでとう！！！！
[72.064] raidenshintarou: あ
[72.107] nanana_b: 結婚
[72.132] hachikawa3: 流れきた？
[72.203] wrwig: 結婚きtらああああ
[72.205] enmtpity: おめ
[72.267] kok_kai: 結婚きtらあああああああああああ
[72.280] yanadass: 結局流れはどうしたんだ？
[72.303] しおりんしおり: うんこちゃんみたいに結婚式配信してくれよな
[72.370] meishou_poichi: ZETA加入きｔらああああああああああああああああああああああああああああああああああ
[72.407] ぽまたん: それはおめ
[72.473] roto_mu: プロポーズの言葉はなんですか？
[72.495] rarawawori: 結婚おめ
[72.525] (S)桜えな: おめでとうございます！
[72.596] watapaku: 流れいいっすか？
[72.763] marusuupuu: ハイエナやめてね
[72.801] てつはう1234: おめでとう
[72.820] (S)ichinose7: おめでとうございます！
[72.826] sheik822: 結婚おめ！
[72.970] (S)mirulia33: batoraNagare
[72.974] bigbaby0529: 退職か？子供か？結婚か？
[72.976] suppekepe2718: batoraNagare
[72.979] nyonyo3333: クカw
[73.226] takenad: コメはっや
[73.389] (S)村紗あざらし: batoraNagare
[73.504] えむてぃーだよ: batoraDance
[73.617] (S)cocoro_kaze: 結婚おめでとう
[73.631] もちもちぴもち: batoraNagare
[73.649] saitoh_cytosis: batoraNagare
[73.651] (S)frorida_22: この反応ガチですw
[73.724] whitechoco1999: はやくはやく
[73.810] raborabo_012: 骨延長手術かな？
[73.905] menico38: おめでとう🍾親父に挨拶したか？
[75.068] (S)inomu: batoraNagare
[75.103] ばくすい: おめでとうございます
[75.142] (S)ふじわらもとお: どっちだよ
[75.179] bemaoimi: 結婚おめ
[75.228] yamamotoyoshinobu: 結婚おめw
[75.262] katojun_saikyo: 本命結婚 大穴会社辞めた
[75.364] toaroya: よお
[75.471] daniel71521: ついにです、か
[75.510] tpod0: おめでとう！！！！！！！
[75.559] 岩谷翔平: 結婚まじ！？
[75.568] untimusyamusya: は？
[75.575] natadetulip: batoraNagare_TK
[75.699] まゃか: FallWinning
[75.748] fussack: まんぜういくわ
[75.754] gyokuto_0818: これで結婚じゃなかったらどうすんだよｗ
[75.755] se_dona: お前なにもなかったらっわかってるだろうな
[75.774] konbini7: BloodTrail
[75.797] (S)tired_maan: 同接チラチラしてタイミングはかるのやめて
[75.798] (S)はるまくん: 結婚おめでとう！！！！！
[76.068] yasaiprince: 一旦はんぜうの話題挟め
[76.111] meishou_poichi: ZETA加入きｔらあああああああああああああああああああああああああああああああああ
[76.121] (S)asakarasushi: batoraSudachikun3
[76.218] 184games: 病気なおしてからでいいんじゃねえの
[76.280] (S)センダ: batoraNagare
[76.330] (S)ョーグル: ョーグル subscribed with Prime. They've subscribed for 3 months, currently on a 1 month streak! 結婚
[76.368] shinotoshiteru: batoraNagare
[76.459] (S)Panicattheradio: おめ
[76.480] (S)ｸｶのゆい: きｔらああああああああああああ
[76.742] 絵馬にょ: 結婚おめでとう
[76.797] やつはし: どういう「流れ」だったのかだけ教えてくれ！！！
[76.809] raidenshintarou: 結婚
[76.884] 沈黙の金曜日: 結婚おめでとう！！！
[76.888] tomatomats: はよいえよ！！！！
[78.171] マロッシュ: 結婚か
[78.204] モアイ像: 今までありがとうございました
[78.224] arstack9000: サブスクください！
[78.235] (S)take__1201: batoraRikime
