[99.352] (S)poniapipipi: うぇーい
[99.705] (S)こねこ__: ういーーーーーーーーー
[99.791] (S)とっぷっぷ: とっぷっぷ subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! おい！待ってたぞ！
[100.407] (S)サシミさん: ういー
[100.567] (S)yukiyu1124: hiirag17Boss
[100.579] (S)minamiarupusu550: hiirag17Boss
[101.256] (S)tanao0209: MRG win!! 
[101.840] (S)the_goku_sf: こんちゃー
[102.023] (S)inugami_lemon: こんー
[102.072] お松156: こん
[102.383] (S)Haru_Hanami: uni100
[102.446] (S)gilebish: 会長の起床〜
[102.605] (S)coral_leaff: うぃ〜
[102.929] (S)左久良深琴: hiirag17Boss
[103.074] (S)ruler_0906: うぃー
[103.347] (S)柳龍光: おい、ムラッシュの試合みろ！
[103.373] (S)ねこきゃっと: ういー
[103.559] sababababa_: はろー
[103.637] (S)pprin11: pprin11 subscribed with Prime. 
[103.803] (S)~MISSING_COMMENTER_INFO~: まってたぜい
[103.811] きみどりふくろう: こん
[104.092] nayyyuu: PopNemo
[104.235] (S)かみんちゅう: うぃー
[104.692] (S)memo_036: ういーーー
[104.954] (S)nekone12345: 早番
[105.117] おるろ: こんばんは
[105.150] (S)naanana__2: こんーー
[105.165] klimentine0221: ういいいいいい
[105.427] (S)minminmint0: hiirag17Boss
[105.576] (S)hijaring: まってたよー！
[105.639] (S)purinchan_05: hiirag17Boss
[105.651] nkso7: こんちゃー
[105.773] (S)keitokurara: DinoDance
[105.821] (S)servath98: せいじゅうこんばんは
[106.094] (S)rinto_cie: こんちゃー
[106.200] (S)hoppe__3: こんちはーーー
[106.290] (S)pariri622: やろかー
[106.449] touhu_00: こんにちー！
[106.568] (S)ひづるん: こん
[106.598] (S)08ryyyyy: 声かれてるんか？
[106.825] (S)じゃーむず: hiirag17Boss
[107.073] (S)suisui_pp: こんー
[107.698] (S)tome_o: hiirag17Boss
[107.721] (S)yanomatelia623: 性獣の起床～ｗ
[107.847] (S)asagi_9999: こんー
[107.863] (S)fuuatsu1: GoldPLZ
[107.927] (S)moteamotea: やろややろや〜！
[108.091] oner_jp: うーい
[108.171] (S)taketake_r: かいちょーーーーー
[108.182] phil_metang: まってたぞい！
[108.314] sanasana0101: こんちわ〜
[108.872] (S)konpota2051: こー
[108.971] (S)そやのうゆ: hiirag17Boss
[109.278] (S)gate_maxim: お願いしますm(_ _)m
[109.485] (S)jozo0858: こんちゃ
[109.782] (S)mochi___koko: やぁー！
[110.338] iam_seina: こん
[110.542] (S)D4zq1: こん
[110.693] すなぼサンド: unkochanYaa
[110.758] (S)rotta_0720: hiirag17Fight
[111.417] (S)nozum1: GoblinJam
[111.424] (S)nanonanoo2: ｵｵｵｵｵｲｲｲｲ! 衛門ならムラゲ見ろｵｵｵｵｵｲｲｲｲ!
[111.548] (S)nekuran2: ういー
[112.121] (S)ymk_346: うぉいー！！
[112.413] (S)gu_mama: gu_mama subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[112.571] (S)k4sum1kun: こんちゃー
[112.593] (S)ゆずらーめん: おつとつ
[113.017] ~MISSING_COMMENTER_INFO~: 色々とは
[113.083] (S)seiyu_mame: 待ってました〜
[113.117] (S)bubu_0830: うぉいーー
[113.285] (S)yuyu_s: まってたーー
[113.325] (S)konishi625: おつかれーい
[113.366] (S)nagisa_7373: こんー！
[113.366] (S)servath98: ムラ月ツルギ
[113.509] prvplean: こん
[113.592] (S)ugokuhouseki: こん
[114.455] (S)keitokurara: hiirag17Boss
[114.486] muntim7: んちゃー！
[114.694] (S)tanao0209: MRG win!! 
[115.415] karina081010: お願いしまーす！
[115.752] (S)takec1230: おひさー！
[115.916] (S)ひまわりジャンプ: ちゅき
[115.996] (S)ruler_0906: まってた〜
[116.510] (S)みや5123: ええんやで〜
[116.568] (S)妙に足が速い鳥: こんばんは‼️
[116.641] icebear09120: うぉーい
[116.678] (S)左久良深琴: おちゅかれたま
[117.152] kajiki44588: おつかれ～
[117.349] (S)moteamotea: うぉい〜
[117.556] gagatgaw: ういー！
[117.706] (S)かみんちゅう: 待ってましたー！
[117.770] (S)fineday43ab: ういういー
[119.092] (S)sukomiso: BloodTrail
[119.128] (S)kirin_171: 楽しみに待ってました〜〜！
[119.205] try5ds: 休んだっていい
[119.256] (S)minminmint0: うぃいいいい
[120.001] (S)yuyu_s: ありがとーー
[120.240] (S)nekone12345: おつ
[121.488] (S)aixxx35: ほい！
[121.677] (S)れあちゃー: こん~
[121.689] (S)coral_leaff: hiirag17Boss
[122.716] (S)もんぬサマー: 休みの間も切り抜き助かった！
[122.932] (S)yuinfj: hiirag17Boss
[122.951] touhu_00: まってた！
[122.963] (S)akashiyki: 頑張ってんねぇ色々！
[122.972] (S)bite_m_: ういいいいい
[122.981] (S)アカハラ9: hiirag17Bbb
[123.190] お松156: お疲れ様やで
[123.201] (S)v1ster1a: 元難波、、、
[123.810] (S)keitokurara: 獣の起床〜
[124.291] (S)ymk_346: やるぞー！！
[124.522] annrrinn: ういいーーーー！！
[124.777] kei04050: こん
[124.791] yumifujita: ohayo
[124.999] (S)のーるん: まってたよー
[125.031] (S)bubu_0830: 久しぶり性獣
[125.212] sanasana0101: きたああああ
[126.458] prvplean: GoatEmotey
[126.802] (S)とっぷっぷ: ブクブクブクブク
[127.136] (S)kuro_5417: hiirag17Boss
[127.208] (S)みや5123: 性獣は俺の方やった…見てたよ
[127.250] (S)the_goku_sf: 楽しみに待ってました〜
[127.961] (S)エメラルドスプラッシュ: あざす
[128.169] kein3150: こん
[129.614] (S)自由な白猫: やったー！！！
[130.318] (S)fineday43ab: ばちこりね
[131.174] (S)まるコゲ: ふうー！
[131.218] (S)_おかき_: まってたー
[132.425] (S)もんぬサマー: うおおおおおおおおおおお
[132.735] (S)ぷてらナッチン: ぷてらナッチン subscribed at Tier 1. They've subscribed for 4 months! うえええい
[132.998] icebear09120: かみかみです
[133.403] (S)uchan_17: hiirag17Boss
[133.943] (S)Rche0: BloodTrail
[134.159] (S)ririwo: こんばんは！
[134.468] daicore: やあ
[135.191] karina081010: うおおお
[135.436] (S)自由な白猫: お疲れ様！！
[135.998] (S)かみんちゅう: ばちこりー、
[136.491] (S)yu10km: hiirag17Nice
[136.880] (S)fineday43ab: ガチ番ね
[137.700] (S)miki3mickey: こんにちは~~
[137.806] you219: いいね
[137.940] (S)kayupom: こんー！
[139.323] (S)chan_nemu: いろいろ乙ですわー
[139.999] (S)akiakaak: いったれー！
[140.536] (S)servath98: いきなり見せ場
[141.159] (S)yanomatelia623: 飲食盛り上げていけ
[143.189] (S)るぁ__: www
[143.363] (S)もんぬサマー: ブクブクブクブクブク
[143.740] (S)naotar0san: ﾎﾞｺﾞﾎﾞｺﾞﾎﾞｺﾞｫ！しないの？
[144.362] (S)therock1106: こん〜
[144.642] tanaka_friedchicken: 性獣の起床ーーーー！！！
[145.423] (S)kein_morte: こん
[145.834] (S)saint_4649: キター！
[146.035] (S)ymk_346: でたwww
[146.455] (S)v1ster1a: w
[146.639] (S)のーるん: お？？？？？？
[147.018] (S)konishi625: いったな
[147.975] (S)moteamotea: 性獣の起床〜！
[148.027] (S)ufxnfy: 客来い！！！！
[148.169] icebear09120: wwwww
[148.546] (S)yanomatelia623: あ
[148.735] (S)火陸: やーめた
[148.747] aisha1242: 言ったな？
[148.908] (S)servath98: りぃーあるなぁ
[149.035] (S)aixxx35: ふ〜ん
[149.151] (S)kasteera: はいはい
[149.178] (S)まるコゲ: 楽しみにしてたぜこんにゃろー！
[149.622] (S)bubu_0830: 言ったな
[149.833] (S)グラフォン: チルって言ったら大体何か起こるやーつ
[149.992] (S)はるちゃぁんんん: hiirag17Boss
[150.673] kei04050: ええて
[150.857] ~MISSING_COMMENTER_INFO~: ？？
[150.979] (S)るぁ__: はい
[151.060] (S)ゆずレモン3: はいはい
[151.096] karina081010: ww
[151.248] (S)kirin_171: 性獣ツルギ切り抜き面白かった
[151.895] (S)the_goku_sf: がてぃ？？
[151.967] (S)seiyu_mame: ほんとか？
[151.971] (S)coral_leaff: ほーう？
[152.403] (S)fineday43ab: 暴れろ
[152.438] oner_jp: 嘘つくなw
[152.956] (S)yapland: hiirag17Nice
[154.101] (S)t28013: t28013 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[154.188] (S)minminmint0: でた
[154.191] (S)もんぬサマー: 暴れんだよね
[154.285] (S)saitengrat: うおおおおおおい！
[154.308] (S)かみんちゅう: はいはい
[154.528] (S)ruler_0906: はいはい
[154.551] (S)bite_m_: へーー
[154.753] (S)~MISSING_COMMENTER_INFO~: ちょっと妥協すな
[154.972] (S)ゆずらーめん: ロケラン？
[154.976] sgs_sora_76: 性獣見てきたよー
[154.989] (S)jyuu_jyuu: ちょうど切り抜き見てた！
[155.190] お松156: 定点カメラ
[155.195] (S)ugokuhouseki: いつも通りじゃねぇか
[155.377] (S)na_na_na27: ウソ月
[155.423] (S)つなうみ: はいはい
[156.389] とんこつ饅頭寿司: いいよ暴れて
[157.124] (S)ヤベ助: ヤベ助 subscribed with Prime. They've subscribed for 2 months! 
[157.655] (S)utakay: 言ったな？？
[157.672] (S)ねこきゃっと: はいはい
[157.856] (S)poniapipipi: 是非暴れてくれ
[157.890] (S)コウヘイ114514: いつも通りやな
[158.281] annrrinn: ラーメン屋定演カメラ
[158.342] (S)マイジャグラー4: ガチイク！
[158.410] (S)moteamotea: www
[158.600] you219: 賭けるか？
[158.820] (S)sansansan0: ふわっとしてんな
[158.889] (S)minminmint0: 暴れるやつ
[159.141] (S)ドーロローン: 言質とったやで
[159.310] (S)orikaru_wcat: おいす
[159.347] (S)seeaamo: ういういういー！
[159.535] ふるるふるる: いつもじゃん
[159.997] (S)eitarok: だせ！
[160.212] sanasana0101: 暴れろ
[160.213] (S)kuri0099: wwwww
[160.429] (S)dragon_5545: 性獣の起床ーーーー
[160.479] kinonoko020: いつも出してるやん
[160.664] (S)まるコゲ: いつも暴れてますやん
[160.683] (S)のーるん: 暴れる確定？？？？ｗｗｗｗ
[161.103] (S)エロエロザンギ: 丁寧なフリありがと
[161.592] (S)マッチ__: だせ
[161.706] (S)v1ster1a: うんうん
[161.917] ゆーーべ: じゃあケツだしながら暴れるじゃん
[161.919] (S)rybjag: wwwwww
[162.121] すなぼサンド: いいよ
[162.390] (S)tya_low: 信じない笑
[162.598] (S)~MISSING_COMMENTER_INFO~: いらんかも
[162.741] (S)かみんちゅう: 暴れるってことね
[162.766] oner_jp: あ
[162.904] (S)kein_morte: いつもやん
[163.437] (S)ゆずレモン3: 賭けして
[163.560] sababababa_: けつだせー！
[163.846] (S)coral_leaff: ほないつも通りか
[164.040] (S)エメラルドスプラッシュ: なんのアレでもなくて草
[164.058] (S)bubu_0830: ケツは出してくれ
[164.261] karina081010: 獣のようにw
[164.278] (S)こねこ__: 期待しとく
[164.500] (S)tks0327: 出したいだけやん
[164.720] (S)jyuu_jyuu: ぶりぶり？
[164.762] (S)mochi___koko: またまたぁ！
[165.145] (S)もんぬサマー: じゃす！？
[165.199] micheru_17: 暴れるの期待してる
[165.426] nanakorobi_yaoki00: ないす
[166.027] わかすぎ07: おはよう
[166.098] (S)servath98: けっ？
[166.123] (S)ufxnfy: 切り抜きみたで！
[166.846] yumifujita: 出前依頼
[166.881] (S)yapland: hiirag17Ha
[167.069] (S)pin_dot: ようは暴れるとw
[167.205] (S)かみんちゅう: ケツだせー
[167.287] (S)fineday43ab: ば、ん
[167.591] christiandior0805: 純！？
[167.651] (S)ginpengin: セイ・ジュウさん
[167.874] (S)グラフォン: BANされてけー
[168.080] (S)kitei33: いつも出しとるやん
[168.285] kein3150: すーぐやぶりそうwww
[168.304] (S)yanomatelia623: ケツ確定やん
[168.455] (S)takec1230: ケツだし確定
[168.498] (S)adminisu: ラーメン屋さん耐久
[169.927] (S)あんパン旨い: 色々な意味で怖いよ
[170.029] gagatgaw: ban
[170.269] (S)ebiebi0509: 助かる
[170.323] ootuked: いつものことじゃん
