[3337.584] (S)ありやんさん: かわいい本田みたいなとこあるから
[3419.502] (S)鉄板: 昨日の話題をすぐに動画化してくれてまめスパいつもありがとう
[3420.937] (S)はっぽん: これやらかしたら5分ぐらい落ち込む
[3439.681] 咲パンマン: どぐらさん昇竜対空はやたら上手いですよね
[3443.397] (S)ありやんさん: 引きずる負け
[3463.078] (S)コムコムぽん: こんばんは
[3476.416] popenpain: 出せば基本落ちますもんね
[3484.881] (S)ありやんさん: まめスパ 仕事が早い 有能
[3497.710] (S)kukukurin: ん？
[3508.713] hamham9999: 昇竜持ってるキャラずる過ぎる・・・
[3538.070] juno0220: でも俺等パンピーからしたら昇竜も同じくらいでねえんだ
[3603.541] cstp__: ラッキー
[3641.955] junfgk: キンバリーってもう終わったんですか？
[3650.213] (S)acrofiora: ほとばしった
[3661.484] judicialscrivener: マノン、ザンギでリリーに勝つ方法教えてください
[3663.406] (S)LooseDash: こんどぐ～
[3676.623] ryuu_1227: キンバリー2日強すぎやん
[3676.772] pakorepukins: BibleThump
[3680.550] モリケイ: キンバリーは速駆けやった
[3688.214] tig_hag: まず風貯めを止める新技を待ちます
[3698.606] (S)美濃屋善兵衛: 風を溜めさせない 方法？分かんない
[3712.315] pakorepukins: ザンギもなんか溜めればええねん
[3720.131] cstp__: エスパー中デカジェ当てよう
[3724.133] ジンーさん: 溜めキャラに慣れると昇龍テンパるっす……
[3731.750] (S)anemone_act5: 一部キャラをやると分かる、このゲームで触りに行けるのがどれだけ強いか
[3746.447] tig_hag: リリーのEX突進早すぎてマジで無理
[3782.934] 咲パンマン: OD突進にリバさー 確定させんのめっちゃしんどくない？
[3789.215] kakiflysmile: DJ
[3794.614] junfgk: いわゆる弱キャラ先にやってたら後々楽になってくるのか
[3801.432] (S)aquari_s: ほうほうほーう
[3815.034] kakiflysmile: DJを使っているのですが、めくり飛び対策ってどうしたらいいでしょうか
[3820.957] falcanon: こんばんは。
[3824.988] saikin_tomato: 自分、プラチナ2のジュリなんですが、ダルシムの勝率10%以下なんです…ダルシムってクソ強キャラなんでしょうか…
[3826.251] しぼみ: ﾊﾒﾁｭだ
[3859.362] じんー仁: こんどぐわ。頭突き、コンドル、キャノン、ローリング、突進技いくらなんでも早すぎな気がしないでもないけどあんなもん？
[3885.932] (S)青木は: ガンガンッ
[3897.418] (S)ありやんさん: 体調悪いと反応できないよね
[3898.285] (S)美濃屋善兵衛: こんどぐわー
[3905.088] juno0220: こんなもんじゃない？
[3914.994] モリケイ: 5の突進技ってゾンクとか？
[3916.166] (S)keipopoo: 5のEX突進技たちはすごかった
[3926.423] (M)墾田永年私財砲: チャリオットタックルからエイジスッケイ！
[3927.870] (S)ありやんさん: 7ｗ
[3931.501] cstp__: でも5の突進はガードされて確定じゃなかった？
[3933.687] じんー仁: はま寿司でたとえるとサーモンみたいなもんってことかな？？
[3937.245] (S)aquari_s: 12やべーや
[3951.366] tambo567: いうて、攻撃判定は6の方がデカい技多い気がする、飛びの出がかり引っかかる
[3956.728] 咲パンマン: トリガーあると、なぜか突進技ガードから攻めが始まるのも
[3970.589] pakorepukins: ハーイ！ハーイ！
[3971.994] (S)mori_123: 今レジェってどのくらいなんだ？ライン
[3973.307] 五味むつみ: 足払いに立大K
[3974.859] juno0220: ステップとかも止めたいしで
[3991.107] 五味むつみ: 確定取りやすいってリリー会議で言ってましたね
[4019.477] bohyuu: カップ焼きそばって言ったらやっぱ一平ちゃんだよなぁ！
[4024.452] 闘劇のアルベルト: てつさんまでスト6配信始めたらどうなってまうんや…
[4032.391] (S)ありやんさん: ペヤング
[4042.431] unimel1x: ごつ盛り
[4042.900] (S)ぶれお: レジェンドラインさすがにまだ2100はいってないのかな？
[4050.376] gajonaori: 拾えたほうが気持ちいからすこ
[4073.033] tambo567: 弾とかもギリで飛ぼうとすると当たるもんなぁ
[4076.424] ryuu_1227: あ
[4116.663] じんー仁: そんな弾にひかかってまうとか たまったもんじゃないねぇ！弾だけに
[4135.327] ~MISSING_COMMENTER_INFO~: くぎゅのやられ声もえー
[4149.806] judicialscrivener: リリーの投げスカリボイスの「あれ？」ってやつ可愛くないですか？
[4164.563] mineraldoll: こんばんは～
[4173.094] juno0220: ｳﾝｺﾃﾞﾁｬｳ!
[4175.189] (S)horikawa_r_i_k: リリーが…
[4190.157] abura0: ブランカのSA2ほんと強いなー
[4233.665] ryuu_1227: すご
[4234.662] (S)LooseDash: リリーの昇龍って対空無敵短いのか？
[4237.197] (S)musi_namazu: オーバーキル
[4267.456] (S)ありやんさん: 無敵なかったような
[4289.754] ryuu_1227: どぐらさんの催眠動画観ました
[4294.588] こう___: いまのリーサルうま
[4299.056] OldTypeOji: OldTypeOji subscribed at Tier 1. They've subscribed for 22 months, currently on a 22 month streak! 
[4325.789] (M)墾田永年私財砲: cagdogBugi
[4338.184] (S)田中脊髄剣田中: cagdogBugi
[4370.241] (S)LooseDash: cagdogBugi
[4372.119] (S)鉄板: トマホークバスター対空無敵はあるでしょ
[4399.428] (S)LooseDash: ケンの弱昇龍は1-14でリリーのは1-10なんでほんのちょっと短いのかな
[4411.592] Taler0605: トマホークバスターは１Fから対空無敵あるぞ
[4480.843] かたとび: ODトマホークバスター、1から投げ無敵もついてるの知らんかった
[4489.321] (S)美濃屋善兵衛: 怖い
[4490.251] ryuu_1227: こわい
[4490.479] 5922tententen: 1900突破
[4491.184] (S)LooseDash: どうしたん・・・？
[4497.980] どくとといわれるもの: 対戦ありがとうございました！密着こわい
[4498.496] tobias0930: 1900かあ 順調すねえ
[4505.472] Taler0605: キャラが・・・
[4508.228] (S)acrofiora: 大人しくしてもらおう
[4508.998] (S)musi_namazu: お疲れ様でしたー
[4512.223] Uesaka11: ODエアロリ有利なんいまいち納得できないんですが…
[4531.207] (M)墾田永年私財砲:  [本日の更新動画のコーナー] キャラダイヤを語る上で大事な相互理解について  https://t.co/CySOrDPaJ1
[4531.960] (M)墾田永年私財砲:  ゴリラになるどぐら   https://t.co/5apIeYWA5t
[4549.111] (S)aegis32006: 有利というよりバックジャンプから出るほうが納得いかん
