[1013.466] blackcoffee0821: ドクロは持ってたらまずいの？
[1016.147] akash1k4: ミスった場合の捨てられる説明した？
[1030.370] (S)brunoman1: さあ、やろう
[1036.901] umetyaahan: カード無くなったらドボン
[1047.147] akash1k4: 手持ちがランダムで捨てられるのか、選べるのかの説明はした？？
[1047.335] necomuraneco: スカルやってくれてありがとー
[1096.207] sai927: ｗ
[1098.197] (S)berurusuko: むずかしいね
[1099.471] なのだぁ: ？
[1101.785] zenosc9: ランダムと選べる説明はした。伝わってるかどうかはさておき
[1102.637] melvin_1023: あのｗ
[1104.176] (S)ましゅダヨ: なになにww
[1104.740] nameless_774: ｗｗｗｗ
[1105.324] zzzoejp: ｗｗｗ
[1106.113] v_harumi_v: ｗ
[1109.168] フルりん: 俺カルビと全く同じこと下から笑えねぇや
[1109.615] nameless_774: ブラフ
[1110.022] (S)CampFire71: こいつらｗｗｗｗ
[1110.413] helmetcage: ｗｗｗ
[1111.096] sai927: 攻めたのか
[1112.859] methotrexate_aym: ｗｗｗ
[1113.046] deahale151: トラボがこくキレさせたってのががぜん気になってきた笑
[1113.112] 清和源氏: あのww
[1114.761] ShimoyamaP: 4はさすがに
[1115.725] (S)tanukirobo: ww
[1116.474] akash1k4: ブラフね
[1117.072] toro0524: オールパス？ｗ
[1118.962] une3333: 4はちょっと多いよね
[1119.747] (S)donekofg: だれものらず
[1119.839] donguri_prpr3: ｗｗｗ
[1120.401] ライム_: みんな自爆するなｗ
[1121.495] (S)ringo_35: www
[1123.362] えび作: 草
[1123.864] (S)シャンウー: ほんきのけんき
[1124.328] (S)chainsawman4: カルビ状態
[1124.422] dorayann: ｗｗｗｗ
[1124.891] ~MISSING_COMMENTER_INFO~: karubisBatan
[1125.943] zenosc9: ｗｗｗｗ
[1128.020] まちゃどがお: ほんきのけんき
[1130.234] (S)ringo_35: ww
[1131.667] (S)イエール: ww
[1131.890] une3333: 乗せる気なら4はちょっと大きいねー
[1132.137] yumis4n_: こんばんは
[1134.407] toro0524: 焼肉
[1134.957] ufj_atm: みんなドクロがんがん置くな
[1139.667] (S)ましゅダヨ: ストリーマーは攻めますww
[1140.473] derwace_lifolve: かるびも策士だったかぁ～
[1142.660] nameless_774: ３くらいで様子見よ
[1142.816] (S)CampFire71: 暴挙ｗ
[1145.422] ぼっち王子: トラボ多くね？
[1145.547] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[1148.310] (S)berurusuko: ドラボがドクロばっか出してるのにこくじんがブチギレただけだよ
[1154.911] umetyaahan: トラボ
[1155.652] なのだぁ: 重ねたいなぁ
[1156.467] momomon_y: 理解しすぎだろｗ
[1160.939] (S)CampFire71: 怒られたトラボ
[1166.910] v_harumi_v: ｗ
[1168.765] sai927: ｗｗｗ
[1171.141] ~MISSING_COMMENTER_INFO~: karubisButa
[1171.560] une3333: 相手を潰したがるタイプかー？
[1172.953] danny_love_danny: 人読みw
[1172.977] (S)johndoe6523rp: 置きたがり
[1178.158] une3333: 喧嘩w
[1180.685] (S)ましゅダヨ: そんなに考えてドクロ置くんか？ww
[1192.099] クラクラ777: かさねる めくる 格ゲーじゃん
[1199.369] (S)CampFire71: ええｗ
[1202.245] tyantse: こいつらｗ
[1202.646] リエオ: おー
[1203.543] une3333: もこうさんなんでこんなに耳に近いの？w
[1205.078] blackcoffee0821: いくー
[1205.191] (S)ましゅダヨ: ええええ
[1205.859] 新ころりん: これはクレイジーラクーンｗ
[1206.707] nameless_774: もこうは経験者
[1211.065] Pai02: ハイタニさすが
[1211.777] umetyaahan: ここはハイタニの唐草
[1212.864] v_harumi_v: いいね
[1220.428] クラクラ777: ほう
[1221.725] nameless_774: ドクロかもよ
[1223.133] まちゃどがお: 合計で7枚よね
[1239.083] une3333: いいねー口プいいねー
[1253.063] 満ニラ: もこうはリピーター
[1254.542] Pai02: 会話が楽しいゲームだからな
[1260.071] クラクラ777: もこうつえーぞ
[1263.656] (S)ましゅダヨ: ( *¯ 口¯*)なー。
[1271.745] (S)brutal9998: かるびは突っ込むな
[1274.221] melvin_1023: おいｗ
[1278.072] sphere121: アホ
[1278.127] tyantse: ｗｗｗ
[1278.194] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[1279.243] zzzoejp: ｗｗｗ
[1280.032] 戸愚呂妹: wwww
[1280.154] ~MISSING_COMMENTER_INFO~: karubisUooo
[1280.505] クラクラ777: ぐいぐいｗ
[1280.523] (S)日本語かな: かるびww
[1280.577] なのだぁ: 崩壊しちゃう
[1280.614] ddb365: ｗｗ
[1280.839] 5don: ww
[1280.957] sai927: ええええ
[1281.205] bikibiki999: うそでしょｗ
[1283.805] ぼっち王子: karubisDebu
[1283.849] (S)ましゅダヨ: 負けず嫌いやねんw
[1283.872] nikukuisugi333: え
[1284.707] tyantse: あほの子
[1285.035] まめっ子: まじかよw
