[1202.591] highspeedwarakia: 弾は下当身でも取れますお陰で斬強化空対策で使えます
[1205.015] 多抜深夜: 投げ地獄
[1205.579] asseternum1: hmm dis
[1208.303] tobika13: 柔道決まった
[1210.299] kamisimeru: 投げ投げからの裏切りの投げ
[1216.915] (S)redbull_daisuki: 投げ殺したw
[1217.559] higan1983: 柔道
[1218.291] jigokunonekomatu: ヴァナヲララの中段こすりほんますこ
[1222.863] (S)ふぁびかん: アビ対策なんですか？
[1224.962] dekamega: 投げは捨てているか？
[1230.390] Gordstorm: シンプルにうまい
[1231.648] kibayashi21: 投げる投げる
[1232.160] terramystica: 灼熱機能しないのか
[1234.024] Fumomo: JUST TAKE THE THROW 
[1235.403] (S)ウィルスミスビンタレベル8: Kuboやん
[1236.668] medard222: 今アケコン使いますか？
[1248.412] feel2525: うおおおお
[1249.975] (S)FENR1SWOLF: i like how he´s startin to play more and more aggressive with Kage
[1254.277] 黑暗骑士盖亚: キエー
[1255.422] umememe: こえー
[1260.962] omegazwalt: 仕込みにひっかかったー
[1263.513] dekamega: Ｖトリ使わせない計画
[1263.549] balthazar000: 今は棒じゃないかねぇ
[1268.399] Reqvhio: bleach mr. kubo 
[1269.846] kamisimeru: ゲージフル活用
[1269.895] jigokunonekomatu: キエエエエエエエ？
[1273.339] showsbsp: あれストームだ
[1274.948] NecroSeth: Daigo should just stick with Abigail
[1275.903] (S)ソルダ: 流石に強い
[1278.886] 多抜深夜: これは絶対下がっちゃだめだね
[1280.664] tekiro800: リスナーチェックされた
[1282.807] miracle_ace: 盗んでいこう
[1290.532] jigokunonekomatu: ムトース久保
[1291.616] oceans11: さすが古来からのアビ使い久保
[1292.271] horikawa_r_i_k: スキル1の意味のなさスゴいな
[1294.048] khumama: この最弱キャラつよくない？
[1299.443] balthazar000: 流石アビ使い。引き出し多い。
[1300.159] k_zetton: これはいい久保
[1300.259] showsbsp: SSランクに返り咲いた
[1300.296] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[1302.942] asseternum1: is he on hitbox or stick ?
[1306.075] Gordstorm: 仕上がりはや
[1306.336] Raynys: @NecroSeth Abigail has many bad matchups
[1308.391] ericbrt_: Hallo from Brasil
[1314.453] menma1993: the beast
[1315.664] ryo330: 投げの減らなさがやばい
[1315.802] showsbsp: stick
[1322.078] omegazwalt: Vスキル1対決か
[1323.577] (S)FENR1SWOLF: i think he´s on stick seein as he DPs and axe kicks consistently lol
[1325.694] guaiarui: ｗ
[1326.307] (S)ふぁびかん: 1100もりもり
[1328.236] NecroSeth: @Raynys and Kage doesn't?
[1329.089] papipopon: すっげ
[1332.403] hogeHogeo: ｗｗ
[1333.523] ゆや96: こんだけ投げてもｗ
[1335.676] ericbrt_: i am your big fun
[1337.978] asseternum1: yea i was wondering
[1338.220] ぼぜ: 投げすぎｗ
[1338.760] AggressionJV: throw fest xD
[1339.392] jigokunonekomatu: 今年の久保は楽しみだね
[1342.601] チュイさん: VT2no
[1343.286] domontyan: もりもりいかないと一気に５６されそう
[1345.584] DarkBorne6: is that the music for the stage?
[1346.449] Raynys: @NecroSeth for sure, but Abigail much more.
[1348.254] omegazwalt: 圧あるな
[1349.315] retro_ff: 久保ちゃん一応前シーズンの蓄積あるし
[1352.977] junchang31: 歩くね〜久保
[1354.316] (S)tabibitox: 空中波動あたりやすそう
[1355.489] Reqvhio: jeep
[1363.797] dekamega: 抜けた！？
[1365.199] showsbsp: めーつ！
[1366.418] (S)redbull_daisuki: アビは強くしなくてもいいやろ…
[1366.814] asseternum1: van
[1366.985] ShMashiro: @DarkBorne6 abigail
[1374.326] reklats12: 今年はアビラシにしないでほしいわ 調整に期待
[1376.269] NecroSeth: @Raynys I don't think you know what you're talking about lol. I've played both of these characters extensively and Kage feels way worse. but idk how it is now
[1377.662] kibayashi21: デカイから逃げ場がない
[1389.728] Raynys: @NecroSeth kid please, shut up 
[1392.195] Wideawakeanimal: what does kage say when he throws the red fireball?
