[5432.861] (S)シャケ猫: 配信者、弟者ね
[5439.522] himeji_joe: 知ってても今話広げる？ww
[5445.400] inufu: おはこんばんにちは？
[5450.124] esaki12: 2Bro
[5476.741] (S)シャケ猫: おちんついて
[5477.102] himeji_joe: やば…
[5492.205] aqua12344321: ブラパ1回鳴らさないと壊れないこと覚えてるかな？
[5492.347] himeji_joe: しなしなになっちゃった？
[5512.700] さくぅ_: tonaka2Kuuuuuun
[5517.115] (S)owo_8o8: ﾆｹﾞﾛｰ
[5567.415] (S)zakiyoka: おしい
[5570.163] (S)owo_8o8: おしー！
[5571.027] (S)kyubeisan: おっしいー
[5571.044] himeji_joe: あん
[5579.029] inufu: おしい
[5602.393] (S)シャケ猫: 投げてみよ
[5605.155] himeji_joe: で？w
[5653.032] (S)シャケ猫: ないす
[5656.788] (S)owo_8o8: tonaka2Nice2
[5657.323] (S)zakiyoka: ないす
[5658.479] (S)junn_0212: 葛葉さんいるかと思った
[5664.992] さくぅ_: tonaka2Nice2
[5745.393] (S)masa10714syoy: masa10714syoy subscribed with Prime. They've subscribed for 10 months, currently on a 7 month streak! こんばんは
[5774.007] (S)junn_0212: ww
[5777.288] (S)シャケ猫: www
[5778.843] papillon779: w
[5779.506] (S)大きな寿司: ｗｗｗｗｗｗｗｗｗ
[5779.669] (S)owo_8o8: wwww
[5781.905] euc_ordinary: めちゃびびった
[5782.057] m1tara4: www
[5783.433] (S)シャケ猫: ないす
[5784.694] (S)kyubeisan: wwww
[5796.283] inufu: www
[5832.479] (S)zakiyoka: ないす
[5833.138] ~MISSING_COMMENTER_INFO~: VALORANTトーナメント観戦のプレゼント t.ly/cEy31 t.ly/cEy31 t.ly/cEy31 t.ly/cEy31
[5833.783] (S)owo_8o8: tonaka2Nice2
[5834.054] (S)kyubeisan: ナイスー
[5838.979] inufu: ナイス
[5859.212] (S)シャケ猫: tonaka2Nice2
[5901.556] (S)zakiyoka: ないす
[5902.448] (S)owo_8o8: tonaka2Nice2
[5905.507] (S)kyubeisan: ナイス
[5907.845] inufu: ナイス
[5910.912] さくぅ_: tonaka2Nice2
[5926.027] euc_ordinary: こわ
[5937.513] (S)シャケ猫: たべる？
[5939.614] sun_hidamari: 楽しそう
[5956.808] fka1445: 配信見てるだろw
[5995.575] (S)zakiyoka: ないす
[5997.865] (S)owo_8o8: tonaka2Nice2
[6000.925] (S)kyubeisan: tonaka2Nice2
[6001.352] さくぅ_: tonaka2Nice2
[6011.848] (S)zakiyoka: tonaka2Faito
[6058.764] ryo_ta_pqpq: つよ
[6060.861] (S)owo_8o8: うおぉ
[6096.896] (S)シャケ猫: ないふぁい
[6110.888] (S)zakiyoka: nf
[6111.619] (S)owo_8o8: nf〜
[6117.523] inufu: nf
[6129.518] さくぅ_: nf
[6137.751] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[6149.281] (S)シャケ猫: どうなってんのー
[6163.280] (S)シャケ猫: 気をつけて
[6171.555] (S)owo_8o8: おやつダァ〜〜
[6233.336] inufu: 美味いやつや！
[6252.397] (S)シャケ猫: 過ぎちゃったらもうわからん
[6275.063] (S)owo_8o8: ww
[6278.568] inufu: わいはチーズ味好き
[6279.818] しょうゆとんこつ: 約束になってないのよ
[6290.425] (S)シャケ猫: 日とかね
[6316.716] (S)owo_8o8: ほん〜まにすごい
[6328.281] (S)シャケ猫: え
[6332.413] (S)大きな寿司: ？
[6337.276] fka1445: ？
[6338.714] (S)kyubeisan: ？
[6349.818] (S)シャケ猫: 汗とかね
[6368.113] dippzy____: そもそも抱えきれんやろ
[6369.713] sun_hidamari: なんの話だよ
[6372.368] inufu: いらないもん洗浄して出してるんや
[6382.894] (S)シャケ猫: 塩分濃度って知ってる？
[6404.490] (S)owo_8o8: へ〜〜〜
[6420.124] himeji_joe: 高炉の近くで働いても一緒
[6421.124] (S)シャケ猫: こわ
[6430.232] c0nan23: 東海がやってたね
[6448.118] (S)シャケ猫: 代謝がいいんだね
[6453.647] dippzy____: そんなことないけどねｗ
[6460.390] (S)owo_8o8: 尿が出るのが正常だよw
[6488.072] (S)シャケ猫: 太陽やん
[6492.618] dippzy____: 重り背負ってるから。。。
[6508.374] (S)owo_8o8: wwww
[6509.912] (S)kyubeisan: www
[6512.315] カイジ07: 食没ね
[6514.716] inufu: www
[6531.606] (S)zakiyoka: 見てみたくはある
[6533.745] inufu: え？ありけんてあほなの？
[6548.865] (S)シャケ猫: トリコ見てないなー
[6555.690] suu110: ひるのよるさん
[6562.816] (S)リザ画伯: ノリノリさんやん
[6578.189] inufu: トリコ、トイレした後10kgおちる
[6579.519] dippzy____: ニキ体調復活したんや
[6586.110] (S)owo_8o8: 夜ラーメンいいね〜
[6594.733] suu110: まざさん舞台稽古じゃないの？
[6595.683] (S)シャケ猫: いいなー
[6606.117] himeji_joe: パスタ食ってるイメージしかないカセンさん
[6610.449] さくぅ_: 何ラーメンかな
[6616.164] (S)シャケ猫: 塩分染みるよなw
[6633.602] (S)シャケ猫: へー
[6642.389] (S)kyubeisan: ほぉ
[6642.526] himeji_joe: 予約助かるなぁ
[6653.657] (S)シャケ猫: レストランやん
[6752.587] チェリーくん: フィーさん
[6766.810] (S)owo_8o8: ウズウズ
[6783.473] sun_hidamari: それなりのレベルが求められるよね
[6789.992] Juicewisdom: axeumSip
[6795.498] himeji_joe: うぉちぱ
[6804.836] keita0704: TSとTLNだし自分のチームではないねw
[6809.795] (S)はおちゃ: 自チームの時ウォチパできなくなったら困るから飲酒しないって言ってた
[6812.006] dippzy____: 義務でウォチパしてるよ
[6816.151] まろ132456: ボドカさんのチームは予選なので配信ないですよ
[6876.716] keita0704: ぎ、むですか...
[6889.591] akt045: 義務ウォチパやめてね
[6897.773] sun_hidamari: ウォチパのミッチーバカにしてたのにね
[6909.430] toktok8192: ゆふな万枚おめでとうやで
[6963.470] ホビです: あれ デブはデブでも今日のデブはありけんだね
[7053.738] (S)owo_8o8: tonaka2Nice2
[7073.508] anbernot: いまはコンペ中ですか？？
[7095.974] keita0704: スイフトやで～
[7096.021] (S)シャケ猫: なんならもっと欲しいまである？w
[7110.507] anbernot: スイフトかあざます
[7155.622] euc_ordinary: これはオーメン
[7156.269] (S)zakiyoka: ないす
[7160.853] (S)owo_8o8: tonaka2Nice2
[7167.156] toktok8192: fantas22Nice
[7172.308] inufu: ナイス
[7179.598] ryo_ta_pqpq: ないす
[7184.437] (S)シャケ猫: ありがとねー
[7227.868] こめっと_817: mother118Hello
[7234.083] (S)owo_8o8: まざーさんだ！
[7283.166] (S)シャケ猫: ケルベロスの構え？
[7297.250] (S)owo_8o8: tonaka2Nice2
[7298.186] akt045: 義務ボドカはまだウォチパに縛られてるの？
[7339.595] dippzy____: なんなら3マップ目行ったからまだしばらく縛られる
[7344.488] 切り抜きグリニキ: 3マップ目突入したので継続
[7384.380] walle005: e?
[7483.657] (S)シャケ猫: ないす
[7483.885] (S)zakiyoka: ないす
[7485.718] bamboo3q: ないすー
[7516.449] 羊ぐも: お
[7516.967] kamaboko0000: ありけんが４人引っ張るでしょ
