[468.766] ghsjjfbi: こんなノリで勝つの笑う
[469.642] u_cchi: kpもまあまああるぞ
[470.153] PrePreaim: まじていい
[470.288] unaginuuuuu: 契り 
[470.354] emgawa: fpsakuRidsmile
[470.358] koshianKR: げきあつ
[470.592] まかろにぱいせん: 456
[472.870] (S)marrona91: あ
[473.517] (S)venven8: さいこうです
[475.230] yamami1311: 最高や
[475.671] sheeeelll: 激アツ
[476.533] arohasyatsu_kure: 次の雑魚死やめてね
[477.354] 賽の瓦: 15やめてねw
[477.775] Miiyo7: FNCポイント負けたｗ
[478.420] gra_801: フナwwww
[479.764] sajinski: 安置完璧で笑う
[480.343] ichiroku57: FNC１５キルｗｗｗｗｗｗｗｗｗｗｗ
[480.366] なてるあ: リドル強い! 
[480.454] mirorurupq: 15www
[480.552] seal1119: フナえっぐw
[480.880] rimito: フナｗ
[481.068] badbej: パーンポーンシュコーン
[481.265] o_jun1217_o: 勝ったてww
[481.322] u_cchi: 20p
[481.512] siochan_jp: fncｗｗｗ
[482.178] hatanuzi: おはよ！珍しコンビww
[482.963] とろとろサーモン: 強すぎる！！
[484.162] peroon_: ん、フナ？
[484.558] benjaminmmmmmm: ん？
[485.301] aqk87770: 15キルえぐwwww
[485.720] シコのプーさん: ふなちっく…
[485.917] o_jun1217_o: ふなwww
[486.739] なぽりぽり: 15 
[487.498] xeadoll: なんかかすれるな
[487.664] ryoumal: ふなえぐいわ
[488.080] mew3v: BloodTrail
[488.257] まじめさん: つよｗｗｗｗ
[488.554] すいたんでらっくす: FNCはいいよ〜w
[490.135] mint_chocolate7777: フナやばいwww
[490.784] hatanuzi: あっだいり？笑笑
[491.445] aqutan_sukikamo: 世界大会じゃないじゃん！！！
[491.555] o_jun1217_o: wwww
[492.299] (S)venven8: ぽんぽんぽーん！
[492.491] arohasyatsu_kure: FNCに絡まれたらお終いやあ
[493.896] ikki_oga: 意味わからんてw
[494.691] benjaminmmmmmm: じゅう、ご？
[495.947] Morichan6828: どんだけキルすんねん
[498.781] rasukaruuuuuu: fnc RCに負けるのはいいや
[501.244] altairmk: フナやめてね 
[503.434] まゃか: ふなえぐ
[503.661] kimu_xx: !algs
[504.809] ai_279: ほんと破壊だな
[505.804] nobcambo: まじで仕上がってる
[507.332] heart_less_jp: ５４
[507.658] cource_k: 幸先良いね
[507.943] porio1028: fnc
[507.956] xeadoll: なんかチャンピオンが霞むなww
[508.780] 不死くん: ねいす
[509.278] gurararaaa: まじで世界行くことだけ考えてる
[509.743] (S)はねかわ777: まあまあフナが稼ぐ分にはどうでもいい
[510.746] takumisushi: 456時代から初戦のチャンピオン率エグくない？
[510.939] baushgkls: 本配信のふなグロかった
[512.931] obanzaistudio: フナだけこのグループランドマーク5つある
[513.801] porio1028: fnc rcはしゃーない
[514.330] ユーモアがない奴厳しいって: この調子で行ってくれ
[515.253] 賽の瓦: バトロワで15ってどうやってんだw
[516.065] zebrarion: さくやばい
[519.964] 鉄男45号: 鉄男45号 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! #RIDWIN
[521.519] arohasyatsu_kure: あの家選んだの英断
[522.238] pppppopy: FNCと会わなければ順位上がるぞ
[523.581] とろとろサーモン: フナはどうせ世界出るからポイント吸えば吸うほど美味しいよ
[523.880] Morichan6828: 彼らは7位を目指してるらしいから
[524.420] malcero: 安置読みえぐすぎる
[525.119] さこん爺: さくじい
[525.437] PrePreaim: フナはランドマーククソ広いからな
[525.892] かねちょー: FNCに一位譲ってずっと2位取るんや！
[526.435] SuperMaguro: おい、笑える
[526.536] ryoumal: リドルは運がいい
[528.088] ~MISSING_COMMENTER_INFO~: なんか3位が……
[528.316] morimorimo55: っぱエンタメで強いのが最高
[528.761] unaginuuuuu: このあと20位きます
[529.421] もんこみ2: やっぱじじぃなんよ
[529.525] h4ppy194: さくの読みが
[529.664] ikki_oga: ライカも認めたサク爺やから
[529.924] sakana_b8: 1試合目から激アツすぎる
[530.089] ピタパンです: やはりＩＧＬか
[531.136] gurararaaa: 456のときからチャンピョンおおいな
[531.220] やるおお: fpsakuPien
[531.358] (S)shikaness: sp1のチャンピオン数に並んだ←これ草
[532.443] picopon_: 周りがわいわいやってるところをドーン
[533.460] morimorimo55: あ？？
[533.574] benjaminmmmmmm: SAKUの安置読み完璧だったな
[533.973] kuroomutu: おい、笑える
[534.490] sashugulai: これがじじいsaku
[536.985] yukisan_fan: ひゅうぃご
[537.024] 鉄男45号: cghesiKawaii
[538.126] のじっち: こいつらつらっとしすぎて
[538.791] あーあか: ？
[538.862] imoimokoimo: 同居させなかったのデカイ
[539.647] zingasa: 目標７位らしい
[539.655] badasaikush18: w
[540.680] aururn: 最近のsakuまじでぬるぬるだからクソ強い
[541.304] 三田どすこい: ww
[541.506] koy111999: 移動がうますぎる
[542.296] siochan_jp: あ
[542.769] reochi_: w
[542.846] seal1119: wwwwwwww
[543.416] aiueeee1209: ゆきお最強
[544.146] 柊悠ト: （笑）
[544.260] にゃむにゃむ_1: BibleThump
[545.660] yata_17: あ
[545.843] picopon_: ワロタ
[545.972] rasukaruuuuuu: fnc22ポイントとってんのなんで？
[546.890] gurararaaa: だまったw
[547.126] デこイ: www
[547.752] lovelyowj: あ
