[118.151] navyblue___: 指名手配切れたってことはホットドックってこと！？！？
[118.366] (S)るでぃにあ: radaoBanzai
[118.386] (S)rikuou222: radaoBanzai
[118.629] (S)toga_pon: 念願の早番ホットドッグできるやん
[120.138] 雪狐0143: radaoHi
[120.588] (S)aioka_y: リグなかったんだ
[120.610] (S)ぱるふぇさん: radaoBanzai
[120.758] しらたまたらし: radaoHi
[122.363] yuuma122: はっや
[122.563] そぉらぁ: わこらだ
[122.578] (S)ふろーと77: リグで指名手配なかったんだ
[122.989] (S)すいらら: 服かっこよくなってる
[124.028] (S)nyankosuki_: radaoHi
[124.806] ayunosioyaki0223: radaoHi
[126.151] (S)hiro_siri: つまりはホットドッグ？！www
[126.196] (S)るでぃにあ: radaoHi
[127.879] (S)みりぃもち: radaoHi
[128.288] (S)ゆにるな: 取り返せるんや
[130.537] そぉらぁ: radaoHi
[130.686] (S)ドラ吉: radaoHi
[131.447] (S)aibou0511: ヘリで延長されなかったんだ
[131.751] (S)冷凍みかん3: radaoHi
[132.246] kurageru: radaoBanzai
[132.752] (S)rikuou222: radaoHi
[133.400] (S)結愛2: radaoHi
[135.255] (S)おはおはお: radaoHi
[135.498] (S)ゆにるな: ね
[135.530] (S)Aros299: radaoHi
[136.233] (S)ワカドゥリ: radaoHi
[136.391] darkmoca331: radaoHi
[136.750] (S)komatuna_pipipi: そうか
[137.346] (S)たかなしはな: たしかにそうか
[137.362] (S)わふねこ: 顔見えた！w
[137.480] にわすずめ: そうね
[137.549] sora_mameee: ヘリだもんね
[140.056] あるみ屋: なかったんか
[140.126] (S)コンさん: たしかに
[141.688] (S)うみやま: やっとホットドッグできるね
[141.752] (S)hakurin12: そっか
[141.881] l___haru___l: radaoHi
[142.964] (S)osato_azi77: そっか
[143.194] (S)あんちょび_: radaoHi
[143.702] zeeebtg: ヘリで指名手配されなかったのか
[144.197] (S)yvesntual: 売りに行くか
[144.689] (S)akane1827: ヘリだけだから指名手配ではないか
[144.905] らうゆゆ: radaoHi
[145.013] れもんちぃ0: ヘリじゃできないもんな
[146.418] (S)星映天下: ヘリしまえてないからか
[147.853] (S)k0ku3: あの服で捕まってないのか
[147.967] にゃご崎: わこらだ
[149.490] sintara12: わこらだ
[150.360] cha_ti: radaoHi
[151.076] そふぱる: わこらだ
[153.311] みりむ_423: radaoHi
[155.981] (S)バザァァァド: radaoHi
[156.661] many7575: ヘリだったからねー
[158.737] ふづきんぐ00: radaoHi
[159.223] (S)origin070430: 指名手配無くなった？
[166.319] (S)chara0322: お
[167.227] (S)そうるーど: おお
