[36.505] 306h: おいす
[1024.945] サルヴァトーレ: かるびの年代バレがclutchさんの動画でめちゃくちゃネタにされててウケる
[1025.555] てるまの子: りりかるいて３位はすごい
[1026.422] シュバイソ: ね
[1027.990] ぜりっぴ: 最高の瞬間
[1028.631] 306h: ギリ6位とか思ってた
[1030.513] hika_9: マジで良かった
[1030.612] komorin15: あの２チームの次だとは思わないよね
[1031.752] p004444: くらっちくん本当にやりきった顔してたね
[1037.596] しょーやんん: 百鬼さんロレの口調バリ移っててわらう
[1037.896] srtdehew: ６０万集めたんがまじですごい
[1038.970] プンプングッドナイト: 60万くらいあったんだっけ？
[1041.679] Skyhi_20: クラッチくんがめちゃくちゃやってたしね
[1042.525] siochan_jp: 献身のおかげ
[1043.435] topase12: 正直5位ぐらいやと思ってた
[1044.503] ぜりっぴ: ４位との差を知りたいなｗ
[1045.625] bonoronmark2: カルビとスタのRUST思い出した
[1047.511] (S)なちょがすきー: こういう楽しみ定期的にやってくれるVCR神
[1049.037] vg7wr: すげぇな
[1049.709] サルヴァトーレ: すごいよ
[1050.809] オカっち: くらっちさんと二人で回してよかったね
[1051.327] タチャンカ先生: 1位と2位がおかしいんよ
[1051.954] ぜりっぴ: ｗｗｗｗｗｗｗｗｗｗ
[1055.194] kaiserletze: ｗｗｗ
[1056.485] オカっち: おっほ
[1056.674] akagitakenorii: www
[1057.176] siochan_jp: なんなららっしゃー
[1057.452] srtdehew: 最悪や
[1057.956] ぜりっぴ: ジェネリックシス
[1058.198] Skyhi_20: w
[1058.590] aphelios_4: 最悪や
[1060.016] fiaaaaa: しすだよね
[1061.804] にでぃあん: https://www.twitch.tv/rassya12/clip/FantasticPowerfulLatteKappaPride-tC4KI1ktgjavizRa
[1062.810] 惚れた女の名は小林: なんかじゃない？
[1062.828] くろきん: 三位ありえねええ
[1063.096] sinlniz: あれマジで伝染る
[1063.911] wilkins0n_04: めっさんもマジでそれ
[1064.021] 96san_788: おっほ
[1065.302] Skyhi_20: お嬢も感染してたよ
[1065.705] サルヴァトーレ: なんかじゃない？マ？
[1065.739] fiaaaaa: ｗｗｗｗｗ
[1067.605] kina_jaily: 最後のぼど間に合わなかったけどミサイルサイロの最前線組の手助けもすごかったよ。
[1068.805] gawa1010: 汚されちゃった
[1070.386] おやじちゃん: 🦄！？
[1070.452] ronri02: あるあるかよ
[1071.172] hika_9: わきをはロレも入ってる
[1071.395] xylitol_gg: シスコ今までありがとう
[1072.839] キューブってる: 1位２位はおかしいw
[1073.520] akagitakenorii: あれ耳にした瞬間頭に残るのたち悪い
[1074.015] SseinRJ: あの口調伝染しすぎて苦手
[1074.506] ripple1919: くらっちくんソロマーティで競技シーンばりに真剣にやってた
[1075.360] kaitousawa: シスコ口調
[1077.165] 306h: 葉がその口癖方言だと思ってた
[1077.759] タチャンカ先生: でもそれでもやらなきゃいけないんだ
[1082.367] allen1766: マーティがデカかったね
[1082.683] aa03241111: ローレン調でもある
[1083.956] genocidekis: おっほ
[1084.609] サルヴァトーレ: えぐいてぇ
[1095.033] sororo01: 次も楽しみよー
[1099.933] kttk_896: なきりさんベニ様のファンガよな
[1102.040] bachikorizumu: ここで触れていいのかわからんけどNIRUプロリ行ってまたAPEX盛り上がりそうやね
[1102.668] Kam1Kaze78: 個人的にだけどらっしゃーと絡んでくれて嬉しかったよ、普段らっしゃーめっちゃ見てるから
[1103.508] オカっち: まじでボド来るまですごかったからな
[1110.485] ぜりっぴ: 歩くブルーシート
[1110.674] 惚れた女の名は小林: そう
[1111.129] kkokods89: これからは valo?
[1116.517] キューブってる: ブルーシートねー
[1117.388] siochan_jp: 角刈りブルーシート
[1119.228] くろきん: よかったー
[1121.243] タチャンカ先生: ラッシャーの男泣き好きやわ
[1121.524] Kam1Kaze78: rassyaNijiahe
[1121.813] mot1o__: ブルーシートラッシャーほんとに偉いわ
[1122.039] 306h: ブルーシーター
[1122.718] Skyhi_20: それはそう
[1123.061] p004444: 売れちゃう
[1125.037] 惚れた女の名は小林: 影の立役者だった
[1126.292] Kam1Kaze78: rassyaTiigyuu
[1130.805] 555763: らっしやー売れちゃうよ
[1131.553] キューブってる: 確かに
[1132.584] gerugerugeruge: ただの面白スケベ野郎ではなかった
[1132.896] xylitol_gg: そろそろ伸びるか
[1133.726] vg7wr: チーデスえぐかったもんな
