[323.142] (S)화랑잘해지고싶다: そうなんだ、、
[323.650] takahashiseigi: 大ゴスが気軽に使えるようになった
[324.606] tankbba146: BO時の固めも強い
[325.825] (S)けろろがめ: 波動拳も球抜けされにくくなったよ
[335.785] wrwig: 波動はやられが小さくなって球抜けられなくなった
[339.321] lucky7404: 結構面白いキャラになった気がする
[339.493] matsurin7: 大ゴスはさらに使いやすくなった
[342.232] tetsujigon: 大ゴスがスカらなくなったのが強そう
[344.448] xdfwjfpf: 強いかしらんけど面白くなってそう
[344.650] gularain: ウメちゃんが使うかでみんなソワソワしているw
[346.566] valhalla5555: ウメリュウありますか？
[351.435] shellfish55: 使ったけど弱いままっすｗ
[351.517] wrwig: マジで弾抜けされない
[351.902] たる侍: ためてられんもんなぁ
[352.668] hanzou3: 立ち回りだよ
[353.977] tabibitox: 波動拳もウメちゃんの立ち回りならかなり強いと思うよ、通常置きに殴られない
[354.747] seiji141141: リュウ使ってた人はいないんで…
[355.827] pp3p_twitch: OD昇龍の弾抜けもやりやすくなったね
[356.060] 蝉時雨: 弱竜巻前ステ弱波衝が＋2やね
[356.664] kahaku91: 運び性能をどう見るかだね
[358.422] yut7xot8: おきぜめは捨ててください
[358.524] oh_say__: キツさは変わらんと思う
[359.371] (S)화랑잘해지고싶다: うめ隆ありますか！？
[359.595] tobi_6666: エドかっこいいね
[361.137] OKG_TWIN: 波動拳の手先の判定が小さくなって、ケンやルークに弾の出掛かりを昇龍で殴られ難くなりました
[361.764] (S)y_proto: ずっとランクやってたマゴは普通にキツそうだった
[363.441] (S)kamiya1979: たしかに集中ストックか大波動だけ集中消費とかくると違うのかな
[363.869] kanitoro: 下中Kはしょうげぎが振りやすくなったそこからsa3
[365.088] uni_ikura_: 差し返し時けっこう変わりそうだけど
[365.692] ピヨさん: グラビトン原田がいれば・・・
[365.994] amateras04: 投げを択れるとかそういうのはすごく強いです
[366.484] potocki1810: 文字です
[366.712] kuroad00: 大波掌ガードさせにいくリターンは増えましたね
[367.562] hirokiaaa: マゴさんも7000コンボ実戦で使えてなかった
[368.947] warotyphoon: おお
[369.189] 蝉時雨: ＋2で投げ間合い
