[712.315] (S)yama_mura: ファイトが美しい
[713.106] y4kum1neg1: RCとオーロラは特殊
[714.437] ameagari_417: メルトステラが泣いてるので俺まで泣きそうなったわ
[714.861] bkutoo: 韓国の人は他ゲーに浮気しないからね
[718.043] hunbaa13: …
[720.073] leblol23: みんな悔しかっただろうけどmeltstelaまじで悔しそうだった
[720.449] momotensam: …
[722.179] はぜぼう: ランクしてないイメージ
[727.877] chachamarud: LOLしてるイメージしかないｗ
[734.941] karukonkonkon: 韓国プレイヤーは数が少ないからこそ､連携上手いなあ
[735.748] u_cchi: 触る量は圧倒的に少ないでしょ
[739.465] まじめさん: 3キーマウで優勝したからRIDメンバー当たってた説
[742.207] 雨水ぺとる: にょっす
[755.010] tm_tora: 勝って欲しいよ
[758.255] 賽の瓦: 思ってました
[761.691] 倉内: エンタメで終わって欲しくねーよ
[767.032] Aug_Leaf: さやねえも見てくれてた訳やしな
[768.362] loadsistina: 勝って欲しいね
[769.311] appledjgoo: チーターとかでまともにランクできないんじゃないの？
[770.689] youton33: 今回のでゆきおに火がつくかも笑笑
[771.618] momotensam: 日本勢としてもね
[771.842] (S)math_english: ネタ枠
[772.836] KABAYAKIGG: 頼む
[772.840] blooks_bro: エンタメで終わるなよ
[773.996] (S)sugarrro: 面白いだけじゃだめよ
[774.082] ただのともや: まぁ確かに
[774.995] ねんここ3: メルトステラがもったいない
[776.576] tm_tora: やっぱ強くないと見てくれなくなる
[777.149] ankooisii_1: もっと上行けるメンバーやしね
[779.893] (S)shikaness: キーマウの言い訳がまじで出来なくなったな
[779.925] su_gar__25: フナに人気も負ける
[780.831] ry1234y: 普通に思うんだけど泣くなら努力してからにしろよ
[783.429] 竹輪蒲鉾_ちくわかまぼこ: こんばんは
[785.062] takahouse: メルトステラもったいないはほんとにわかる
[785.148] minaminami3735: 踊ってるゆきお寒かったなぁ、ボコボコにされてんのに
[787.925] yahqta: obly達も結構回してるからね
[788.518] chartreuse__: ゆきお強かったからまじで頑張ってほしい
[797.862] まじめさん: 強くないとおもろないんよな競技なら
[798.417] shigi0225: 死ぬほど努力してるだろw
[806.478] loadsistina: メルトステラずっとリドルいて欲しいな
