[3263.271] (S)ponponguripon: 余裕だぜ！
[3271.845] あり0221: じじいには背負い投げ
[3271.971] aranami0: ノーブルどうして…
[3273.851] (S)箸くれ: ねん～
[3274.981] negishake: JP調整なんだかんだされないきがするけどね
[3277.311] market_fujisaki: あー奮迅にしてスピード減速したのか、うっま
[3286.144] prisira: されないは絶対ないと思うぞ
[3288.420] esutark: ぷげらがDJからマリーザ
[3292.044] shellfish55: JPだけはされます
[3306.543] bec118_japan: 杖に神経は通るっしょ
[3309.753] あり0221: 稼働初期から勝率下がってるって運営言ってたし調整ないかもね
[3312.666] prisira: 調整なしとナーフだけはモチベ上がらないから
[3316.074] blackcoffee0821: 今マリーザなの
[3338.218] SuperMaguro: シュール
[3347.558] prisira: そら対策されてきてるんだし勝率は下がるでしょｗ
[3350.500] v_harumi_v: ぷげらさん、マリーザ使ってるんですね
[3353.012] (S)箸くれ: ｳﾌﾊﾊﾊﾊ
[3353.154] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[3353.451] SuperMaguro: うるせえｗ
[3353.508] (S)sai927: ﾌﾊﾊ
[3382.991] market_fujisaki: JP「ワシのラッシュ時の姿勢を見よ！」
[3386.361] あり0221: 対人ゲームの調整って大体は全体勝率で調整するとか決めてる
[3386.802] shellfish55: JPは技の性能が明らかおかしいからな
[3420.374] prisira: 全体の調整で決めてると言われてもたかしの前でも言える？
[3429.782] shizuto123: もうjpの見た目可愛い美少女にしたらヘイトそらせるんじゃないか？
[3435.614] shellfish55: 大会の結果とか勝率とか関係ないJPは最強キャラです
[3457.095] (S)thraximundaru: ランクマなんでランクの均しが終わったら勝率が5分に近付くのは人性能とかシステム上当然な気がするんだけど、本当に勝率で決めちゃうのかね運営
[3461.467] negishake: たかしはアッパーされるから勝率で見てると
[3469.735] esutark: JPはプロは勝てるけど、初心者が捨て鉢になるレベル
[3470.124] market_fujisaki: 逸らせないでしょw
[3486.836] shellfish55: 友達はJPのせいでスト6やめた
[3490.261] bec118_japan: ただ勝率で決めるようなメンバーならスト6は流行ってない
[3498.523] hojihojidx: JPはヘイトタンクにしたいだろうからあれでいいんでない
[3518.541] prisira: 全体的な勝率って意味合いならザンギが超絶強化されるんかね
[3530.466] SuperMaguro: はやくアケスト6でJP使って荒らしたい
[3530.701] あり0221: 全体勝率は統計したら大体50%前後に落ち着く。そこから数%刻みでぶっ壊れか判断する。全体が55%ならかなりのぶっ壊れ
[3534.213] blackcoffee0821: リュウは使用率高いから現状でヨシっと
