[2168.934] whiteface811: すみません
[2169.840] nyanzer3839: 端背負いだからでは
[2190.265] しぼみ: ﾕﾆﾊﾞｧｽ
[2200.058] trick0918: 一応参考動画 ステキャンコマ投げ→https://x.com/smerinthinae/status/1796206955272528148?s=46
[2209.363] ゼロコーラとオノノクス: か〜硬直差が分かればカウンターと違いわかるんだけどな！
[2211.275] supermonkeytm: ユニバースのヒットストップのほうが長いんですかね？
[2225.812] anemoi_thyellai: ユニバース限定コンあるから多分補正か落下どうこうがちょっと違うっぽい
[2239.078] shoji_jou: なんか浮き違うんだよな
[2240.234] supermonkeytm: はえー
[2244.481] trick0918: って今XのURL貼るのまずいか()
[2245.802] しぼみ: へ～
[2248.739] whiteface811: オタク過ぎる 一緒でいいだろ
[2251.020] ゼロコーラとオノノクス: 有益〜
[2251.894] ぷーむん: ダメージもなんか違うしねユニバース
[2256.514] griffinmask: まだダンディへの理解が足りない
[2256.670] kazurimu2580: しゃがみKDから普通に拾い直せた気が
[2259.589] ろくすけ君: ユニバース6ＨＳ6ＨＳとか頭悪くてすき
[2272.925] ゼロコーラとオノノクス: 便利そう
[2277.113] ぷーむん: 簡単～
[2278.156] supermonkeytm: 本当に宇宙
[2279.954] (S)nasu5217: すげー
[2294.032] anemoi_thyellai: 吸血赤RCCから前HSユニバース～が限定コンらしい
[2296.745] ぷーむん: 小足から減る～
[2303.074] _霧切_: 吸血RCでユニバースするのも殺しきりとか便利
[2307.477] trick0918: あと裏当てパイルで火力出してる人多かったすね
[2327.387] ゼロコーラとオノノクス: 吸血熱いねー
[2334.256] (S)鉄板: どっち食らっても死んじゃうよ～
[2349.182] whiteface811: ヒットでしかユニバース消費しないのも偉いなあ アズラエルかよ
[2355.228] margarita_217: ギルティって柔道とかしないんですか？
[2358.688] ぷーむん: やってることソルじゃんねぇ
[2360.157] (S)高級食材ふかひれ: ギルティ今セール中なんか…買おうかな
[2374.786] trick0918: 柔道っぽい事はするよ
[2376.220] ゼロコーラとオノノクス: どぐにゃんのアズラエルなら最強じゃんか
[2377.038] the_billiegoodman: 今日ブリジット使う人いる？
[2383.158] (S)鉄板: 端でもなんとかしてパイル裏当てできんかな
[2387.859] (S)nasu5217: 全部入りで7000円これは実質無料
[2388.758] shoji_jou: ユニバース小足遠sからおかわりしてぇ～
[2390.016] ぷーむん: 投げ避けられた時はリスク特大
[2397.617] こんメケ: 2Kも溜めD近Sいけますね
[2402.051] supermonkeytm: 成った？
[2421.093] ぬーーん: 近Sfdされても小足届く？
[2439.050] _霧切_: おわり
[2440.332] trick0918: 遠sからステキャンコマ投げは強いっぽいすよ
[2441.662] shoji_jou: ち～ん
[2459.150] ゼロコーラとオノノクス: むしろfd後ダスト届くんだ
[2466.768] _霧切_: もっちーさんならリバサ直バリもありうる
[2468.939] supermonkeytm: ダストそんなに
[2469.207] ぷーむん: 端がヤバイやつかぁ
[2470.733] anemoi_thyellai: RFさんのチャンネルで2P2P赤ロマから入れ替え壁割りとかも発掘されてた
[2473.056] shoji_jou: つってもダスト立てるでしょ
[2475.237] (S)鉄板: ダスト長すぎやろ
[2477.222] ろくすけ君: ｗ
[2477.265] ぬーーん: Dめっちゃ前進するな
[2479.286] こんメケ: なぜか前に歩くので
[2484.845] ぷーむん: 溜め無しは 無理っす
[2491.405] shoji_jou: それはそう～
[2497.262] trick0918: 無理
[2498.366] mitsuo157: インパクト返せないしダストも立てな？伊賀
[2501.769] _霧切_: 下段も投げもあるのに溜め無しダストは立てない
[2507.909] anemoi_thyellai: ダストは普通に立つの無理☆
[2527.326] ゼロコーラとオノノクス: タメダストですら当たったりするいd
[2530.082] MaedaBaison: 前作までのダストとため無しダストを同一だと思わないほうがいい
[2534.062] supermonkeytm: ２Ｓじゃない？
[2538.827] 松葉飴: 吸血後に通常投げロマキャンからユニバースできますけど、やる価値あります？
[2559.630] ぬーーん: 前ダンステ近S2Sからパイル裏当ていけなかったっけ
[2564.651] shoji_jou: モーション見やすいけど発生20fってなるとまさにリュウの鎖骨だよね
[2595.275] genmybrown: どぐにゃんイベントがんばえ～
[2601.916] 雨傘あまね: 初コメです どぐらさんの配信を見てギルティーかってみてジャック・オー使ってみたいと思うんですけど初心者には厳しいでしょうか？
[2626.403] (M)墾田永年私財砲: やりこみがい
[2646.409] supermonkeytm: ２Ｓ２ＨＳどうですか？
[2647.478] (S)アンコモンたこやき: こんどぐ
[2647.971] smokessb4: なんでスレイヤーだけ武器ないんだ
[2648.719] ゼロコーラとオノノクス: 飛鳥ケイオスディキンソンに比べればマシなくらいか
[2649.971] kinnmugi: お尻に目がいくのでどのランク帯でも難しい説
[2651.940] _霧切_: ジャックは起き攻めと激励覚えたら戦えるからトレモ好きにおすすめ
[2654.245] 夏猫ソル: キャラ愛でなんとかなる理論
[2660.447] supermonkeytm: すかるのか・・・
[2662.348] 雨傘あまね: なるほど！色々試してみます！個人的におすすめなのはってなんだと思いますか？
[2672.314] anemoi_thyellai: ジャック楽しそうなんだけどなかなか忙しい入力するのがなぁ
[2690.030] 雨傘あまね: スレイヤー見た目とかもいいですもんね！
[2705.372] (S)nasu5217: Abaもいいぞ
[2706.273] shoji_jou: コンボも簡単で減る！
[2706.740] すのうろべる: 初コメです。rv2のスレイヤーよりやばい感じですか？
[2707.799] 鈴木加奈: 今夜勝てるキャラ
[2722.172] trick0918: ジャックはとりあえず行動があんまりないんだよな…
