[436.568] (S)きのころ: 現地じゃんもう
[436.609] (S)るぁ__: ww
[438.405] (S)osim611: えぐｗ
[438.642] (S)tonkun__0624: えぐ
[439.400] (S)hotatechang55: つんよ
[439.880] (S)クキ91: すっご
[440.150] (S)きゅくま: ｗｗ
[440.417] (S)taigodag: えぐ
[440.792] (S)deltanonium: やっば！！
[440.826] (S)aixxx35: あつ
[441.393] (S)あやたん404: www
[441.647] (S)zuu_mg: つよ
[442.234] (S)08ryyyyy: つえ
[442.278] (S)ニャンニャンこ: つよ
[443.292] osa_393: www
[443.414] (S)Haru_Hanami: つよ
[444.349] (S)miya_1323: 1桁あつ
[444.589] (S)odajyu: すげ
[444.610] (S)bubu_0830: 横www
[445.192] (S)jakkaru_127: つよ
[445.828] (S)あやたん404: くそわろ
[445.870] (S)ぷくてん: 激ツヨ
[446.587] (S)me_me_____: 発熱エグ
[449.421] (S)えるむえるむ: つよ
[449.761] (S)イヌマツ: つよ！
[451.432] (S)tonkun__0624: 直だ
[452.477] (S)siretoko6688: 熱そう
[453.368] (S)taigodag: ほぼオフラインやん
[455.376] (S)ai_xxx_: ないす
[457.097] (S)aixxx35: 最高やん
[457.313] (S)テバ_02: 直結なら回線泥棒やんw
[458.103] (S)miya_1323: 成功者の家やんお前
[459.679] ~MISSING_COMMENTER_INFO~: ないすー
[459.970] (S)08ryyyyy: hiirag17Nice
[460.171] (S)moriken1023pen: こんちゃー
[464.947] (S)beemelyum: it’s valooooooo 
[465.655] (S)popopo_niinoo: ないすちむ！！
[466.459] (S)odajyu: hiirag17Nice
[466.673] (S)hotatechang55: ナイスー！
[468.361] (S)bubu_0830: いいねいいねーー
[468.967] fuu5353: ないす～！
[469.066] (S)クキ91: hiirag17Nice
[469.181] (S)siomm_: hiirag17Nice
[469.202] (S)nanonanoo2: 月曜配信珍しいな
[470.249] (S)me_me_____: 光の予感
[470.989] (S)zuu_mg: いいねー
[470.996] (S)るぁ__: hiirag17Nice
[471.391] (S)きのころ: hiirag17Nice
[471.624] (S)yamadasanchi: hiirag17Nice
[472.255] (S)saba_marine: これはいけるか
[473.233] (S)piyopi3: こんばんはー！
[475.701] yuu3392: チムつよ
[478.179] (S)えるむえるむ: hiirag17Nice
[478.194] ~MISSING_COMMENTER_INFO~: 光チーム
[479.342] (S)dk0574: ヴァロだー！！
[480.697] (S)deltanonium: 勝ったな風呂いくわ
[499.341] (S)にあ422: ralphm5Chissu
[502.180] (S)shirokuma922: おー、やってんねー
[503.461] pnpn__515: 師弟杯あつかったね
[505.517] (S)nanonanoo2: 賭けないのか
[516.704] (S)パックンチョム: こんちゃす
[537.979] (S)_ひなこ: プロもドット多いよね
[541.781] (S)aixxx35: なんで？
[543.095] (S)moriken1023pen: 光すぎ
[543.604] ~MISSING_COMMENTER_INFO~: 強い
[545.839] (S)アルテ44: 味方強い
[546.074] (S)hotatechang55: つよー
[547.179] (S)クキ91: ないすー
[547.207] (S)イヌマツ: ないすー！
[549.051] (S)るぁ__: ないすー
[550.044] (S)siretoko6688: チーム良すぎ
[552.916] (S)uesgi_san: こりゃあ強いね！！！
[553.341] (S)gyunyuma: ないすちーむ
[554.181] hukase3: VCしてくれるだけで当たりか だしな
[555.430] mii__ymd: ないす！
[557.079] (S)えるむえるむ: いいね
[557.238] (S)shirokuma922: 味方強い
[560.195] (S)mei0403aaa: 味方さん良いね！
[562.911] ~MISSING_COMMENTER_INFO~: 雰囲気◯
[563.667] (S)zuu_mg: 光だー
[565.240] 七夜鴉: 光だ
[568.302] (S)odajyu: 光すぎ
[572.328] (S)motooooo0629: 月曜日配信ありがてー！！
[572.347] (S)こねこ__: こんーー！
[576.786] user_found404: バロするなら見る
[577.717] (S)きのころ: 光
[581.147] (S)08ryyyyy: 光
[598.616] (S)shamoiumai: 皆ええ声
[603.470] (S)_ひなこ: Aが止まらない
[606.560] (S)popopo_niinoo: ないす！
[606.804] (S)hotatechang55: おし
[623.490] (S)_ひなこ: おしいおしい
[623.963] (S)moriken1023pen: nt
[626.246] (S)きのころ: nt
[628.407] ~MISSING_COMMENTER_INFO~: nt
[629.165] (S)popopo_niinoo: わー
[630.441] (S)hotatechang55: nt
[630.816] (S)るぁ__: nt
[631.926] mii__ymd: nt
[632.172] (S)gyunyuma: nt
[632.243] (S)moriken1023pen: こっからー
[632.366] (S)nanadesuyo: nt
[637.025] (S)08ryyyyy: nt
[644.366] (S)siretoko6688: 相手レイズうまくね
[652.816] (S)aixxx35: 便利か
[658.967] user_found404: そういうとこ
[672.509] (S)_ひなこ: 今のランクマップ的にもレイズ強いよね
[683.646] (S)hach1k00: わこつ
[690.813] (S)gyaos_: gyaos_ subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[695.685] ruza4649: @user_found404 さっきから大丈夫かコメントしない方がいいぞ
[702.690] (S)nanadesuyo: 光だ
[705.789] (S)fineday43ab: いけ
[712.543] user_found404: ？？
[720.802] (S)jin_gai: hiirag17Fight
[722.640] (S)パックンチョム: ？
[725.040] (S)fineday43ab: VCJ
[730.206] (S)moriken1023pen: hiirag17Fight
[730.546] (S)popopo_niinoo: いっけーい！
[739.668] (S)ニャンニャンこ: hiirag17Fight
[740.635] (S)tokitokimiru: hiirag17Money
[744.341] (S)aixxx35: hiirag17Fight
[745.739] (S)nuekoya: おし
[747.760] (S)moriken1023pen: うま
[748.806] (S)magunitude: nt
[749.282] (S)パックンチョム: うっま
[749.988] (S)keitokurara: うまい
[750.227] (S)nao_sushi: !rank
[751.250] (S)クキ91: うっま
[752.284] 七夜鴉: うま！
[754.176] (S)mitametako: うま
[755.273] (S)odajyu: うま
[758.951] (S)aixxx35: おしい
[760.259] (S)hach1k00: おｃ
[760.970] (S)moriken1023pen: おーしー
[762.669] ~MISSING_COMMENTER_INFO~: nt
[762.896] (S)fineday43ab: ないとら
[762.991] (S)るぁ__: おし
[764.153] (S)hotatechang55: おしー
[764.766] (S)nuekoya: おっしいー
[765.192] (S)08ryyyyy: nt
