[286.730] mushisnami: cute cat
[287.300] いがぐりころころ: ベースだけで曲弾けちゃうの？
[289.026] 泣き虫サクラ: ベースってチョイスがウメハラらしい
[290.373] (S)right_8: すごっ
[290.408] umao210: ベーシストダイゴじゃん
[291.360] (S)mart_00_: 弾いて
[291.927] yonayona04: すごすぎる
[292.727] junpei_11: すご
[292.885] りょう太: 耳コピ
[293.039] v_harumi_v: すごい
[293.123] (S)てべす1103: 聞きたい！！
[293.204] (S)You_nari: さすが天才
[293.209] nkmr0518: かっちょええ
[293.462] アザミノ: 楽器やり始めはほんと好きな曲やるといいですよ
[293.686] megurun: カッコいいわぁ
[294.230] sh1zuku716: 引いて
[294.264] (S)hoemin247: すげぇ
[294.285] moricocoa: 本物
[295.066] teaeuaunofune: 高いやつ買ってるー
[295.116] astro5dasher: ミートさんのライブスタッフ感すごいＷ
[295.770] chin_56_: 天才か
[296.007] いがぐりころころ: 聴きたい
[296.408] gtinferno666: Daigo The Beassist
[296.412] cafe_gondo: かっけえ…
[296.419] もきち555: さす肉
[296.491] oishinbouya: ひいてもらおう
[296.730] (S)すれいまん: 42歳、ベースをはじめる
[296.735] junpei_11: 耳コピか
[296.843] (S)ketsu_debris: すげー
[296.946] なっしー0812: バチバチ弾けるよ
[297.448] 憂う者の弟子: うおおおおおおおおおおお
[297.583] reobochi: すげー
[299.480] burupapu: 流石
[299.586] icyblue1985: 耳コピかよっ
[299.872] ddsato316: かっけぇ
[300.062] ryushohashida: おかえりー
[300.988] momochan6: 耳コピか
[301.303] mako6912: 聴きたい
[302.299] sh1zuku716: 弾いてほしい
[302.311] umimiuumi: かっこいい
[302.328] jacknohimatubusi: 流石プロ！
[303.033] べーこん118: ケンのBGMスラップ入るから難しいと思うよぉ
[303.318] 無心に: にーあう
[303.494] tsukikage_saga: かっけえ
[304.045] radi38: フェンダーか
[304.231] orcafin: ストラップないのか
[304.322] foo_twitch: 音楽家や
[306.020] (S)乃璃枝: カッコいいーーーーー
[309.527] dai920: 聞けば弾けるって一回言ってみたい
[309.812] (S)mm2351: ケンの曲練習しながら昇龍拳出せるようになるシステム
[310.201] (S)right_8: プロすぐる
[310.603] mamamamatsu: えーなにこれー！？ベース企画？
[310.773] chin_56_: ケツ
[312.851] takahashiseigi: 部屋、暑そうw
[313.619] v_harumi_v: 背中っ
[313.782] (S)mart_00_: 川村さん！？
[314.838] 泣き虫サクラ: 背中のほくろかわいいいいいいいいいい
[315.018] beehive3: 背中
[315.381] (S)saktak13: どういうことなの…
[315.706] _ピート_: 🎵はガチ
[315.952] somnusuwu: Daigo is about to show us the most optimal way to plat instruments. His reads will be insane
[317.770] genocidekis: えっ
[317.806] (S)しゃくれ: テッカテカや新品の香やー
[318.377] kobetaf: 無料でそれ見れちゃうの？
[318.715] (S)すれいまん: 格ゲーマーバンド作ろう
[319.355] foo_twitch: 背中
[319.465] なかむら0307: サンバースト渋くていいね
[319.525] サラバア: セナハラ
[320.066] sh1zuku716: ケツ
[320.768] 憂う者の弟子: いい背中
[321.180] momiji4431: ケツ
[321.395] (S)gorogorogorn: 耳コピって天才感あるね
[321.417] fat_design: おいくらすか？
[321.495] (S)You_nari: でてまく
[322.211] (S)~MISSING_COMMENTER_INFO~: 贅肉はら
[322.294] ぐぐっす: はみでる
[322.512] tsukikage_saga: ちょっとｗ
[322.695] ddsato316: せなかせなか
[323.761] tsukikage_saga: 背中ｗ
[324.345] Regnqva: ケツみえそう
[325.512] (S)てべす1103: 背中で語るねえ
[325.745] (S)血塗られたトマト: きゃーーー背中あああああ
[326.089] heterotopia3: おにくが
[326.298] olivemocomichi: まずいですよ
[326.301] ぢょごぢゃん: 普通有料の講習よね
[326.908] べーこん118: アンプはアンペグかい？
[327.360] 遼は肉が好き: 耳『だけ』は良いミートさんwww
[327.627] burupapu: 耳コピとかできたらまじで楽しそう
[327.739] (S)ババシャツ: セクハラw
[327.777] (S)~MISSING_COMMENTER_INFO~: おにくがｗ
[328.440] sh1zuku716: ケツ原
[328.482] astro5dasher: 5のBGM
[328.898] Regnqva: ケツハラ
[328.963] ~MISSING_COMMENTER_INFO~: けつみえ
[329.127] momochan6: ケツｗｗｗ
[330.286] 冷やさか: はみ出した
[330.929] (S)ketsu_debris: ハンケツ
[331.775] (S)ぶっちゃ: 椅子の操作も把握してねーのかよWWW
[332.047] merkava_mk2: 背脂
[332.081] inkgran: Ｄ
[332.514] (S)~MISSING_COMMENTER_INFO~: ウメ肉
[332.921] ayaaya1919: お邪魔致します〜🍖
[333.057] もきち555: D
[333.305] オワオワタ: えっど
[333.345] mako6912: D
[333.577] (S)血塗られたトマト: おじケツ見えちゃうて
[333.660] afuring: ミートより良い奴なんじゃないのｗ
[334.059] junpei_11: 左指を動かせるようにするために楽器習ってます
[335.254] TUBE_MAN: ﾀﾞﾝｺﾞもいるのか
[336.150] (S)maya_g01: Dいたぁ！
[336.201] 泣き虫サクラ: きっしょ
[336.679] (S)mart_00_: だんごさん？
[337.146] kamiya1979: 遅れたー今きた
[337.415] tenten2156: D
[338.031] (S)fahmy0825: @somnusuwu He'll play SF6 with that bass lmao
[338.932] icyblue1985: 音楽はグランドウォーリアー
[339.365] (S)乃璃枝: お尻が見えそうだった
[340.047] (S)leox_oxq: Dいたぁ
[341.238] (S)闘劇のアルベルト: ウメちゃんがベースマージか
[341.484] (S)てべす1103: あれ？Dか？
