[4297.843] ashigaru4242: 鈴木優磨と一緒にやってたんよなたしか
[4301.409] marusuuuuuu: ぼどーかリフティングして
[4313.545] hankotin: !member
[4313.687] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[4320.058] (S)Quu_o: なにいってんだよw
[4324.550] 美味しい肉食べたい: wwww
[4325.209] はぜぼう: wwwwww
[4325.720] (S)らた茶湯: wwwwww
[4325.853] (S)うえぽんぬ: ｗｗｗｗｗｗ
[4327.261] ponyonosioyaki_: wwwwwwwww
[4328.854] ssssssssszx: wwwwww
[4329.076] じぃじぃじぃ: wwwwwwwwwww
[4332.419] hizhuwa: 個人名
[4332.985] あーる14: wwwww
[4333.797] じぃじぃじぃ: 名前を出すなｗ
[4334.537] (S)さみすす: wwwwww
[4337.914] kuroichi0823: ノンデリ
[4343.118] 臭めのこかりん: 知り合いは無理よw
[4350.305] 永瀬_: wwww
[4352.504] you_lose10969: w
[4357.594] hankotin: クソ有名なやつ
[4359.126] (S)うえぽんぬ: うそだろｗｗｗｗ
[4359.319] hizhuwa: 無駄に絵が上手いやつね
[4375.753] ponyonosioyaki_: あ
[4378.595] じぃじぃじぃ: にじはむしろ欲しがるライバーが何名か居る
[4383.261] 臭めのこかりん: 天月！？
[4384.304] hal_ally: 法の番人！？
[4385.236] ごらむ: 方の番人
[4401.651] ponyonosioyaki_: 法の番人やめてね 
[4455.210] aqutan_sukikamo: !member
[4455.317] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[4476.550] なっしー0812: 40分で終わるキングスルールのがすきになった
[4493.667] donguri___5656: www
[4495.459] marusuuuuuu: ワンバンノーバンやって
[4496.119] ponyonosioyaki_: w
[4496.157] (S)うえぽんぬ: ｗｗ
[4497.095] サラサラサーモス: 明日だったらもっと暑い
[4497.112] Rou49671: e
[4497.361] you_lose10969: E
[4498.032] らむぽっぷ: ww
[4498.622] まんまみや: e
[4499.073] ssssssssszx: wwwwwwwww
[4499.619] yakisobaflasco: wwww
[4500.848] gyokuro1: E
[4505.892] kazuho04: e
[4507.384] marusuuuuuu: 人による
[4508.009] 柊木レン: それはそう
[4511.375] ぐちた: ありそう
[4512.079] おるてぃず: あ
[4512.115] (S)warawanaiman: w
[4513.383] bunkichi23: ｗｗｗｗ
[4513.583] you_lose10969: えぐいw
[4515.466] じぃじぃじぃ: 彼女もちがそれ言うか
[4518.107] hizhuwa: まずい
[4522.759] yakisobaflasco: えぐいてwww
[4522.952] ぐちた: 気を使うか
[4523.670] silva518: 経験者しかわからん
[4527.902] 臭めのこかりん: 近くに女おるてw
[4527.932] donguri___5656: 彼女で耐えなんか
[4532.464] gensin1008: 耐えてるんやw
[4542.522] fuuga1: 耐えるw
[4544.635] Lailomq: あ
[4545.561] you_lose10969: メンツが強すぎるw
[4549.192] bunkichi23: へんでぃーとおぼが好きだな毛やんｗ
[4550.079] (S)foxy27999: 彼女は耐え
[4569.134] gyokuro1: ほなスペイン村か
[4571.254] じぃじぃじぃ: ファンタジースプリングス出来たからねえ
[4574.606] ましゅあろ: 行ったけどそんなやったで
[4587.658] ぐちた: は？
[4588.287] じぃじぃじぃ: 前からちょいちょい話題出て入るけどスペイン村オフやってもらいたいよな
[4589.211] (S)warawanaiman: はやw
[4593.467] donguri___5656: 3時間半！？
[4593.846] (S)うえぽんぬ: かわいそｗ
[4594.972] なっしー0812: 暗くなったら帰る
[4606.587] piyo_saku: 女の子可愛い
[4609.054] ponyonosioyaki_: かわいそすw
[4629.500] silva518: アクアピザ
[4634.120] chachaduke: ランドやね
[4637.081] らむぽっぷ: あそこは休憩所
[4637.905] donguri___5656: まじで寝れる
[4645.271] じぃじぃじぃ: あれディズニー作品好きじゃないとおもんないよ
[4649.263] Aug_Leaf: シンドバッドの冒険が休憩できるぞ
[4652.890] hyu_su: シンドバットもよ
[4661.354] じぃじぃじぃ: ビッグバンドビート見れたん！？
[4674.664] ぶぶにき日記ニキ: ビックバンドビート(BBB)
[4679.098] ぐちた: おもろいで
[4681.312] らむぽっぷ: うわー分かるw
[4683.252] じぃじぃじぃ: 海底二万マイル好きだけど認知度低くて悲しい
[4715.881] エラルドコイル: !member
[4716.007] (M)Nightbot: MOTHER3さん, けんきさん, スタンミさん
[4735.733] bunkichi23: ｗｗｗｗ
[4742.656] ssssssssszx: NotLikeThis
[4747.208] ぶぶにき日記ニキ: wwww
[4755.750] まだがスかる: キョロ充
[4759.024] noobu_qwq: 配慮⚪︎
[4772.881] ponyonosioyaki_: sekiRun
