[807.398] PERIKAN00: なるほど
[807.532] えーてるすとらいく: vlってバンナン抜けた？
[808.512] yay0i_p: IGZには流石に勝てる
[811.954] (S)なかたけ11: 3/6が通過？
[813.585] narunarusikyou: バレルってぜふぁーか
[815.983] tabuar: ばんなんぬけた
[816.576] Peru0795: バンなんおらんね
[816.780] ggotsu: これ抜けれるの何チーム？
[816.790] てっっつ: イクジストなっつ
[820.696] eito67: 配信ってある？
[820.878] tabuchi777: この6チームのうち2チームしか抜けれないの？
[821.853] lpiviql: 初戦配信ないの？
[823.500] PecSmil901: 4チームいけるってことか
[823.731] furin4s: 勝って負けたら2回配信あるのね
[825.436] tetuya0405: ルーザーズも映るのね
[826.205] suyu_namin: 一回勝てばか
[827.075] ggotsu: 4チーム抜けか
[827.145] らむぽっぷ: 2回負けなきゃおけね
[828.289] チョ: うんこ軍
[829.326] 96san_788: shakaWin
[831.829] pasta200468: ムラッシュとここでまた争う可能性だってある
[839.751] tykioty: 3チーム抜けか
[840.986] tabuchi777: 4チームか
[845.416] 96san_788: うん
[847.023] pasta200468: そうだよ
[847.137] ひろせぇ: un
[848.336] ゆゆたろう: FAVまた負け
[849.038] pikunikku6: fav負けた
[849.443] ggotsu: Fav負けちゃった
[849.648] lieph009: fav負けた
[850.148] forestrest_11: SCARZこんなとこに入ってるの怖すぎる
[850.418] ビーグル: FAV
[850.498] yamatotakeru777: favまけた
[850.551] sawayaka_odisan: ムラッシュとまたたたかおう
[850.917] fine2980: FAVがまたやらかした
[851.464] ひろせぇ: FAV負けた
[851.563] クロノジェネツス: FAVはもう
[851.623] ~MISSING_COMMENTER_INFO~: ふぁぶまけた
[851.672] PecSmil901: ふぁぶ。
[851.743] spider_n: fav…
[852.498] pika0427: FAV負けです
[852.685] Peru0795: ひゅんみんバケモン
[852.964] from_9t: FAVマジで不憫すぎる
[853.666] huuuugeh: fav落ちた
[853.842] shyred3862: FAV 
[854.469] nenemuishi: まじかよ
[854.907] senseihangeki12: FAV負けたのびっくりだ
[854.909] (S)sugarrro: クレスト強いよ
[854.954] tumblerrrrrrr: favまけちった
[857.572] yk177228: favまた負けちった
[858.913] lily3nari: fav；；
[859.629] twitch_food: fav負けたらしい
[860.390] cheeseUnadon: fav呪われてるよ
[860.532] こんにちわとそん: FAV見たかったな
[860.756] ksusdmh: ふぁ、ぶ
[861.907] rint2: ひゅんみんやばい
[862.759] ankooisii_1: fav二年間予選落ちか
[863.178] PecSmil901: favお通夜
[863.372] marusann122: フラックス見れる
[863.373] mond0o0o: favずっと配信見れない 
[863.948] (S)suuute: favかわいそう
[865.036] cenacena56: Fav負けたのか
[865.903] imokorori: DHとひゅんみんいるしなー
[866.106] ~MISSING_COMMENTER_INFO~: てんてん、、、、
[866.109] 96san_788: クレストく、くる
[866.109] yay0i_p: HYUNMINとDHの韓国人2人が強い
[866.495] (S)なかたけ11: tenten…
[866.910] ひろせぇ: 呪われてるよ
[866.971] bejitaburumnk: マジだ
[867.317] spider_n: favメンバー強いはずなんだけどねえ
[867.460] takatakabouzu: ふぁぶにリベンジしてたね
[867.936] maiku111: まーじでこの仕様変えてほしいなー。二年前のほうがよかったと思うけど
[868.228] kidesu_u: favまじでかわいそう
[869.842] yamatotakeru777: みんちゃん 
[870.836] cenacena56: 悲しいよ
[871.910] pasta200468: ヒュンミンのスタッツえぐかった
[873.246] ggotsu: 可哀想
[874.824] liberty_ne: minty報われない
[874.864] yay0i_p: tentenがHYUNMINに格付けされてた
[876.273] らむぽっぷ: みんてぃー🥲
[877.587] gedoyama: 四大会連続予選落ち
[877.642] yk177228: 一生こんなんだよ
[877.916] fine2980: ほんとそれ
[879.365] haki_2564: ApexのRID弱すぎてクカ
[881.646] もんぶーる: いやクレスト普通に強いぞ
[882.282] n4siki: favを負かすと好成績っていうジンクスあるからCGZいいとこ行くかもね
[883.537] pika0427: 辛すぎる
[884.307] ggotsu: みんちゃんずっとキャリーして負けた
[885.457] itigodaihuku2525: FAVまじでお祓いいくべき
[888.630] 08seryu: 気づいたらdh入ってたな
