[122.348] (S)ト一スト: ト一スト subscribed with Prime. They've subscribed for 10 months! 
[122.505] kumasan20: radaoHi
[122.603] にこさく: にこさく subscribed at Tier 1. They've subscribed for 22 months, currently on a 22 month streak! わこらだ
[122.933] hino725: radaoHi
[123.328] (S)きのここ: おおおおお
[123.497] rao25252: radaoHi
[123.560] 愛の林檎: おおおお
[123.582] のらごま: おおお
[123.614] かしぱん_: わこらだ
[123.920] (S)r4diiiii: l1ghtgrow subscribed at Tier 1. They've subscribed for 6 months! 
[124.110] akky_0209: radaoHi
[124.259] mt_riku: わこらだ
[124.325] 戦旗: わこらだ
[124.334] ちょーみん: 2倍EVA！！
[124.547] (S)おふじくん: radaoFight
[124.702] (S)えりさ_: radaoHi
[124.807] tanuki_pan: radaoHi
[125.058] usiuma: 新しいメタできたな
[125.110] (S)みかぬです: おお
[126.123] のらごま: かっけぇ
[126.330] にゃご崎: わこらだ
[126.413] (S)りろ31: おお
[126.561] hanahout: radaoHi
[127.415] buresou: radaoHi
[127.558] ホトトギス: おおおお
[128.077] ayunosioyaki0223: おおお
[128.317] shiozou1117: わこつ
[128.771] (S)えりさ_: わこらだ！
[129.455] sugusugu68: わこらだ
[129.723] tehih: radaoHi
[129.789] こんチャン: こんばんわ！ 
[129.888] kazh1019: わこらだ 
[129.956] (S)yuu_1010: radaoHi
[129.987] start0738: radaoHi
[130.675] shiozou1117: radaoHi
[132.394] poltonpan: わこらだ
[132.706] yamamurame: 新しいな
[132.818] 五色椿: わこらだ
