[2342.101] (S)tama_zx61: umeMezame
[2342.757] (S)イエール: アイイイイイ
[2343.021] (S)軽く捻るか: ナイス！
[2343.621] (S)gorogorogorn: モダンはまだ試行錯誤中なのかなあ
[2344.209] tabibitox: リーチ
[2344.242] donachan: ラッシュとめたぁ
[2349.046] ゾエ: なんでコパ反応できるんや！！
[2350.681] ponponguripon: 今日も今日とてデイリーか
[2351.020] (S)みっちー14: ヌキさんがいるなぁ
[2355.459] もきち555: おっはー
[2359.534] sndkzfm1: 勝率や使用率が想定内なら調整する必要が無いと考えてるんやろカプコンは
[2364.507] axchuuu: アキちゃん触らん感じですかね
[2373.446] (S)日本語かな: 後で触るらしいです
[2376.627] 496shikuro: このゲームデイリーミッションの難易度高いな
[2385.485] (S)yamato925925: ウメちゃん最近配信少なめだけど練習はゴリゴリしてるのかしらねー
[2388.599] axchuuu: アキちゃんまじですか！ありがとうございます
[2398.594] (S)vaio_95: 昨日も深夜にランクマしてたよ
[2403.091] badsalt1118: これで少なめなんですね...
[2408.018] ymi420: ぶっちゃけゲームの完成度と面白さはメーカーどうでもいいんだろうな
[2415.046] (S)yamato925925: してたのですね！
[2423.781] TB2117: うんま！
[2425.997] (S)hoshi_boshi_0: 昨日かずのこさん配信覗いたらたまたまランクマの相手ウメちゃんでびっくりした
[2428.767] emaplusplus: ちびっこムーブかわいい
[2432.574] kimagure444: 経営者はそうだろうけど開発者は面白さ考えてるでしょ
[2443.753] axchuuu: 昨日トラボさんに初心者だけどアキちゃんどう練習したらいいか質問したら「知らん」って言われてももう2度と配信行かないって決めたよ
[2443.856] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[2446.700] hukohuko: 調整頻繁にするとコストかかるからね…
[2447.993] (S)vaio_95: アイイイイイイイイイ
[2448.812] (S)日本語かな: きたー
[2452.667] tomodaachii: nice!!
[2454.691] TB2117: つんよ
[2455.850] (S)yamato925925: 終わったぁぁぁ
[2456.363] (S)monpiipop: いいすな
[2460.414] (S)hoshi_boshi_0: 安定感あるう
[2460.543] (S)ハルキ10: つよい
[2460.960] (S)でかちゃん: ウメちゃん強い
[2461.226] (S)軽く捻るか: P
[2461.496] ponponguripon: P
[2462.002] (S)あぱれる君: デイリー終了 
[2467.679] badsalt1118: よいしょおおお
[2469.044] (S)hoshi_boshi_0: ナイスゥ！！
[2469.256] (S)黒猫くん: 勝つねえ
[2469.644] (S)vaio_95: りゅうちゃーん♪
[2469.675] koga_rashi: 終わった
[2471.883] (S)kakutora_no_o: デイリークエストが終わった
[2472.429] aranami0: つええな
[2472.506] emaplusplus: サンデーダイゴたまげたなぁ
[2473.168] tabibitox: かなりいけるようになった
[2473.528] ~MISSING_COMMENTER_INFO~: デイリーミッション終了！
[2474.518] kukeke212: 結局はアムネジア読みの様子見が強いよな
[2476.296] axchuuu: おつおつ
[2476.691] (S)gorogorogorn: ｗｗ
[2476.880] ponponguripon: 今日も良いデイリーでした
[2478.087] (S)軽く捻るか: JP戦強くなりましたね
