[3598.401] youtori: 船のせてー！！
[3602.931] 丸村: 新島あります
[3607.366] hika2444: タイミング…！
[3611.965] (S)sixfutaba: タイミング悪いの今日3回目ｗ
[3644.505] (S)らずきち: BibleThump
[3651.112] youtori: しんじマ！？
[3657.967] enro_stargazy: ボズヤまじか
[3673.872] 丸村: 既存島でした、失礼いたしました
[3684.211] (S)おばらら: ↑；；
[3728.055] (S)ちむちー: おーーー
[3728.610] (S)sixfutaba: おめｗ
[3729.121] 夢中猫: ｗｗｗ
[3730.655] (S)おばらら: おお
[3733.216] inufu: おおお
[3733.890] (S)らずきち: おお
[3738.255] (S)ちむちー: tonaka2Nice2
[3742.579] (S)chiikoma: ないすー
[3757.187] (S)おばらら: 入れる人数限られてるからね、ＰＴ組んだほうが新しい島はいりやすい
[3791.871] yata_219: ボズヤ懐かしいなー 一時期レベリングでこもってた
[3910.238] つな鮪: かっこいいですね
[3910.448] inufu: DinoDance
[3911.986] (S)おばらら: パガガちゃんでないかなあ
[3928.422] kotakotax: ボズヤのBGMいいよね～
[3933.911] YugaXX: グンヒルド全くマッチせんくてボズヤでレベリングだけして辞めてもうたなー
[3946.180] (S)おばらら: ｗｗｗｗ
[3950.372] (S)おばらら: ﾎｱｱｱｱｱ
[3950.481] (S)ちむちー: ほわーｗ
[3950.487] (S)ふここ: ﾎｧｧｧｧ
[3951.356] inufu: www
[3951.898] chrobell: 聞こえるｗ
[3952.946] (S)しょーぐん: これララフェルじゃなかったんかｗｗ
[3953.360] youtori: ﾎｧｧｧｯｧ!!
[3955.428] (S)えねすと: ﾎﾜｧｰｧ!
[3962.903] (S)rootlic: それ他のプレイヤーだとおもってたわ･･･
[3968.070] inufu: 猛ってる
[3988.268] erre1009: @YugaXX パーティー募集立てると集まるかもですよ
[4034.702] タガヤシ: 高原の方ももネタが結構多くて初見時楽しめたなぁ
[4041.177] YugaXX: @erre1009 なるほど、、試してみます 
[4082.542] (S)おばらら: ○○しき
[4100.260] frachannnn: プレイヤーサーチ
[4102.000] SachiLucky: プレイヤーサーチから
[4102.585] (S)ちむちー: プレイヤーサーチ？
[4107.779] loos1129: O押したらプレイヤーサーチ出てこない？
[4108.865] kotakotax: パーティ確認みたいなとこ
[4111.197] ききょうさん: いま38にんですね
[4125.985] SachiLucky: 右下に人数かいてある
[4137.006] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[4185.338] (S)おばらら: 前の人のマウント イクリールや
[4216.877] (S)chiikoma: イクリールって資料コンプリートだっけ？
[4233.227] (S)おばらら: そうそう
[4248.070] (S)rootlic: 上のエリアのもろさは異常
[4259.375] (S)chiikoma: 大変そう；；
[4327.953] pariiiin: 戦果記録帳の記録のことだよ
[4340.674] ききょうさん: 「だいじなもの」から戦果記録が見れます
[4354.393] (S)おばらら: 暁月はいったとき、みんなここでレベリングしてた記憶
[4373.537] 夢中猫: NotLikeThis
[4374.527] タガヤシ: すぐ死ぬで有名なやつ
[4376.635] (S)rootlic: リューバまじで弱い･･･
[4384.710] (S)おばらら: ぞうさんすぐ；；
[4387.171] (S)ちむちー: BibleThump
[4417.703] gozen_reiji000: 勲章上げるための戦果集めが大変で諦めた思い出
[4417.905] j4p___: 初見です、貴様は？
[4438.849] Juicewisdom: axeumBlush
[4480.554] けんまい: ボズヤだー
[4535.744] (S)rootlic: Lv25は勲章のスタートライン
[4576.244] gozen_reiji000: 勲章全部MAXの人はもうボズヤに住んでる
[4580.449] (S)sixfutaba: とりあえず火力からあげるのがおすすめ
[4585.446] 丸村: グンヒ
[4586.090] enro_stargazy: ボズヤとかグンヒルドとか
[4588.109] adaimae: そう
[4591.564] (S)rootlic: ボズヤとザトゥノルとかも
[4596.514] frachannnn: 戦果はいるならなんでも
[4612.642] yomi43_: ザトゥルノ ボズヤ グンヒルド
[4644.771] (S)rootlic: ニッコリ
[4651.019] (S)おばらら: ニッコリ
[4654.542] (S)ちむちー: ｗｗ
[4663.051] (S)sixfutaba: 渡していいよー
[4663.476] enro_stargazy: 下がらないよ
[4664.391] gozen_reiji000: ランクは下がらない
[4668.568] (S)おばらら: れべるはさがらん
[4668.671] (S)モンゴルマン3号: 下がりはしませんｗ
[4692.116] (S)sixfutaba: うんうん
[4696.054] gozen_reiji000: まず勇猛からがいい
[4701.603] かじまる: 議定官の色がピ〇チュウ
[4704.838] loos1129: どんどん戦果を渡して勲章バッジを増やしていこう！なのがボズヤ
[4726.044] yomi43_: 一つで3%上がる、最大30％
[4741.653] タガヤシ: まあ上げ方はエンドコンテンツ寄りではある
[4743.850] (S)sixfutaba: 結構エグいんよねｗ
[4785.242] (S)おばらら: やりこみがいがある
[4794.752] (S)rootlic: 全盛期ですら折れる人すごい居たけど好きだとタマランコンテンツ
[4821.018] (S)sixfutaba: 戦果記録を全部集める過程でオール10にしたけど、ちょっと病んでた
[4868.904] (S)chiikoma: やっぱタンクなんよ
[4879.330] YomoTaso: へ、へんでぃがボズヤやってる！！！
[4888.162] (S)ちむちー: BibleThump
[4889.174] (S)sixfutaba: 無理やｗｗ
[4890.731] (S)おばらら: あ
[4893.383] (S)山狸: しぬう！
[4895.332] (S)sixfutaba: 逃げてｗ
[4948.923] (S)ちむちー: ｗｗ
[4948.946] (S)山狸: ww
