[979.897] cherry3na: おおおおおおおお
[980.599] akahige9280: まともやwww
[980.610] kinotake_26: おおおお
[982.815] ヒ卜カゲ: 海鮮は必須やな
[983.066] iiikmiii: おおおおー
[983.328] 芝蛸: 天才
[984.917] charlie_drk: でっか
[985.188] kinotake_26: 今のとこ完璧
[985.996] こたつの竜田揚げ: ええやんええやん
[986.535] 徳のイイ緑茶: 有能
[986.736] lisdil8: めっちゃパエリアやああああああ
[987.929] alfredo_the_meat_boy___: wwww
[988.375] kuros46790: マトモｗｗｗｗ
[990.903] lionelmessi4545: DinoDance
[992.636] alfredo_the_meat_boy___: おおおおおおお
[997.231] kota_mochi0822: 今のとこ完璧👏🏻
[1001.144] super_new_nendo: なんのふざけもない完璧な選択
[1003.351] mew3v: あと米さえあれば
[1009.171] らずきち: わぁお
[1011.647] mm_kos: 嘘だろw
[1011.749] 天海シオン: アムかわいい
[1012.777] 1jz_o: えｗ
[1013.735] kinotake_26: コメなかったら笑う
[1013.887] スギウラ: DinoDance
[1014.472] lisdil8: かに！？
[1014.523] 伝書鳩いのっち: かにぃ！？
[1014.589] ぱきお: かに？W
[1014.746] lionelmessi4545: ？！？！
[1015.818] と0てノ: カニマ！？
[1015.919] yu_777_god: おおおお
[1016.478] super_new_nendo: は？
[1017.114] ヒ卜カゲ: わっつ
[1017.539] aphelios_4: まじかｗ
[1017.741] gussan5532: いいねえ
[1017.952] kota_mochi0822: ！？！？！？
[1018.498] mew3v: かに？
[1019.484] かみのすけ: ！？
[1020.095] こたつの竜田揚げ: たっか
[1020.272] 年金泥棒パート2_: 聞いたことねえよ
[1020.487] kikichan917: おおお！
[1021.325] okosama_luncher: かに！？
[1021.689] ただのともや: うおおおおおお
[1023.709] Mrdeee_: PogBones
[1023.758] kinotake_26: 魚介ならセーフ
[1024.240] かみのすけ: たっか
[1025.460] iiikmiii: まさかのw
[1026.752] ワお: 森で蟹！？
[1028.869] mirukure0610: 🦀？！
[1030.597] akixd_55: 豪華
[1031.801] super_new_nendo: 魚介だからね
[1036.073] じぃじぃじぃ: 🦀ボドカ
[1036.089] KANEGOONMK2: 高級感出てきた
[1042.028] kuros46790: 必須やね
[1046.041] mirukure0610: ムール貝ではなく🦀なのがボドカさんらしいなw
[1052.739] mew3v: いいね
[1053.826] クレヨンパステル: いいね
[1055.171] kota_mochi0822: すご
[1055.181] と0てノ: おー
[1056.289] kinotake_26: レモンも大正解やな
[1056.689] のうきんちゃん: しんじ握り潰せ
[1057.268] lisdil8: レモンはわかってる
[1057.471] ヒ卜カゲ: 風味が出る
[1058.780] yottando_o: TwitchConHYPE
[1060.488] okosama_luncher: さすおぼ
[1062.271] トメイトゥ: レモンかけるとほんとに美味しい
[1064.073] kuros46790: おおおおおおおおお
[1069.650] kota_mochi0822: アムかわいいな
[1070.216] mew3v: おお
[1070.633] ぱきお: いいねえ
