[1972.700] 花葉田シイ: 短大卒 大学でときゃよかったなあと思った
[1977.962] haltouc: 子供ができたら価値観変わるから子供できるまでに夢追うといい
[1988.107] aishiteruyo1104: ガチでそれな
[1994.325] kyaiktiyoooo: 勉強しなくていいは、しないでうまくいった人の結果論感ある
[2000.405] zaemonburiburi6: ガチキク
[2004.543] やきそばぱんまん: 交友関係おっきい
[2004.568] potato05215: 大学の夏休みとかなにやってた？人生経験増やしたい
[2005.400] 花葉田シイ: ほんそれ
[2007.713] sekki306412: 国語と社会できなくて理系行った
[2015.345] (S)でーれー: マジで大卒って"資格"だしね
[2026.047] aiueoo000: あ
[2029.691] miya_0828: k4senMagao
[2031.132] kirby_po: まじそれだな
[2032.855] 綾野㌠: か、せん
[2034.534] ワイアード0513: かせんも言ってたな
[2035.396] kouiocha: 浪人ガチキク
[2037.708] takahouse: k4senPatipati
[2039.297] Rize_3010: ニイロウ
[2039.894] やきそばぱんまん: k4senKansya
[2040.897] ぽむ帝: ２，浪
[2041.614] cenbox: 大学つまんないって感じたら何したらいい？
[2044.435] igo_mansam: 浪人は病むよ〜
[2044.515] ディスタンス津田: 浪人はまじで意味ないね
[2049.442] cmg0gt: 浪人はリスキーだと思う
[2052.523] (S)suuute: 推薦で甘えようとしたけど落ちた
[2054.723] takahouse: 医学部ならいいと思うけど
[2057.680] potato05215: 浪人とか俺には絶対無理や
[2074.370] wonderboy_9: 就活終わって最高の気分や！ 
[2087.303] butagorira1217: 俺いま浪人生だけどマジでその通りだと思う
[2088.008] (S)kazaha_zazazaxf: 浪人はキツイからほんとやめとけ
[2091.388] shiiiitake_Mt: 賢い奴の浪人と馬鹿な人の浪人は全然違う
[2092.328] つかぽんたん: 学生にはカセンさんの革命みてほしい。
[2111.466] doggo813: ゼミで地方の銀行決まった人めちゃ自慢しててうざい
[2112.054] takoyaki47473: ボドカさん、いつも見てます
[2112.278] ahiruchann: 社会のはみ出し者感ぱない
[2123.055] ボブ2: 浪人より短大とかから編入した方が確実に楽だしな
[2123.168] wonderboy_9: 言い訳やめてね 
[2128.144] diii_twitch: バカすぎてなにも考えずにFﾗﾝはいったんだけど皆いつのまに受験が大切って知ったんだ;;
[2140.745] samontaro: ここにもぶっ刺さってる人いそう
[2144.107] Juicewisdom: axeumBlush
[2149.359] wonderboy_9: Fランだからとか関係ないぞ、就活しろ
[2149.610] kabukisanteam: ぶっちゃけ大学院いくなら通過点でしかないから浪人とか無駄だぞ
[2152.294] Ruki_ttv: ほんまにそう思う、上の大学を目指す向上心のある奴だけが浪人生越してた
[2156.637] (S)可能性の獣1: 国公立文系は結構ギャンブルだから金あるなら私立文系にした方が100倍楽
[2159.458] Ruki_ttv: 成功
[2164.236] kaha3s: 危機感もったほうがいいよ
[2176.555] 飛雷りよ: こんにちは高校授業2~3時間目の間に見に来ました
[2177.314] sora_444: 浪人したからっていっても成績は伸びんのよな
[2178.197] kaha3s: それ
[2183.015] 7magari_ships: 浪人したけど旧帝以下のクラスのやつらほんと遊んでばっかやった
[2186.459] (S)でーれー: わかる
[2187.480] wonderboy_9: 部活やってた奴は切り替えが凄いわ
[2187.617] kingdeb120: 勉強苦手過ぎてしなかったから浪人しても頑張ってんのすごいとおもう
[2189.933] (S)suuute: レベル低い国公立文系選んだわ
[2194.283] sekki306412: 人によるな
[2194.480] mune29_chan: 藝大とかは浪人多い
[2194.948] igo_mansam: 気合いが違う
[2195.135] mpmdg: 勉強してないよ帰宅部は
[2196.437] (S)kazaha_zazazaxf: あれなんなんだろうな
[2198.430] haltouc: 自己管理できるからね部活k頑張って個入れた人達
[2200.174] kyaiktiyoooo: 部活に向けてた気持ちを全部勉強に向けれてるよね
[2204.109] 花葉田シイ: メリハリのつけ方とかの差？
[2217.265] kou445: 体力と根性が違う
[2218.238] なっしー0812: 部活してたから自主練が上手いのかな
[2220.816] ahiruchann: それにつきる
[2221.461] Lavaandpeace: 進学校の奴は大体夏まで部活やってそこからガンガン勉強して受かってる
[2229.612] Rize_3010: 浪人で成績上がるやつ2割くらいっていうしな
[2233.255] kabukisanteam: あと入ってみると大学内にスタバがあるとかの違いしかないからあんま意味ない
[2236.042] haltouc: 社会で会話してるとすぐわかる。浪人して目的のない人
[2236.274] corgi_green: 受験割と楽しかったけど浪人できるかって言われたらできないな
[2243.557] 台湾の薬剤師ハク: 僕は当時医学部ほしいけど浪人になりたくないから薬学部を入った
