[169.234] (S)ぉうどん: かわいい
[169.270] (S)ふぁじぃ: とり男さん！？
[169.824] nana0420: わこらだ
[169.838] にゃんこ侍: わこらだ
[169.844] saorimu: みどりくんがいると聞いて来ました
[170.460] yuukichan07: とりお
[170.554] (S)hururun86: なぁぁぁいす
[170.685] sirokuzira: わこらだー
[171.705] (S)こたくんまる: こたくーん subscribed at Tier 1. They've subscribed for 3 months, currently on a 2 month streak! 戦場でまみえることを楽しみにしてます！
[172.900] kanitabeta: 緑君見にきました
[174.158] v4t69: わこらだ
[174.330] rurina_a: www
[174.367] itowatarai: わこらだわこらだわこらだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだわこらだわこらだわこだ
[175.022] raimu_0824: わこらだー
[176.263] obakeda: これってPCのみだよね。
[176.475] (S)r1ntww: わこらだ
[176.491] (S)kono_5no: お昼寝した？
[176.727] ritsuchan1030: かわいーん
[176.949] iruka_06: かわいーん
[177.479] dadadadadesu: とりお
[177.756] (S)mamo_tarou: 鳥男さん
[178.128] yuchan_sensei: ゴールドの沼に嵌ってけ
[179.572] (S)ごにごにい: わこらだ
[179.611] 角角家: 緑くんかわいーん
[179.888] (S)salt_w12: とり男
[179.971] (S)ゆのちゃ: ゆのちゃ subscribed at Tier 1. They've subscribed for 9 months! 
[180.495] えいぱぁ: わこらだ
[180.529] (S)schneeded: わこらだ
[180.631] sannnami: ww
[180.905] ﾊｲﾌﾝ: わこらだー
[181.161] ui125: 殺伐感なくなるなぁ可愛い()
[181.371] nulyui: わこらだ
[181.646] (S)_みさ_: トリオくん
[182.390] 1to_o26: わこらだ
[183.389] がるーら: らだおくんじゃなくて緑君見にきました
[183.949] ぁらら: 寝起き？
[184.127] なっしゅげーむず: ウチよりランク高いやんけ
[184.376] (S)syuurtami: ゴル帯同じジャーン運命共同体だな
[184.633] gokkochann0312: みどりくんが出ると聞いて…
[184.930] masukuhakokoda: とりおさん？？
[185.311] (S)jaja319_: わこ
[185.546] asufa0929: 授業中だけど緑くんいるから、抜けてきたお
[185.656] (S)雪華0830: かわ
[186.103] (S)おなかぐう: onaka_guu subscribed at Tier 3. They've subscribed for 4 months! 
[186.176] solu_neko: わこらだー
[186.324] yuuu1004: わこらだ
[186.392] (S)荒川さん: 今からゴールド上げてくるからそれまで待ってて
[186.623] mattyacookie: わこらだ
[186.858] (S)umbrella_3373: キャラねw
[187.652] sarada_maru: わこらだ
[187.780] wam2317: わこらだ
[190.559] onigiri_83: わこらだ
[191.267] machipafe: わこらだ
[191.396] (S)7むし: トリオ…
[194.079] (S)ぱんだぁぁぁ: ワコラダ
[194.212] ねぎあいす: わこらだ
[194.462] (S)kujirai___: わこらだ
[194.683] (S)Shimon394: radaokunWakotu
[194.742] (S)リリーフ: リリーフ subscribed with Twitch Prime. They've subscribed for 4 months, currently on a 4 month streak! 
[194.777] nk716: わこらだ！
[195.442] gokkochann0312: みどりくん見に来ました
[196.199] (S)soramame222: わこらだ
[197.132] (S)なっちゅん77: 見ながら勉強するわ
[197.283] (S)hiyoooona: わこらだです
[197.388] kanitabeta: 緑君可愛いキャラ作ってるけど何歳？
[197.627] 親愛なるニンジン: どりみー起きてる？
[197.779] (S)pokka_momo: わこらだ
[199.266] siroa2004: わこらだ
[200.242] uni_oishiine: わこらだ
[200.409] ぷちちゃん: わこらだ~！
[200.546] ぁらら: らっでぃ課金できない系や
[201.358] (S)kibunya_sun: radaokunWakotu
[202.183] yoru164: リスナーの金かな
[202.233] hivel_17: わこらだ
[203.016] zyagaimo__: わこらだ
