[371.185] booooo4026: 魚群？死んだはずでは？
[371.438] (S)tamukantamu: 今日なかもんと初めて会ったの？
[371.503] (S)コムコムぽん: 最後の魚群の力
[372.399] ocelotnotaisho: 詐称は草
[373.582] m1s4m0: なるきゅんがんばれ！ 
[373.799] judicialscrivener: 魚群の亡霊
[374.578] あかなめ: みんなシードやないかい！
[374.581] amumurin_: 魚群ってなんだ？
[374.643] noboooooooooru: 群れはもうないのよ
[374.747] (S)オリエ: 魚群、、、
[374.784] shizuku_72: 魚群……？
[375.899] sizzleFizzle_Fizz: 無職なるお
[375.956] 永瀬_: 今は無き魚群を背負って
[376.917] 毛むくじゃらのコリー: 時間おそいからなぁ
[377.029] syrup160g: 時間遅いしな
[377.134] katanantoka: 魚群の生き残り
[377.570] (S)やくりのやっさん: 群れとなる；；
[377.716] endoscoper: 魚群・・
[378.722] (S)タロイモラテ: がんばれーーーー！！
[379.918] ponponpawn: 無職の圧
[379.967] saibabasan: 20:30に来いはさすがにね
[380.262] roziurara: DQ多いなｗ
[380.400] tinpantarou: 魚群ってなんだ？
[380.531] 7qojisan: 群れは散った
[381.122] (S)04popoo: 魚群の残党
[381.351] なんぱす: 魚
[381.545] (S)tefuzappa: はぇー
[381.586] chira_key: 遅いしな
[382.635] guest324438: DQ
[382.639] owl_ito: 優勝が見たいぞ！
[383.173] ryo_hamburg: 魚群？
[383.430] fumbi5566: この時間だしなぁ
[384.521] youtori: 魚群・・・聞き覚えがある名だ・・・
[384.989] nia516: 魚群ww
[385.113] _カタクリコ: 群れはもう；；
[385.947] あきがクラ: ありゃー
[386.882] (S)くろりんだよ: 魚なるお
[387.570] puropion8: 4人て
[387.778] tOsHi_0907: 1匹の魚として
[388.866] khaaaki: しゃあないか
[390.076] kanipanrider: いまでは単魚です
[390.693] (S)がすいんニキ: 油断するなよー！
[391.552] (S)guntose: まぁDQ多いのはしゃーない
[391.688] sodaphilosophy: 時間がね
[393.858] (S)04popoo: ボランティアにぃ
[394.834] べにつば: がんばれ！！
[395.767] SuperMaguro: あーしもっとアピールしろ！！
[396.222] camel0141: 最後の魚
[396.369] ぱりっぱり: なるおわらー！
[396.934] (S)だぼあぜ: 帰りやばくなるからなが
[397.014] _カタクリコ: こっそり魚人に変えろ！
[397.887] 愛たつや: dqって棄権？
[398.270] ocelotnotaisho: 群れじゃない 1匹の魚
[399.557] kurohata300: 魚群最後の大一番 ゆけーい！！
[404.474] (S)ピース様: 魚なるおにしよう
[404.542] ちづにい: ごーしくんには会ったのかな
