[4053.641] snowX23: メナトの攻撃は離れてるとガードされて有利Fになるのが多いですね
[4069.812] へんたいりゅー: ミカで遠くから水晶設置されたらマイク歌っているんですが、これって良いですか？
[4082.296] Ramuneco: HSWP
[4093.287] maku917: 知らなかったー
[4116.449] galovan0: 中パン延々おかれながらしゃがみ強ぱん待たれてるのがつらい
[4118.506] mitsuyacider: いぶきはクナイ戦法できないの？
[4240.462] galovan0: 寄らせて引き戻してた有利固めしてくるのつら
[4247.805] snowX23: 引いて投げる
[4251.451] (S)ゆずりはおじさん: yoitomake subscribed with Twitch Prime. They've subscribed for 3 months! 
[4259.405] りんごとバナナ: おじ
[4264.168] shochann: なるほどー
[4270.245] shochann: 理屈はわかるんだけど・・・
[4318.963] galovan0: ところがケン、ゴウキ、カリンとかの屈中Ｋが強い奴にはやってはいけない
[4324.587] snowX23: 見てから立ってるんじゃないんだー
[4337.986] (S)ask4exe: 昔はつめに行ってた後ろに入れるのが強いって話かな
[4339.383] (S)桜風かなた: よくくらうー
[4358.704] mysis96: いぶきの中段くらいしか見てから立てない…
[4421.973] shochann: sakoさん、たまにやってるよね
[4450.268] snowX23: メナトは戻し球ガードさせて投げたいです
[4487.440] galovan0: その距離にいったらほぼ勝ちじゃない？
[4523.638] (S)ガチくんコス転売ヤー: カーメンきつい
[4526.355] NaughtyJuri: Kappa
[4527.593] shochann: メナトとダルのドリルはほんとつおい・・・
[4539.113] snowX23: 足元に当たらないと相手側が有利
[4557.536] りんごとバナナ: 着地の硬直を殴れるタイミング
[4573.208] galovan0: キャミイのは必殺、こいつらのは特殊だから判定が
[4581.848] (S)cherimoyavr: なるほど
[4603.967] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[4616.678] (S)momijimanjuu: 上手い人ってほんと立って動くよね。しゃがんで固まることあんまりない。
[4626.825] maku917: 足遅いキャラ使ってるからめっちゃ足元踏まれる…
[4644.884] shochann: バクステするしかないファルケ･･･
[4679.155] littlestory4: sakoさんはバクステ連打オススメしてますね
[4703.150] maku917: Ｖリバしちゃう
[4703.873] (S)momijimanjuu: トリガーの選択肢が人によって色々あるから対策しきれないよね
[4708.251] 風呂でフルーチェ: トリガー吐かれる前に倒したらええねん！
[4718.128] (S)Kanquez05: ジャスティンは逆に前跳び待ってるよね
[4776.027] (S)momijimanjuu: トリガーあるときのカーメンキックはバクステして逃げる以外ないでしょｗ
[4836.511] shochann: ストVはステージデザイン問題あるもの多過ぎｗ
[4883.453] (S)momijimanjuu: トリガー溜まってる時のスライディングどうしたらいいの
[4885.214] snowX23: 学生コスやミイラコスなら水晶見えまくりますよw
[4893.651] (S)ohigara: まさか現代のゲームで見えないなんてことある～？
[4952.734] hideto007: やっぱ俺は」ローズ使いたい・・・
[4954.450] kireboshibasyato: EXは吸った挙句ダメージで溜まるからホクホクらしい
[4963.502] snowX23: exはできなかったかと
[4972.456] shochann: 弾より優秀な玉を持つキャラ、メナト。
[5007.223] snowX23: へぇ！
[5007.528] psionicpsi: 面白いな
[5010.269] (S)heterotopia3: なんだそれ…
[5012.439] masakiti42: すげー！
[5056.012] snowX23: ジャンプ大攻撃したあと、地上で球の攻撃すると球が来ないことはたくさんあるけど
[5114.112] (S)Kanquez05: sakoさんとかわざと水晶が戻るのを遅らせたりしてる
[5123.662] (S)sora_neko09: sakoさんはミカではなくふ～どが苦手って言ってる
[5237.255] shochann: これね、割と気付かないよね
[5239.147] (S)heterotopia3: わかってるけど出ちゃう
[5243.042] phillip38: 何回も言ってることだぞ！
[5248.445] shochann: 斜め止め大事
[5266.113] sh1zuku716: トリガーの途中、中段飛んできて終わる
[5267.730] (S)momijimanjuu: 大丈夫どうせまたやるからみんなやる
[5313.945] shochann: くるーんチャンスってことか・・・
[5333.113] (S)momijimanjuu: ガードされても攻め継続されるよりは大分いいでしょ
[5358.458] shochann: オカルトｗ
[5382.889] psionicpsi: LUL
[5393.410] (S)momijimanjuu: だめだこれはだめだ
[5400.737] sh1zuku716: 対策 超見る
[5414.402] shochann: それ、普通の人無理では。
[5415.888] (S)sora_neko09: 普段より超見る
[5420.210] (S)momijimanjuu: ふーど講座で何言ってんだって思ったの初めてかもしれんｗ
[5421.059] littlestory4: クロダさんがダッドリーの中段見るときの話みたい
[5422.476] atom0324: 見るスイッチをいれるかんじやねｗ
[5422.514] mysis96: 集注する
[5430.572] (S)kyo967: 心理戦？
[5433.833] psionicpsi: 気持ちが大事
[5439.822] (S)vent_odd: ふーきゅんの"領域"
[5440.526] ninny_nill: 凝
[5441.050] (S)canon_203: 刮目せよ！
[5445.248] odaodaodaoda1: マゴさんみたいな集中力ない人はどうするの？
[5448.176] shochann: 根性論に近いｗ
[5453.852] ant0n111: 意識付けとか意識配分のスイッチを作る感じかな
[5457.563] shochann: 部活
[5461.595] maku917: 来るぞって身構えるってこと？ｗ
[5471.524] (S)sagatdeganbaru: 集中力ブースト
[5480.742] (S)momijimanjuu: 頑張って反応するって言ってるのと大差なくないｗ
[5481.915] 風呂でフルーチェ: 集中力ない人は覚悟してボタン押すとか…
[5506.731] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[5520.222] (S)momijimanjuu: そのバクステ狩る方法とかありそう
[5555.328] (S)sora_neko09: 気合
[5557.470] (S)kyo967: 気持ちで勝ってる
[5558.558] (S)momijimanjuu: 気合でめっちゃ見て反応しろ
[5566.009] shochann: ふーど部
[5601.359] hoehoeR: そんなのあったんだ
[5622.345] (S)Da01fn: idnnn116 subscribed with Twitch Prime. They've subscribed for 5 months! 
[5655.191] (S)momijimanjuu: ガードのタイミングで小パンとかダメなの
[5709.142] shochann: ズルない？
[5734.274] odaodaodaoda1: ヒットボックス強すぎぃ
[5743.699] littlestory4: あとバイソンのトリガー中の前Pは派生1回目と2回目で距離変わるのも重要じゃないですか？
[5748.599] hoehoeR: パットもやりやすいのかな？スマッグすごいけど
[5782.378] (S)ぐれごり: ぐれごり subscribed with Twitch Prime. 
[5840.915] (S)hikari3br: umeMika
[5866.870] (S)snowblack515: 梅ヒットボックなんぞ、中段見てからサマーだのダッシュCAとかやってるぞ
[5895.655] shochann: ダッシュCAｗ
[5907.117] hoehoeR: 差し返しサマー極めたらやばそう
[5913.871] (S)kachikachitamago: kachikachitamago subscribed with Twitch Prime. They've subscribed for 4 months! 
[5942.326] maku917: 3Ｆ無いキャラは付き合うしかないんですか？
[5968.653] (S)canon_203: (ノД`)・゜・。
[5969.339] (S)vent_odd: ガンバッテクダサイ
[5971.627] (S)momijimanjuu: 諦めろ
[5972.814] (S)Kanquez05: ｗ
[5974.465] shochann: ４Fは、技置いて当たるの祈る。
[5974.667] mazeruu0044: 人権なし
[6004.542] maku917: 悲しい…
[6033.719] 風呂でフルーチェ: 昔は有利だったんだよね
[6036.036] shochann: それーーー
[6047.152] ga_hq: よく食らうやつ
[6048.791] shochann: 足ふみ、ほんとうんこ
[6052.104] (S)momijimanjuu: 後ろ歩き取れるんだ
[6052.907] shochann: あれで弱くなったｗｗｗ
[6077.270] atom0324: ぬるいのか・・・
[6112.617] odaodaodaoda1: それ確かによく見るわ
[6176.003] shochann: げえ
[6194.287] (S)momijimanjuu: やらないんじゃなくてできなくねｗ
[6226.243] 157655: すげーなー
[6269.463] (S)vent_odd: DQN3兄弟の長兄
[6278.823] shochann: ストVじゃなくて、ベガVになるから・・・
[6303.570] maku917: ベガは勝率高いみたい
[6317.685] odaodaodaoda1: リュウは主人公だからイイ子してるね
[6317.988] (S)momijimanjuu: 技の判定がつえーんだこいつ
[6325.872] hiroshiman_mageole: 今日ベガか！！
[6326.332] shochann: 数年前のラグナザブラッドエッジみたいな何か。
[6330.512] (S)ガチくんコス転売ヤー: ベガの弱点髪型がダサいだけじゃん！
[6333.218] hiroshiman_mageole: ベガマジ勝てない
[6342.658] 157655: ボタン全部つよーい
[6358.093] (S)Kanquez05: 4月のCFNの勝率1位ユリアン2位ベガ
[6396.950] (S)ガチくんコス転売ヤー: CFNの勝率はランクごとで分けなきゃ意味ないとは思う
[6399.728] へんたいりゅー: ルフィ直伝
[6408.696] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[6434.988] shochann: もうハードル高い＾＾；
[6435.147] qk10min: シビアじゃないけど指かけとかなきゃできないね
[6451.969] 名無しベータ: ｗ
[6459.402] (S)momijimanjuu: 前に歩くとこに当てたいから早く出してもダメなんだね
[6520.100] shochann: バリアパンチ
[6521.219] 名無しベータ: 足元弱いんだっけ
[6527.487] scottiever06: 判定が鬼や
[6536.674] qk10min: 読んで飛びが正解だよね
[6558.417] (S)momijimanjuu: こいつ足遅いんだ
[6564.554] sh1zuku716: ダッシュ膝が怖い
[6566.907] (S)momijimanjuu: そんなイメージ全然なかった
[6589.600] lucentsnow: S4で早くなった
[6596.184] maku917: ダッシュで近寄ってくるよね
[6744.274] (S)momijimanjuu: ほらやった
[6826.608] b0tes: umeMika
[6841.542] 名無しベータ: VT1のブラストもつながりますね
[6881.977] qk10min: EXニー来ることもある
[6906.974] littlestory4: これで5Fの中攻撃持ってたらやばかったですよねベガ
[6923.479] (S)momijimanjuu: はー
[6935.544] maku917: まーじか
[6951.928] (S)momijimanjuu: EX昇竜むっじい
[7004.716] (S)momijimanjuu: こういう丁寧さ覚えるとベガに勝てるんだろうなぁ
[7062.558] scottiever06: 表裏を行ったり来たりするのが嫌すぎる
[7064.524] へんたいりゅー: 前ステ22なので止めるのが結構簡単
[7066.925] maku917: ヒットボックスの動きがｗ
[7070.861] ryo330: ベガの前ステは止めたいね
[7103.384] shochann: S1のデビリバ狂ってたな
[7109.616] sh1zuku716: あらがうな？
[7193.026] Stay_Hydrated_Bot: @daigothebeastv 
[7237.596] ~MISSING_COMMENTER_INFO~: mezurashii..
[7248.662] (S)akito1234: なるほど
[7269.710] (S)momijimanjuu: 死ぬほど遅いｗｗｗｗｗｗｗ
[7283.951] (S)mi0306: そんな押し方あるんや。知らんかった
[7292.347] snowX23: ミカはどうするの？コパとキック3つをズラすの？
[7311.109] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[7326.122] ~MISSING_COMMENTER_INFO~: VoHiYo
[7338.559] autoflog: VoHiYo
[7345.547] へんたいりゅー: EXニーは+1ですよ
[7555.474] snowX23: Vt1の消えるデビリバは食らうしかないのかな？
[7573.912] ~MISSING_COMMENTER_INFO~: so loud over there is it a sound board 
[7579.356] ALeGordo: Tekken?
