[1239.256] misopotato: Xで対戦するといえばこのステージ
[1239.482] yuyu09250925: つええ〜
[1243.836] アメンタセル: オゴウクラハシウメハラの三つ巴思い出す
[1243.885] おすかいと: つよ〜
[1246.357] nosveral: not more with less health
[1248.079] hara124: 神BGM
[1248.414] balthazar000: アムネジアで楽してきたぶん、斬空で困らせてやってくれ
[1250.173] (S)ちぇんぷる: つえ」ー
[1250.290] aiueo_zzz: 今カスタムかなんか？
[1250.917] tamachan_5: 色んな曲聞けて楽しい〜🎶
[1252.318] shirokuma1228: JP終わっただろこれ
[1252.704] MisaMisa_12: JP側できるとしたら空投げくらいかも
[1254.683] enden7777: 最初からおにぎり食ってこいよ豪鬼くん🍙
[1258.135] こたのすけ: BGMがあるとあるはずのない背景が目に浮かぶなぁ
[1258.141] (S)ganaha5757: こんだけ差し返せるならガイル使ったらそれだけで勝てそう
[1262.008] sphere0315: カァ
[1263.137] marvolo6: BGM追加これ神すぎるな
[1263.672] (S)marimo0602: umeGu_SG
[1263.885] hairi0610: オーロラどこぉ
[1266.523] opsfghh: jpは斬空に回答ないのまじで詰んでる
[1276.797] びっくすまん: BGMいいね
[1277.012] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1289.221] balthazar000: オーロラも、崩れそうな細い足場も見える、見えるぞ、、、
[1289.418] shoryuken8: JPさん…
[1289.995] (S)hakka_s: 音楽かっこいい ピアノ
[1293.278] prisira: ＯＤ百鬼で近づけるしまじで豪鬼きついと思う
[1293.732] hoshi_boshi_0: umeWins
[1297.482] のぶとも: インパクトかっけぇなー
[1299.412] laorao0: 肩
[1302.774] (S)ちぇんぷる: つよーい 
[1303.056] udonsan11: 楽しそうでなにより
[1304.488] yunyun_ada: それでも初心者台ではJPは強いだろね
[1308.478] saitou_yatu: まあ斬空に答えがあるキャラいんの？って思うけどな
[1313.176] fescap110: 豪鬼のラッシュ、ちょっとモッサリしてる？
[1318.295] totomaru_chan: 胴着キャラは新キャラでもすぐ使えるもんだね
[1318.624] MisaMisa_12: ２３６９で低空斬空も可
[1319.049] yuyu09250925: サマソ
[1321.038] prisira: ザンギのダブラリはいけるんじゃない？
[1323.542] ましゅダヨ: うめちゃんおはよー
[1327.738] のぶとも: ザンギ明確に答えを持っておる
[1332.140] kr4ftwerk: FamilyMan
[1332.997] んぼし: インパクトで拳を最後引くのカッコいい
[1333.439] prisira: うめちゃん阿修羅の軸ズレ知ってます？
[1334.593] sanada7140: メニューBGMも変えられたらいいのになぁ
[1336.094] sei_6: キタ
[1345.595] rasuan103: 神曲
[1347.307] マンゴスチン: ザンギの時代がついに…！
[1348.149] (S)ヤマグチノボル: 夜は配信なしですか？
[1350.088] tabibitox: ふがしジャスパしてもなんもないのかな？リュウの真空波動みたいなことできたりしてｗ
[1360.367] njpw2017: 弱体化してルーク引きこもってるみたいなマッチング画面
[1362.855] hoshi_boshi_0: はーい
[1363.050] ねむお3: レアキャラルークさんじゃん
[1363.187] Wutevadude: gouki wins! “i am gouki, u are jp”
[1364.279] ちべ: ルークってpadなんだな
[1364.300] ましゅダヨ: はーい！
[1365.713] balthazar000: 会食 か
[1368.477] totomaru_chan: 十分だなw
[1373.377] 日本語かな: 何かあるのか
[1375.995] sirin_1206: ときんすのテーマ
[1377.541] (S)すけりょー1011: 了解です🫡
[1377.959] masmas999: 中央はもっと開発進めば火力上がりそう
[1378.473] 泣き虫サクラ: ※今日は配信17:30位まで
[1378.777] electric_gorilla: 5時半でも十分長いよ
[1381.911] beishok: 絵かわいいな
[1382.048] ましゅダヨ: 別ゲーかもしれない…
[1382.887] onion3po: 強Kはいる
[1385.084] 日本語かな: いや、その後大Kありますよ
[1386.258] (S)ナイアガラ55: 十分な尺
[1387.637] ちぇすとです: 大足まで入る
[1387.818] saitou_yatu: ザンギって豪鬼の波動にどうやって近づくの？弾抜け追加された？
[1387.846] atsuhero3: ppk
[1393.250] gunnsou123: 3
[1394.471] kiton_taichi: 3段
[1399.592] 日本語かな: 3段
[1402.291] marvolo6: 強Kまでで２１００だったっけ
