[1746.395] ys11ys21: ときどさんエコフォのイベントでマシュマロ口に詰めこんだことあるからこういうのイケるよ
[1747.578] めるかーと: おじリーグ1位の人がMC？
[1749.304] 桜風かなた: momochocoTensai
[1750.679] taroumaruh: あの写真は確かテレビのワンシーンだったはず
[1751.394] mAsA0852: umeCat2
[1752.554] simple_geek: MAXの量おおすぎて草
[1755.342] だわさワサワサ: ときんす猫舌なのがw
[1757.974] (S)blackmark2: 1.エキシビジョン ソニック５０発VSスシ50貫
[1763.675] (S)girotin89: 最強のおじゲーマーアール
[1764.349] simple_geek: 機能
[1764.644] 超アンディー: あっついお茶ｗ
[1766.001] しいたけもぐもぐ: 寿司🍣
[1766.222] こうき51: マックスさんのYouTubeすごかった
[1767.772] vent_odd: ときどさん猫舌らしいけど…(´・ω・`)
[1769.723] (S)king_ice23: 生放送だよね？
[1777.548] niemalsaufgeben: Kappu
[1779.940] しいたけもぐもぐ: 始まる？
[1779.991] たけおか: umeShave
[1781.018] ロータス: 時間です
[1781.229] (S)ポンポン: 楽しみな企画きたー
[1782.299] notero_jp: 今からスタートですか？
[1783.015] kwsk3: 13時だぞ！
[1783.938] wnamew: これ流石にMAX鈴木さん厳しそうな感じか？
[1785.154] あずき3: ソニックは密着で撃つのか？
[1787.564] Twitch_HIT_GG: きたああああああああああああ
[1787.764] (S)gaugaugua: ウメちゃんでも緊張してソニックミスるかな？
[1788.506] (S)Hitode_noko: オハヨー
[1788.536] taroumaruh: its time
[1788.839] みっそー: うおおおおおお
[1790.066] ~MISSING_COMMENTER_INFO~: "私たちは戻ってきます"
[1791.127] aliyome: 10個とか上顎ﾍﾞﾛｯﾍﾞﾛにやけどするやろｗ
[1791.986] mkxishypelul: food stream Pog
[1792.072] simple_geek: サブスク限定動画にしてもいいくらいだな
[1792.272] fukuzawa1manyen: 13時
[1792.696] ジュン0408: こんにちは
[1793.967] らじか: Kappu
[1794.154] nineball_akira9: 猫舌瞬獄
[1794.252] (S)ganmatiojisan: ganmatiojisan subscribed at Tier 1. They've subscribed for 9 months! 
[1794.389] (M)Moobot: Thanks for subbing for 9 months, @GANMATIOJISAN 
[1795.471] (S)ムエタイ: 努力2.0
[1797.545] kahaku91: ときどさんは吸い上げるらしいｗｗ
[1801.845] (M)blankey3104: 来いーーーーー
[1802.047] Twitch_HIT_GG: We will be right back
[1802.991] あずき3: CurseLit
[1804.415] xystm: umeCatGlare
[1807.619] 超アンディー: あっついお茶を1万回飲んでもぬっるいお茶にはならず。
[1808.615] (S)Tanakatakashi: MAX鈴木最強！
[1809.226] yamatetu: ＠ganmatiojisanさん、LuvPeekRをありがとう。
[1809.460] (S)hawawawawawa: スト5配信より企画の時の方が視聴者おおいのね
[1811.296] (S)blackmark2: 2.ラーメン98度以上設定で早食いリレースープ込み。ウメチーム5人X2杯。 MAX鈴木一人で10杯
[1811.465] nagilay1: ＭＡＸも汁飲むのは相当ひよってたらしいｗ
[1812.011] lyo0822: ときど気合入ってるな
[1812.517] (S)とおー: umeYay
[1813.183] ninnin: まだか
[1813.189] kennington33: すごい面子なのにゲームと全く関係ないところがいいね
[1814.018] obo_006: きたああああああああああ
[1814.138] Tayori___: rtaHello
[1814.212] しいたけもぐもぐ: sakoKao
[1814.372] エリ_10: マックス鈴木のYouTube 見たけど、ウメちゃん、謝っておこう
[1814.524] co2tan99: ルールは？
[1814.608] kwsk3: わくわく！
[1815.546] lunasolnars: umeCat2
[1816.019] (M)Moobot: That's a tad too many emotes, @Hitode_noko (warning)
[1817.715] fen6: umeYay
[1819.267] monroe_japan: 3900人？
[1819.918] bearkirin: きた！
[1823.287] ramposan: dude the photo in the background
[1827.940] gomeeen: モニターの横に遺影が・・・
[1828.487] (S)麻雀打ち: きたー！
[1830.201] keawuot: 神
[1830.291] obo_006: 早くもこの人数
[1833.255] kamisimeru: とにかくMAXさんすげーっていいたいんや！
[1833.714] (S)gaugaugua: 人がもりもり増えてるｗ
[1834.039] (S)girotin89: 開始4000は笑う
[1834.114] odaji2351: うおおおおおおおおおおおおおMAX最強！MAX最強！MAX最強！
[1835.189] gyouzazin: はい遅刻
[1835.229] simple_geek: こいこい
[1836.571] hairi2020: ラーメン！ラーメン！
[1836.701] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1837.664] (S)dingo_same: umeYay
[1839.895] vent_odd: 本来の大食いだと火傷防止でスープは免除されるんだっけ
[1840.880] tarantarantaran: umeYay
[1841.461] (S)ウィルスミスビンタレベル8: umeYay
[1841.893] カエル君: こういう企画で格ゲー回の門戸を広くする目論見もあるんじゃないの？
[1843.400] (S)user81023: ちゃんウメ！
[1845.177] fen6: umeYay
[1845.777] shiotama: こんにちはー
[1846.010] (S)tukumi07: umeSalute
[1846.774] (S)Hitode_noko: すげえ人の入りだ
[1846.954] hirohash1: わくわく
[1847.420] simple_geek: もう4200人ｗｗ
[1848.423] A135alfa: Kappu
[1848.845] noedi12: うめちゃーん
[1849.219] mutuizumi: ４２００・・・
[1849.737] ロータス: 「…」が「き」の中になるのが気になる 今更だけど
[1852.310] takeiteasy55: いやーこれは面白そうだもの。人結構来るでしょ
[1853.155] (S)himeguma_ma: sigmarth subscribed with Twitch Prime. 
[1853.240] (M)Moobot: @SIGMARTH with the Prime sub!
[1853.675] 将門ゴルゴロ: ウメちゃんインフルで倒れてたどうしようｗ
[1854.319] (S)Gordstorm: umeSalute
[1856.268] shiotama: そろそろかな？
[1856.485] (S)dingo_same: umeWin
[1856.794] 河合惣五郎: FOOD & DRINK ってカテ笑っちゃった
[1857.405] たけおか: umeYay
[1858.283] metya_uma_shika: ジャスティンがいたら笑う
[1858.550] (S)feel2525: うおおおおお
[1859.046] keawuot: umeYay
[1859.761] rindy08: umeCheer100 喰え！
[1859.916] (M)Moobot: Thanks for the support, @rind0808 
[1860.270] しいたけもぐもぐ: えいたさんはよ
[1862.694] letata1: CPT始まったか
[1864.496] kwsk3: こういうやり方もあるってのを示してくれ！
[1864.637] overgtaito: 面白いからやるだけっしょー
[1865.467] (S)dingo_same: umeYay
[1866.059] simple_geek: ハイプトレイン
[1867.780] 鉢植: PrideLionChomp
[1867.900] ~MISSING_COMMENTER_INFO~: 寝坊か？
[1867.927] nagilay1: ジャスティンなら生観戦あるで
[1868.859] (S)user81023: プロゲーマーといったら早食いなんだよなあああ
[1871.030] sasadango1: 吸い上げよう
[1871.981] kennington33: 日曜日だしもっと伸びるでしょ
[1872.022] fen6: umeYay
[1872.784] aliyome: MAX鈴木の商売道具（口内）を破壊する企画なのでは？
[1872.923] monroe_japan: 人どんどん増えとるがー
[1872.925] worklabo: 寿司VSソニック
[1874.778] suginaka56: umeYay
[1875.080] shiotama: umeCatSleep
[1875.997] (S)でぃーでぃーえむ: umeWhat
[1876.157] (S)麻雀打ち: パイプトレインだーーー！
[1876.461] Papapadad: umeCatSleep
[1877.303] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1877.486] niemalsaufgeben: TPFufun
[1877.513] エリ_10: ウメちゃんの風邪が心配
[1878.035] kanipanman: 10杯だと熱湯3リットルだろ 致死量くね?
[1878.300] xystm: umeYay
