[1165.898] akiaki0612: ウメさんは空腹や満腹で集中力変わりますか？
[1167.453] (S)lambdartian: wwwwwwww
[1167.749] c5e2pzzlthnh: BigPhish
[1168.827] lyo0822: キエエエエエエエエ
[1173.120] dan_fjv: JOGOU MUITO SAFADO
[1173.479] hassou_tobi: got em
[1178.426] odaji2351: １キエ
[1179.751] kusanagi0825: 滅
[1184.143] (S)non_violence: 食らうよな〜
[1184.615] FENR1SWOLF: loyalty test failed 
[1186.567] niemalsaufgeben: 4でいうサファリやタイステってとこか
[1196.694] bareboru114: 食らう
[1197.877] neojapan01010: 久保さんはルーザーズファイナルのユリアン戦も熱かった
[1203.238] sh1zuku716: 熱帯のLP高い人だけじゃ勝ちきれないって感じ
[1210.686] (S)feel2525: グループAにラシード集まりましたね
[1217.618] moch__ky: Aブロックってラシード3体？ｗ
[1219.238] ~MISSING_COMMENTER_INFO~: ブチブチ
[1222.204] suhifire: 俺満腹だと集中できないから作業する時は６，７分目だわ
[1222.588] poposuke: 多分ウメちゃん大会見てないでしょ・・？ｗ
[1226.954] (S)fj_honey: さすがに大会ん時はメシ控える？
[1227.021] meganesandesuyo: ラシードどうですか？
[1230.149] bareboru114: ウメさんは何ブロックなの？
[1232.649] danny_love_danny: ラシード対策しなきゃね！
[1250.013] 斉川: ラシード全員倒そ
[1250.919] balthazar000: ３ラシード覚悟
[1253.447] moch__ky: ガチくん、ジョン、もけ
[1260.233] Sorachan1144: よかった
[1260.531] lyo0822: ラシードと春麗をどうにかせな
[1266.521] (S)user81023: TPFufun
[1267.078] bareboru114: ありがとうです😊
[1270.623] sh1zuku716: チュンリーって結構きつくない？？
[1270.839] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[1279.291] niemalsaufgeben: タイプの違いにどう対応するか
[1283.253] kanegon7237: ラシードウザいよね
[1286.461] _こぺ_: 鬼門のED
[1286.463] shupii0907: 春 エド ジュリあたりに負けるとみた
[1288.918] one596: ガチくんがAの中で1番キツイのウメさんって言ってた
[1289.499] (S)fj_honey: 江戸多いなー
[1300.222] bareboru114: へーそうなんだ
[1310.610] shupii0907: トパチャン餅さんいないの寂しい
[1315.450] (S)soratabi: おはようございます！
[1317.851] (S)user81023: ウメちゃん優勝して！
[1321.039] Sorachan1144: みんなが嫌がる中アドバンテージか
[1321.496] Kanquez05: ももちのキャラが読めないね
[1325.992] (S)baseball160318: ウメちゃん痩せた？
[1326.244] akiaki0612: インフィルエド、怖いな
[1327.019] danny_love_danny: ラシードはガイル超きついのかね
[1337.740] lyo0822: ももちとドグラはセス使いそう
[1341.560] (S)user81023: ももちはふぇりかな
[1342.284] gypsy2603: topangaではガイル1本？
[1343.135] moch__ky: ももち何使うんだろう。やっぱコーリンかな
[1347.284] bareboru114: なんか激戦ブロック入っちゃったみたいね
[1364.483] Umechan55: ストリームモンスターウメハ
[1364.562] Kanquez05: 対ガイルのキャラね、ももち
[1368.142] (S)べーこん118: ギルラインをセスラインに切り替えようとしたどぐら
[1373.683] bareboru114: ウメさんいっつも激戦ブロックに入ってるきがする🥺
[1373.970] megane77777: 2つしかないしどっちも猛者だらけでしょ
