[1000.314] wow1022: 餓狼伝説出たらやるの？
[1000.399] lemrin0202: ハイタニ一門ではないんだ
[1011.724] (S)pon8_k5: がんばえ ！
[1013.777] kona_1435: ハイタニさんにねっちょりコーチングしてもらおう
[1015.473] (S)y_htomo10: 頑張れ
[1026.262] (S)tapitapi0114: ShowLove1 ShowLove1 ShowLove1
[1030.565] prunefe: スト6久々？
[1032.301] (S)risusiru: ないす
[1032.885] (S)hirunaruna: お！！
[1034.033] (S)y_htomo10: ないす
[1034.291] (S)nijivamp: ないす
[1035.026] (S)okiyoo000: geroki1Hakusyu
[1036.225] (S)romakkuq: おおお
[1036.500] (S)hirunaruna: ナイス！！
[1050.015] (S)okiyoo000: ｗｗｗ
[1052.095] (S)y_htomo10: あああああ
[1055.363] (S)romakkuq: うぎゃああ
[1057.807] (S)ankoroll: いぇーい
[1075.401] (S)hirunaruna: BibleThump
[1076.119] orenge_yogurt: ノーマル昇竜笑う
[1079.746] (S)y_htomo10: ；；
[1091.375] (S)ankoroll: ぬーん
[1105.753] 33yyy_: SA使わないね
[1130.891] (S)nijivamp: ないす！
[1131.170] (S)y_htomo10: geroki1Hakusyu
[1132.281] (S)romakkuq: よし
[1132.417] (S)zoba_57: いいね
[1133.414] (S)saaaawa: ないす
[1134.299] (S)okiyoo000: geroki1GG
[1134.946] (S)38miyat: geroki1Hakusyu
[1135.031] (S)hirunaruna: ナイス！！
[1135.173] (S)ren_noze: あとナイス！！
[1135.571] usagiraran: ないす
[1137.451] ~MISSING_COMMENTER_INFO~: unkochanPower
[1138.726] yuumanandeyanen: ないす
[1138.832] mameusa: ないす！ 
[1140.539] (S)zoba_57: geroki1GG
[1141.227] (S)y_htomo10: おめ
[1142.282] (S)risusiru: ないす
[1143.551] (S)とらおさん: ないすー
[1145.885] ikumin08: ないすぅ
[1148.191] (S)hihihi_usa: ないすう
[1150.725] (S)adaa_udn: いええい
[1152.692] yuumanandeyanen: geroki1Yametene
[1153.862] (S)ankoroll: 👏👏👏👏👏👏
[1158.444] (S)risusiru: ジャストコンボむずい
[1159.214] (S)koma_6611: geroki1GG
[1175.056] 柊木レン: リュウ弱いって言われてるけどマジで強いと思ってる
[1180.779] (S)koma_6611: そやね
[1194.283] とうみきさん: →↓↘＋P
[1197.605] ~MISSING_COMMENTER_INFO~: hi
[1198.993] (S)risusiru: よし
[1202.055] (S)nijivamp: wwwww
[1202.156] (S)sarioru: www
[1203.508] (S)38miyat: geroki1GG
[1203.633] (S)romakkuq: ！？！？！？
[1203.717] (S)チズケキ: いいぞ
[1204.152] (S)hirunaruna: よーーし
[1204.257] Sae0613: www
[1204.811] (S)hibari_1104: なんてｗ
[1205.360] (S)zoba_57: www
[1205.560] rxrx2525: おお
[1205.874] (S)mizore_ame: www
[1205.963] (S)とらおさん: ないすー
[1206.016] (S)y_htomo10: www
[1206.116] (S)tyakaboooom: なんて？
[1206.648] (S)hihihi_usa: ！？
[1206.893] mumindaniel: www
[1207.272] mameusa: wwwww
[1207.365] lyee_ox: なんて？
[1207.803] tmochiba: なんだってwww
[1208.351] (S)saaaawa: よしよし
[1209.184] (S)koma_6611: なんてw
[1211.553] あるめめろ: リュウ強くはない
[1213.506] (S)hirunaruna: ばぐってたw
[1214.091] (S)swimkinpop: 壊れちゃった(;o;)
[1214.804] 184days_to_die: げろのスト6きたあああああああああ
[1218.592] soar1031: 気まずいやつ
[1219.647] (S)romakkuq: え？
[1222.557] Boltex_microde: え？
[1222.574] ikumin08: ないすw
[1236.181] とうみきさん: ﾊﾄﾞｩｰｹﾝ(⊃｀・ω・´)⊃   ≡三〇
[1241.638] (S)usagi_taiyo: こんばんは 
[1246.185] (S)zoba_57: いいね
[1252.286] (S)38miyat: おおおお
[1252.535] panyanokeshinn: コントローラーはレバー？
[1256.252] とうみきさん: 巻き舌 べろべろひろきどしたん
[1263.084] 184days_to_die: ミスってら
[1264.074] (S)hirunaruna: （ ;  ; ）
[1264.362] (S)choco609: セーフ
[1264.728] (S)risusiru: よっしししし
[1265.357] (S)tyakaboooom: たすかったー！
[1265.536] (S)y_htomo10: よかった
[1266.131] usagiraran: www
[1266.189] nsfuji1312: 助かったw
[1266.649] (S)romakkuq: よかった
[1266.830] ocha72525: ないす
[1266.834] (S)nijivamp: あっぶねぇ！！
[1267.217] (S)zoba_57: あっぶな
[1267.751] (S)romshiyo: www
[1268.645] (S)romakkuq: ＾＾
[1268.917] (S)y_htomo10: geroki1GG
[1269.389] (S)okiyoo000: geroki1Hakusyu
[1269.540] macchas2: ひろき俺もスト６始めたんだけどおすすめのキャラいるか？
[1269.920] itataita: あぶねーーーーーい
[1270.911] 33yyy_: ナイス！
[1271.132] (S)hirunaruna: あぶなー！！ないす！
[1271.220] jjloopa: せーーーーふ
[1272.253] (S)pon8_k5: ないす！
[1272.275] (S)wanwan_5: ｗｗ
[1272.437] (S)saaaawa: あぶねええww
[1272.656] (S)y0udayo: geroki1GG
[1272.879] ocha72525: よかた
[1272.884] (S)とらおさん: あぶなー
[1274.060] (S)ren_noze: geroki1GG
[1274.236] (S)itsumiiiimario: geroki1GG
[1274.326] (S)tyakaboooom: geroki1Hakusyu
[1274.429] (S)risusiru: あぶねぇけどよっし
[1274.780] (S)zoba_57: geroki1Hakusyu
[1275.325] (S)hihihi_usa: たすかったー！！！
[1278.829] (S)adaa_udn: せーーーふ！！
[1281.850] rxrx2525: ルーク
[1285.955] ikumin08: ラッキー！
[1286.793] (S)sora_pantsu: せーーーふ！！！
[1288.111] (S)おおとり122: まだライフイズストレンジやってないですか？！？！？！
[1288.323] (S)adaa_udn: ナイス！
[1288.962] (S)romakkuq: ルーク
[1289.524] andy_dozing: jp
[1293.170] (S)ankoroll: (´∀`)👍
[1296.662] とうみきさん: →↓↘＋P
[1298.087] あるめめろ: 今からルークは弱体化はいるから萎えそう
[1299.670] warachia0536: 豪鬼
[1299.742] bultro689: 豪鬼待ってもいい
[1299.976] (S)hirunaruna: 主人公だしね
[1303.975] nsfuji1312: ブランカ
[1306.575] tensabo3: メナ
[1308.499] 184days_to_die: 1か月後ぐらいにアプデ決まるからそれまで様子見でもいいぞ
[1310.480] adamdan2002: お前のスト6を待ってたんだよ！
[1316.735] panyanokeshinn: 22日に調整くるよ
[1317.245] とうみきさん: ればーひろき
[1317.793] soar1031: アムネジア
[1318.032] (S)zoba_57: きんぜうに聞くのか
[1324.281] (S)ryoulings: 湘南乃風もいます
[1325.150] masashi0331: むずいけどケンもおすすめ
[1327.721] 皆阿呆: アシストコンボ強いブランカ江戸あたり
[1330.624] dkdk_water: こんばんは〜
