[145.917] foxsoxrolex: コメ稼ぎた
[148.010] tamaco_5: 人いるのか？
[148.108] (S)ムクムク郎: batoraDedede1
[148.194] パﾉﾚバ: ざぁこ♡
[149.805] みゃむさー: みゃむさー subscribed with Prime. They've subscribed for 9 months! 
[149.824] (S)neji_ki: 999まで寝ない配信？
[150.741] (S)hayatoby: batoraSudachikunAnimation
[151.304] redstream1031: 賭け
[151.352] baroi_12073341: baroi_12073341 subscribed with Prime. They've subscribed for 17 months, currently on a 17 month streak! 
[151.978] saturate_ray_: 10連勝できるか賭け
[152.082] oryou2: 賭けてくれよ
[152.289] ぺぺ2: はっや
[152.303] umiumipkm: へった
[153.488] ふぃふぃふぃりす: ぐうたらニコ生お疲れ様
[153.535] 鯛で海老を釣る: ぽんぽんｗ
[153.727] すこすこのおきな: はっや
[153.806] 開拓者56: ｗ
[153.902] Boroborotyun: ナワナワポンポン
[153.975] (S)~MISSING_COMMENTER_INFO~: あ
[153.999] arco_chan0: あ
[154.399] okometabesugi: はっや
[154.626] (S)アストルフォきゅん: 44444
[154.739] まさかりまさこり: 義務っちの始まりですか、と
[155.238] oniku_sinya: ぽんぽん
[155.907] (S)letsplayomori: はやみさおり
[156.149] kamedama: はっや
[156.545] yys000: はっや
[156.585] トロンケン: はっや
[156.618] jinseiken: 無職なんだからもっと早くやれよ
[156.727] dedende794: めっちゃ人いるやん
[156.759] tamaco_5: はっゆ
[157.022] あらいですよ: 覇権コンテンツ
[157.186] sudachi161: ポンポン！？
[157.326] dhinodhino: ポンポン
[157.434] (S)コガネ: まずい
[157.835] foxsoxrolex: スナイプ 
[157.848] あたりめ666: これ無理だろ
[157.851] iota_kappa_jp: 早見沙織！？
[158.053] (S)goldenglobetoritani: 早見沙織
[158.391] (S)コラ塩: まずい
[158.631] (S)yuzulem0n: はっや
[158.712] yff32415: スナイプ
[158.881] (S)ラザニア: がんばれー
[159.313] かまめし1523: はっや
[159.975] kareha1220: はやみw
[160.040] プラマリ: スナイプ
[160.132] pikuminn2B: はっや
