[869.102] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[869.969] kamisimeru: プロは段取り良すぎ
[870.688] Tommy1248: さすがプロ
[871.251] (S)みっかぼうず: 888888888888888
[871.305] imurilove: これがプロ
[871.961] TurtleMonkey1410: PogChamp
[872.186] komura4809: くだらないところに特許とか絡めるなよ。。。
[873.052] rapid881000: 組み合わせ覚えたら即なプロ
[873.219] dsadsa454654: ゲームうまお
[874.226] jojojo3311: もはやただの嫌がらせ
[874.623] (S)beastbeast: 天才！
[874.892] ~MISSING_COMMENTER_INFO~: マジですごいわ
[876.426] (S)~MISSING_COMMENTER_INFO~: さすがふーきゅんん
[877.650] (S)lucita_lapita: まだまだ簡単なほうなんじゃないの
[878.404] (S)~MISSING_COMMENTER_INFO~: オーーー
[878.678] okitotoro: やーる！
[878.927] klein04dec: おおおおおおおおおおお
[879.039] kamisimeru: 本当にプロなところ
[883.235] (S)myuraly: ふ～どさんすばらしい
[885.646] Fux7722: さすがだな
[885.903] stasis28: さすがプロ
[887.065] (S)domontyan: こいつは四天王で最弱・・なんでしょ
[887.462] MindOnAir: jiyuDaigasm
[896.586] always_1_3: 爽快感メイン
[903.883] (S)NAOjpp: ほんとふーきゅんは器用
[905.395] Mordexai_: So Jiyuna, I'm guessing the game was a success since the DLC is free, correct?
[907.081] jack27789: PogFooty
[908.792] makken0314: 足はや
[910.934] (S)lstang: プロはゆらがない
[912.625] (S)kanpell: umeFail
[912.957] okitotoro: これってPCで
[913.528] always_1_3: １６はマジパズル
[917.119] klein04dec: コンボつながるのたのしい
[920.929] okitotoro: PCでできないの？
[922.135] (S)kemononeko: 問題がおかしい
[923.964] fliege1515: オタクか？
[925.134] tebasaki0628: トレモ特許は格ゲー界の汚点だよな ただのつぶしあい
[939.541] King_Fuudo: 何だ敵か？
[940.296] psionicpsi: 開発者「問題がおかしい」
[948.114] (S)ほげええ: 修行か？
[950.677] rapid881000: 自分画面端か
[951.637] (S)kumatedd: へぇ…
[952.014] shibaponz: まじでパズルで草
[952.918] always_1_3: 先人はノーヒントだからな
