[777.828] (S)adasuta: すごい！
[778.044] (S)decembersatoshi: BibleThump
[780.081] (S)オルコッ党員: 月だねえ
[780.311] syouya13: ？？？「ナイトメアに意味なんてあるの？」
[780.628] (S)たべっ子水族館: 怖い話しないで朝から
[781.575] (S)びんず: naru04Kei
[782.362] (S)桂歌丸: お
[782.408] (S)もんもんもん: 食べたことない？
[784.338] (S)うるしーー: naru04NHK
[785.839] (S)童貞卒業丸: 冥王星
[786.813] (S)くらげ1030: 何月かわかる？
[787.553] masa_honmono2: うんちって意味だゆ
[790.881] mary_sherry: ワンコンできると言えばできるけどしっかり当てきらないとだめだったはず
[792.704] wakuwakusandayo: そろそろリュウくんに知性負けそう
[792.771] (S)sigyuuka: 13月だよ
[794.226] norumon: スキル当てたらシールド50もらえるからすっごい固い
[794.447] pacifico35: 発掘調査
[794.623] (S)くろてぃ: いいよぉ！
[802.938] Sonikil: 潜って出たあと逃げスキル無くなっちゃうからどうなんだろ
[803.869] sannpann_twich: なるお keeper←これ読める？
[805.205] (S)六角橋アキ: これだれ？新キャラ？
[817.627] (S)桂歌丸: 昔のドゥームみたい
[830.463] (S)桂歌丸: 右クリで帰る
[830.520] オルちゃん: 新モードでたらしいけどランクにはまだ来てないの？
[831.244] pacifico35: なんかずんぐりむっくりしてるよな
[832.410] kobayan86BRZ: ハイタニはキーパー読めなかったな
[834.408] (S)botamochi731: はいこんちわ
[834.607] (S)うるしーー: ころす
[836.077] norumon: 当てなくてもいいんかな？
[838.943] (S)たべっ子水族館: 逃げに使うんじゃない？？？？
[839.464] I_Dislike_U: 倒せば帰る必要ないだろ？
[840.646] ハッフルパフ鈴木: このキャラ見た目が無理や 女版ジャンクラにしか見えん
[842.095] sannpann_twich: おー 流石だ 因みにたつやはkeeperを『ケッパー』と読んでた
[843.818] えんぷれ_: ドリルダッシュでかえる
[844.117] (S)lovepeace369: ガソリン片道勢かこれぇ？
[844.563] (S)桂歌丸: 潜る、チャージで打ち上げる、右クリで帰る
[845.495] sstteex: やばかったら空中で右クリ
[845.791] ギガゾンビ: むしろそれで帰る説
[847.077] トメちゃん: 孤立した敵を殺す
[849.584] 趣味垢0817: 日本兵みたいやな
[851.021] (S)TNTNBRN: キル取れば問題ないじゃろ？
[853.471] hal_2a: ハイタニ見てるとなるおめちゃくちゃ英語読めると勘違いする
[858.816] red_bird_oo: wwwwwwwwwwwww
[858.821] (S)桂歌丸: たつや・・・。
[861.569] (S)くらげ1030: ｗｗｗ
[862.963] びーさん_: バカ決定戦に呼ぶべき
[864.712] (S)decembersatoshi: やりきるかドリルダッシュは逃げに残す
[869.770] kobayan86BRZ: ブラックふ～どで笑ったはあれ
[869.982] hakobune_ghc: 逸材
[870.771] (S)adasuta: 結構…なんだい？
[870.951] フィン1115: 決定戦から逃げてるだけだからな！
[871.336] (S)lovepeace369: ハイタニさん小卒やしな
[872.147] ひらしゅう: 逃げる側へ飛び出せばいいんだよ、相手を味方側へ吹き飛ばす
[875.852] red_bird_oo: naru04Ohayu
[877.888] (S)桂歌丸: ハイタニさんはプライド高そうだからでない
[881.193] jangfuran: 幼卒だからな
[882.807] jennifer2penguin: 近接が特殊なんだよな
[883.031] (S)TNTNBRN: 出たらゴネまくるぞ
[884.968] (S)玉子王子です: たつやはすぐごねるから
[888.971] (S)じめさぎまん: タツヤは7の段言えるのはオタクって言うしな
[889.566] hal_2a: ハイタニにプライドは無いぞ
[890.805] (S)sonbarapinyan: naru04Ohayu
[893.402] びーさん_: でもハイタニ出したらゴネで番組が押すだろうな
[895.304] (S)カオカザリヒメフクロウ: タツヤはゴネて出ない
[896.010] ギガゾンビ: 読みにくい単語側に問題があるとか言いそう
[897.533] (S)桂歌丸: ｗｗｗｗｗ
[898.350] syouya13: ｗ
[899.843] (S)adasuta: ？
[901.347] ひらしゅう: w
[901.557] (S)TNTNBRN: あ
[902.081] hakobune_ghc: www
[902.304] てんしちゃん極: ？
[902.353] norumon: んっ
[906.268] (S)kaito428k: w
[907.048] mary_sherry: 集団戦時に下からディアブロスして逃げるか逃げないか見てから仕掛けるとかもできる
[908.229] 趣味垢0817: 難そうだね
[909.226] (S)ちんとろ: 穴掘り楽しいね＾＾
[913.994] (S)botamochi731: 落ちなくていいよ
[917.068] masa_honmono2: 小学校の友達、gをみみずって読んでたわ
[926.105] (S)いーすとまん: こんにちわー！
[926.326] wwrlyz: 近接攻撃も使った方が火力出る
[942.114] (S)桂歌丸: お
[944.557] (S)moppu_gake: なるお、配信タイトルからどんだけ楽しみにしてたか伝わったよ
[946.014] norumon: お
[947.445] (S)sigyuuka: おれも小学生の頃にみみず食べさせられるいじめ受けたよ
[950.907] syouya13: ブロ３マッチ
[953.189] (S)うるしーー: 8はもういいよ 
[956.906] トメちゃん: 勝っても3だよ
[962.561] (S)decembersatoshi: がんばえ〜
[963.407] 煩悩劣拳: 3パーはひどいよさすがに
[965.730] えんぷれ_: そもそも認定やり直しってシーズン9以外にあったっけ？
[965.761] Namekuji44: うまけりゃ上がるんだから
[967.571] (S)きーた叔父: www
[968.975] (S)LuTiaa: 昨日からツイートしてたもんなｗ
[970.915] オルちゃん: ！マークの数でわくわく感つたわる
[971.272] るのみ: ウキウキで草
[971.548] komay38: ブロンズワクワク！
[971.778] (S)botamochi731: 気合入ってんねぇ
[971.988] 北海道はでっかいどう: 勝てば上がるよ
[972.100] syouya13: 認定されるぞー！ワクワク！
[972.427] (S)いーすとまん: 気合い入れるぞ〜www
[975.072] (S)カオカザリヒメフクロウ: タイトルワロタ
[975.766] (S)kanimiso747: ウッキウキじゃんねぇ
[976.448] (S)TNTNBRN: ウキウキ34歳
[977.312] (S)lovepeace369: リアルモグラも見てるかー
[977.991] てんしちゃん極: ワクワク！ブロ３！！！
[978.233] びーさん_: 8ポイントかどうかで賭けさせろ！
[979.254] (S)玉子王子です: 可愛いとこもあるんだ
[983.030] ModernCurryRiceOOmori: おはようございます
[983.977] 粉シタン: 違うのかw
[984.633] (S)nononono_uhoho: 勝って何ポイント欲しい？
[988.497] (S)mako_poke: それくらいの上がり幅スト6で慣れてるやん
[991.514] (S)くらげ1030: ！の数から伝わるワクワク感
[995.137] (S)decembersatoshi: 勝率はリセットされてるから2桁は上がるはず
[995.199] ryoptap: ランクリセットを楽しみにしてたってことなのか
[998.899] (S)たべっ子水族館: きゃすぴがんばえ～～～～
[999.655] (S)sigyuuka: 20億ポイント欲しいって言え！
[1000.229] (S)fumbi5566: 今日も８％で盛っていく
[1003.100] (S)ys_044: いーや8だね
[1005.137] elsa0914: 実際やればおもろいんだよね
[1010.095] sooda0531: OWの認定半年に一回にならなかたっけ？
[1011.370] (S)うるしーー: また認定からやるのめんどくさいなってなるのが普通の人が多そう
[1011.654] (S)concerto0: 普通20もらえるんだけどなー
[1013.471] オルちゃん: 降格保護じゃなくても一桁しかあがらんの？ｗ
[1016.503] (S)lovepeace369: いーやお前は8だよ
[1017.957] komay38: LoLだといっそランク落ち切れば内部回復すると思うけど、OWはそんなことない？
[1018.590] (S)オルコッ党員: １桁はつらいよな
[1019.332] 10jqka: 8はほんとに酷い
[1020.326] kobayan86BRZ: 垢作り直したほうが早そう
[1030.050] (S)桂歌丸: ｗｗｗ
[1030.782] (S)くらげ1030: ｗｗｗ
[1031.653] red_bird_oo: ｗ
[1031.668] トメちゃん: 勝って8負けて3って上がりしかしないね
[1032.526] guntose: ｗｗｗｗｗ
[1033.837] (S)桂歌丸: ルンルンじゃねえか
[1034.230] (S)うるしーー: やる気ありすぎて草
[1034.410] (S)TNTNBRN: wwww
[1035.154] いよいよ: 歯磨いた？
[1035.381] 趣味垢0817: レジェンドでMR1桁は分かるけどブロンズで1桁はクソだよな
[1036.990] (S)童貞卒業丸: 風呂入った？
[1037.110] syouya13: 寝起きキャスディ
[1037.121] bwjwkkk: 口臭っ
[1040.403] (S)オルコッ党員: 飯をくえ飯をｗ
[1040.915] ハッフルパフ鈴木: 勝って8って聞いた時爆笑したわ
[1041.418] LGA2011: たのしみにしすぎだろ
[1041.849] jangfuran: 配信者の鑑
[1041.985] hakobune_ghc: 顔洗ってこい
[1043.410] (S)いーすとまん: 生粋のowプレイヤー
[1044.637] norumon: ベンチャーもう使えるんか
[1046.181] (S)桂歌丸: 新キャラランクで使えるんだ
[1049.812] (S)カオカザリヒメフクロウ: 風呂入った？
[1052.703] (S)sonbarapinyan: なるおがOW始めたのシーズン最後のほうだったのか
[1057.091] オルちゃん: 歯みがいてないな？
[1057.174] いよいよ: くっさ
[1059.585] (S)moppu_gake: このキャラ終わってる
[1059.683] (S)いーすとまん: 高校生やん
[1063.406] (S)LuTiaa: わくわく具合がかわいいなｗ
[1065.010] guntose: 歯磨けな？
[1066.072] (S)hukusuke13: 顔洗った？
[1068.988] (S)TNTNBRN: ウキウキモンキーくん
[1070.154] mahoro_ch: 鬼モチベだ
[1071.850] (S)うるしーー: 8どころか3の時もあったぞ
[1071.913] えんぷれ_: もうモグラランクで使えるんだね
