[377.414] arlingtonnnnn: あっつ
[377.415] PUrin53: www
[377.472] あいむそーばっと: seiya
[377.794] tokumei29381: 新しいね
[377.868] かたくり456: レイリー！
[378.069] suke_chan_chan: ちーきー！？
[378.827] ssssssssszx: き、きたー！
[378.910] (S)Skyhi_20: レイリー
[379.130] tamaki95442: キタキタキタァ
[380.105] sora506032: レイリーか
[380.323] グラル87: レイリーあっつ
[381.107] たいらちゃん: デスセイヤきたああああああああああああ
[381.261] 爽来: 床ペロか
[382.662] でいすいだよ: レイリーか
[382.991] iiikmiii: そっちだったかー
[383.148] あねったいた: レイリー確定やん
[383.192] don991028: レイリー！！？！？！？
[383.244] withvitamin: 多様性だな
[383.424] tamaki95442: レイリー
[383.819] rimrfy: レイリー！？
[384.382] aeom__: いいね
[384.395] kuramaru_f7: レイリーか
[384.645] ゆしゃだよ: 何飲んでるの
[384.811] ~MISSING_COMMENTER_INFO~: それが一番つええからな！！
[384.963] mew3v: ハセシン
[385.007] suuuu1225: 何飲んでるんすか？
[385.026] KESHIGOMU123: 即バンじゃねーか！！
[385.747] d___0202: なにくってんの？
[387.505] kiachaso: BloodTrail
[387.784] kan___a: レイリーか
[388.507] irysty: まじか
[388.897] ana_mumei: ち、き
[388.952] (S)すけ7: niru？！
[389.991] mollusk5: わっつ
[390.456] 名前変えた: レイリー
[390.977] nakajima10: ぎり3キーマウ継続か
[393.011] yosuke131259: ちきちき
[394.029] はぜぼう: あ
[394.294] sawayaka_odisan: それはいうなｗ
[394.829] shota3333: 何箱あけてんの？
[395.419] (S)Skyhi_20: ま、ずい
[396.638] 0ikos365: レイリー4
[398.390] 2です: レイリーかぁ
[399.336] misa_iroas: あ
[399.499] kaipanman062808: なおひろはないんですか？
[400.008] あねったいた: レイリーね
[400.624] hamu1994: まあ既にチーターとグリッチ使いが残ってるしな
[400.886] ~MISSING_COMMENTER_INFO~: 54545454
[401.010] 金欠限界大学生: レイリーかw
[401.135] (S)edabstyzmnabrskl: ガチやん
[401.211] さとうきび400: まずい
[401.861] sora506032: レイリーなのかぁ
[402.094] yosuke131259: れいりー
[404.409] (S)warawanaiman: やっぱレイリーか
[404.488] らりあぁ: 火力って炎上とかそう言う意味？
[404.550] (S)Skyhi_20: BloodTrail
[405.189] 髙橋御膳: やめてね
[406.124] t4ku_933: 適当言ってんね
[406.972] namanama99: レイリー 
[409.102] (S)激ローメタモン: れ、れいりー？！
[409.297] hunbaa13: チーター、グリッチ、コンバーターの3人か
[410.741] hyu_su: リークやめてねwwwwwwwww
[412.051] m1ch1_99: BloodTrail
[415.101] gouter_de_n: なおひろもどせ
[415.110] 名前変えた: 広告ダルすぎ
[416.913] kimpii_o: こりゃsp2優勝確定やね
[422.409] (S)Skyhi_20: コーチングされてたな
[424.227] sawayaka_odisan: ハルト配信ってそれでかｗ
[424.721] n_kyo14: ボドこんちゃ
[427.522] 爽来: wwww
[430.482] m1ch1_99: www
[431.188] (S)Skyhi_20: ww
[431.221] 2です: www
[431.783] kab_e: ｗｗｗｗ
[431.980] aphelios_4: ｗｗｗ
[433.884] iiikmiii: wwwww
[434.532] 1jz_o: ｗ
[435.355] KESHIGOMU123: wwwww
[436.586] nekoch4rm: wwww
[440.676] ~MISSING_COMMENTER_INFO~: 広告３つだる
[441.528] 2です: Apex復帰しようぜ
[444.181] blues_lovee: メルトステラとはどんな話しましたか？
[455.403] (S)Skyhi_20: wwww
[455.970] りーばぁみん: あああいあむ
[457.506] sora506032: それはそう
[458.797] yuzupikon: ｗ
[458.803] 名前変えた: え、ボド以外とかっこいいじゃん
