[614.136] puyo2007: リーガーだ
[614.892] (S)gocupid: パッチノートは未公開なんだよえんぇ
[616.287] darillstomb: ザンギはしゃがみ大Pパニカンからコンボつながるって聞いた
[617.621] (S)ゴルバチョフポリ公: 7
[619.194] (S)olka_kakuge: パッチノート前日とかに出してほしい
[621.508] TROI_Just: ７位なんだ
[621.993] (S)毒見ユッケ: あっぱれあっぱれ
[625.722] beru711: 本家からのちゃんとした奴じゃないんだっけ
[626.156] NoE_vivre: 弱蛇軽功が後ろに下がるようになるAKI
[632.762] (S)もじゃ変人: へー
[635.517] sndkzfm1: verAKUMAの調整内容ね
[638.449] (S)ジャスパ単騎待ち: パッチノート見ながらやるトレモが1番楽しいんだから
[641.896] (S)みなぷ080821_: 記事とか動画とか沢山挙がってるけど、チェックしてたら長いぞ〜
[644.315] yodayodayuki: もう豪鬼は一緒に見た？？
[649.406] (S)ynoyeu: 本田も流石に産廃にされるわけではないだろうからある意味楽しみ
[652.450] (S)gocupid: ってひかるくんやないかーい
[652.586] hoemin247: 今ウッキウキであろうひかる君
[653.310] (S)henya1210: naru04Ohayu
[664.509] (S)きーた叔父: naru04Ohayu
[670.386] がすいんニキ: おいす～！
[672.563] 陰湿モグラ: ういーなるきゅん
[674.954] (S)gocupid: SFL、ひかるくん猛威を振るいそう
[675.017] (S)もじゃ変人: さすがに長い
[678.242] (S)TNTNBRN: ナーフくるか震えてたくらいだからな
[687.506] kt_0910: 本田思ったより弱体化じゃないんじゃないかとは思った
[687.776] sndkzfm1: 動画とか記事ベースだからね
[698.455] 亀の甲より柴咲コウ: SFL最年少ですごいねー
[703.887] カットマン: お疲れ様ー、色々大変だろうが頑張ってなー
[705.865] (S)いーすとまん: ジェイミーも結構長かった
[710.109] (S)ynoyeu: そりゃ新規キャラだから
[711.141] chujoe1101: まず髪型調整しろって話
[712.195] (S)ジャスパ単騎待ち: 見た目も気合い入れて欲しかった
[714.955] sndkzfm1: まぁ初年度のcc終わったからね
[716.178] (S)olka_kakuge: 新キャラだしなぁ、売り出したい感じはする
[719.673] (S)TNTNBRN: スト６からの新規だから気合入ってんだろうな
[720.806] (S)hiroumi_sea: 落ちてこないｗ
[724.526] (S)くらげ1030: こんばんは～
[724.579] ハゲエギル: 調整後本田の立ち中P思ったより前進してて驚いた
[727.604] 猫神寝猫: 新キャラ強いのは正解な気がする
[731.304] (S)たけお926: おっす。今日はカスタムやらんの？
[734.215] (S)zavva_eagle: 新しいコスもくるしな
[734.897] (S)おじいちゃんー: こんばんはー、お疲れ様ですー
[736.012] (S)takuzarin: こことここｔこっここ
