[3434.075] かりー001: 漫画で出てきた品川くんは？
[3441.568] rotonz: 太宰もそういうのを求めたからこそ書いたんだろうなぁ
[3442.366] (S)redbull_daisuki: クラハス
[3442.632] devilishblack: 親友リーチ！
[3446.689] (S)不渡哲也: ヌキさんはウメさんのために命かけそうだけどウメさんはヌキさんが死ぬとこ笑って見てそう
[3447.202] (S)sengoku_cyber: 酒飲んだら家族よ
[3453.468] ~MISSING_COMMENTER_INFO~: Whats poppin my ngz
[3454.378] suginaka56: あー確かに
[3456.069] gannaranna: あー
[3456.912] hachi_mitsu: いいね
[3457.633] balthazar000: ウメロスとセリヌンキウス
[3457.851] rotonz: わかる
[3457.947] garalia0: 命掛ける場面にならなきゃわからん
[3461.512] dsadsa454654: うーん
[3461.705] (S)yamasa141414: たしかに
[3464.115] えたーなるぶるー: ｗｗ
[3466.699] ひょーた: そうなのか？
[3467.201] (S)cubespin: いい線
[3468.033] タタル_タル: ｗｗｗ
[3472.296] (S)zakkn: ざわ・・
[3473.663] kumatedd: あっ
[3475.196] (S)平本: カワノは友達だな！
[3476.301] momochan6: ww
[3477.643] balthazar000: 厳しい
[3479.882] rotonz: はははｗｗｗ
[3479.999] (S)yamasa141414: ｗｗｗｗｗｗ
[3480.215] gannaranna: 電話○
[3481.489] shomarusan: あっ
[3484.297] タタル_タル: いい線
[3484.520] mutuizumi: アッー
[3484.937] kumatedd: ラインが見えてしまった
[3488.920] sai_arts: ｗｗｗｗ
[3490.085] sdy_hs: 大谷くん・・・
[3490.549] (S)cubespin: ｗｗ
[3490.965] momochan6: 厳しいｗｗ
[3491.404] (S)genjin_777: ｗｗ
[3492.467] (S)redbull_daisuki: 最近は親しくても電話しなくなったな
[3494.202] stylish_gonsuke: www
[3494.697] (S)papipopon: 気兼ねなく電話できるは強いな
[3495.092] ilm0806: 松浦さんは、どうなの
[3495.139] Kanquez05: ギクッ
[3495.300] kakino: 電話に抵抗感があるかどうかでは
[3499.660] rotonz: キビシイなぁｗ
[3500.139] garalia0: 身内レベルなのね
[3501.673] (S)平本: あー
[3505.567] (S)yamasa141414: でも分かるなあ
[3509.113] (S)たあぼ0126: ウメちゃんから電話来ない・・・
[3509.780] ひょーた: あー、でも用事以外の世間話できるのは友達かも
[3532.839] gannaranna: おれ全く電話かかってこないな。電話番号あるやつ。。。
[3532.911] garalia0: メロスと電話じゃ違い過ぎる
[3535.289] balthazar000: もしもしウメハラ君居ますか？ と言える奴
[3551.215] suginaka56: 仕事以外だと恋人ぐらいしかちゃんと電話しない人多いのでは
[3552.848] ひょーた: ライン電話も込みっぽくない？
[3562.746] sai_arts: 営業か！
[3569.489] (S)genjin_777: 会心の線引き
[3576.024] gagyuu: ビジフレ
[3579.671] gannaranna: 予定合わせられる奴とかも○かな。
[3583.507] rotonz: 仕事仲間
[3586.471] ilm0806: 梅ちゃんと松浦さんか
[3598.022] rotonz: 踏み込みなぁ
[3606.726] Kanquez05: なるほどね。
[3608.226] gannaranna: 言われてみたら利害関係だけで生きてるな。。。
[3615.709] ひょーた: 仕事仲間ってなるのか
[3616.552] rotonz: 松浦さん落ち込まないでｗ
[3617.578] suginaka56: ビジネスパートナーです
[3618.448] (S)papipopon: 松浦さん・・・
[3618.994] dsadsa454654: しょっく
[3620.322] obo_006: ｗｗｗ
[3620.439] (S)mmiiacha: ；；
[3621.804] Aatyu: umeFail
[3622.736] ohkamin: アナタンティウスさぁ～
[3623.871] (S)yamasa141414: 松浦さん…
[3628.225] stylish_gonsuke: wwww
[3628.461] garalia0: メロスｗ
[3629.305] novol0001: なんだこれ
[3629.758] kumatedd: あー傷つけた！
[3630.386] (S)papipopon: 友達にしてあげて
[3630.973] Kanquez05: BibleThump
[3635.954] momochan6: ショッキング
[3636.181] shomarusan: 松浦さん傷ついてるよ
[3636.829] rotonz: 松ヌンティウス
[3641.321] cafe_gondo: メロスどこぉ・・・ 
[3642.393] 記入漏れ: お互い敬語の内っすからねーｗ
[3642.551] (S)cubespin: ほー
[3643.055] sdy_hs: とよぽーん
[3643.489] vincent4678: 友達にしとこう
[3644.030] ひょーた: ボンちゃんは？
[3644.424] gagyuu: ニャンシンティウス
[3645.671] garalia0: メロスなんてほぼ架空の人やん
[3648.094] (S)redbull_daisuki: 松浦さん、落ち込まないで
[3649.949] shomarusan: 友達系
[3650.951] valhalla5555: にゃんきち
[3651.457] mutuizumi: 醜態晒しても疎遠にならん人？
[3651.549] heater55: とよぽーん
[3652.268] suginaka56: とよぽんとめっちゃ仲良いw
[3652.396] novol0001: ラジオ終わるぞ
[3653.312] gannaranna: 友達の定義難しいッスよ
[3657.393] pot1919: 大貫メロ也
[3658.658] (S)papipopon: 少ないから許して
[3659.629] (S)naraikana: 飲みいったら友達でしょ！
[3667.982] pot1919: 大貫”メロス”晋也
[3671.288] ilm0806: あ、松浦さんが落ち込んでる
[3677.893] rotonz: 「もしもしとよぽん、いまどこ？」とかは想像がつくｗ
[3683.114] おじキッズ兄: そんなに深い仲だったのか
[3685.897] yuyu09250925: ボンちゃんはー
