[96.228] (S)aaaaanco: 喉潰した？？？
[96.293] suzutori: わこさかー！
[96.521] rushh8: わこさかー
[96.525] (S)秋菜: おお
[96.772] aome1208: おお
[97.272] chat__noir08: どなた？笑
[98.237] とね_: タルコフも嬉しい！！
[98.442] ハニートースト: わこさかー
[98.985] manae1115: お大事にね
[98.998] switch_zz: 新エディションね
[99.115] (S)NaoMiiii_3: お疲れ様です！！！
[99.258] (S)ki_9_dy: わこさかーー
[99.299] (S)07FZK: フェスお疲れ様でした～！
[99.943] niriri0825: こんばんは！寝起きですか？
[99.962] micoel3bright: 声が違う？！
[100.573] ちかこんぬ: CRフェスお疲れさまでした！両日楽しかったです🥳
[100.615] さあ茶: お大事にねー
[100.862] kaoriiikao: 鼻声？？？辛そう
[100.891] AkaNe_2574: わこさかー
[101.532] (S)sqgq_: Cheer100
[102.329] あんこ9: セクシーやね
[102.750] (S)はちねこ: Cheer100
[102.956] にゃるろーる: おお
[102.972] mro53: おお
[103.714] てりやき_2000: 2日間ちょっと無理してた………？
[103.856] (S)s0rqaa: わこさかー
[103.901] うた_: タルコフうれしい
[104.098] monaca_mppn: CRフェス頑張りすぎた？
[104.542] teeto_07: 喉大丈夫ありぴー！
[104.598] (S)brocco_lin: 無理せずー
[104.654] (S)awato_maru: だいじょぶ？
[104.848] daiyoukaiwabinasi: がんば
[105.362] 鳴海六華: わこさか〜
[105.495] いももちキラー: 本物だせ
[105.668] 4ossyww: わーい
[106.335] _はづき: お疲れ様です
[106.553] まっちょす: おつかれさまでした！！
[106.619] (S)たなか_たろう: Cheer500  フェスお疲れさまでした〜！
[107.107] (S)maumau___0: やたー！！
[107.261] squid0111: フェス2daysいきました！
[107.467] ayano0513kk: フェスお疲れ様でした！1日目しか参加出来なかったけど最高でした！！
[107.471] mina_06060: 大丈夫w
[108.598] (S)秋菜: うれしい
[108.826] hayabusa0619: ほんとにありさかさんですか？
[109.085] chisa_3r: いいね
[109.656] (S)満月: わこさか
[109.990] Hqzki: わこさか！
[110.196] oyumaru9: こんばんは〜
[110.273] みかみ__: いつもより低音がすごい
