[1338.758] gehenax: 花見とは
[1339.159] uhauhap: 桜ぞｗ
[1339.807] ~MISSING_COMMENTER_INFO~: クラハシとはを早く
[1344.670] obo_006: 弘前はもろゴールデンウィークが桜だからねぇ
[1346.544] sorry_under: 桜ええ感じや
[1347.799] (S)MotomaN: 東京の花見スポットってどこ
[1350.692] (S)danny_love_danny: 折笠さんいるとイライラすることあるけど、いなくなると寂しいような
[1350.854] rotonz: もう散りつつあるところも多いですね
[1350.902] sora_neko09: 画面は風音対策で装着のしかたを変えてこうなってるみたい
[1361.028] (S)あさつき教: うめちゃんと花見したいなあ
[1361.946] (S)Kanquez05: 花見やりましょ
[1368.447] (S)壱万円札: あんまり絡みを見ない久保さんとかキチパームさん見たいです
[1374.244] (S)ゆう作: 茅場町だよね
[1377.611] (S)パチーノ: え？折笠さん消えたの？
[1380.513] obo_006: フリー参加でビーストお花見やったらどうなるんだろう
[1381.978] tamuka_mk: 次の大会はフランス？
[1385.961] (S)masakiti42: ゲーマー花見大会
[1388.698] mutuizumi: 花見に呼ぶなら誰？
[1392.411] uhauhap: ネモでしょ
[1394.692] rotonz: 東京の花見スポットはたくさんあるぞ、代々木公園、皇居、御苑その他いろいろ
[1401.103] かげでん: ゲマビは？
[1402.398] poyoyon915: 今年の花見の出店、チーズハットクみたいなやつが二桁は出てたわ
[1415.769] (S)Kanquez05: そこで止まるのやめてｗ
[1419.373] aymgn8787: 茅場町なら運河のあたりに桜咲いてそうですね
[1419.580] (S)だわさワサワサ: どぐらとか
[1419.785] Heracles_12: ハイタニにスマホ配信の時スタビライザー使うように言って下さい
[1421.280] mutuizumi: ネモの足欲しい
[1421.490] tk3333: お気に入りのりゅうせい君でも。
[1424.345] (S)spring__thief: やっぱ桜なら上野公園
[1425.423] (S)madkoneko: ヒビキ君
[1426.657] (S)shupii097: ハメコさん
[1429.236] (S)akiaki0612: 野田氏
[1431.953] prosciu: 皇居周りの桜見ながら歩くのもいいね
[1434.352] (S)hitorisuto: ちきりんさんと行ったジョナサンでしたっけ？
[1438.137] ムカイ_仮名: 最近めっきり折笠さん配信で見なくなったからなんか寂しい。
[1444.769] chumbabaa: Türkiye’den Japonya’ya merhaba kral daigo
[1448.274] rotonz: 高そう
[1449.031] (S)akiaki0612: 折笠さんは元気ですか？
[1452.648] (S)shupii097: 折笠さんてもう旅立ってしまったの？
[1454.042] obo_006: ちょっと寄ってきますか
[1454.757] tk3333: ポエムむなくなったよね。
[1455.022] easter6620: 酒飲みたくなるね～
[1457.103] (S)hinomotoani: o3o
[1460.368] (S)danny_love_danny: 折笠さんジコケンでみるだけになっちゃったね
[1463.023] doubutsucat: 千鳥ヶ淵でボート乗って欲しい
[1466.799] rotonz: カツレツ、とかけてるんすね
[1466.953] (S)ememeume: このままランチ配信？？
[1472.733] prosciu: ほぼジンバル
[1473.636] uhauhap: ほぼ見えない
[1473.860] mutuizumi: ファミマのサラダチキンにめんたいこ味出たんだけどうまいよ
[1474.594] (S)Kanquez05: アメリカはクラフトビール多いですけど好きですか？
[1475.936] (S)sangorou35: WutFace
[1476.001] (S)yoinio: 付け方間違ってないのこれ
[1476.948] (S)ttp_hayato: フレームが映りまくってるがｗ
[1477.257] doubutsucat: 茅場町でわ
[1477.643] obo_006: ほぼ見えないｗｗ
[1478.915] (S)あさつき教: ジンバル配信ｗｗｗ
[1478.985] 大软觉人: TTours
[1485.986] (S)Aatyu: umeHat
[1488.588] ~MISSING_COMMENTER_INFO~: あーじか
[1489.022] (S)hitorisuto: ！！？
[1489.032] sora_neko09: たち？
[1489.999] (S)shupii097: いいジンバルだなぁ
[1494.700] (S)masakiti42: umeHandsome
[1495.814] (S)yoinio: umeStare
[1496.104] rotonz: おー
[1496.935] SquallAdv: たち？？
[1500.353] あと1983: じこけんなくてさみしい
[1504.483] jikiru6: ござ生きとったんか
[1504.915] (S)サラバア: 食事制限してると好きなもん食いてえーってなりませんか？？
[1507.835] (S)aryupaka: umeStare
[1507.975] (S)ohigara: 複数の折笠
[1510.415] (S)Kanquez05: umeHat
[1510.454] (S)ememeume: 昨日！
[1510.671] (S)yoinio: ハンサムは複数いる
[1513.076] uhauhap: 折笠結構好き
[1513.893] あと1983: だんごDとかる
[1514.044] かげでん: 折笠強くなってるのかな
[1514.248] (S)桜風かなた: 画面が4：3と考えるんだ。
[1514.941] (S)spring__thief: 昨日ジコケンなかったのに折笠は東京いたのか
[1515.716] (S)ゆう作: そこと八丁堀のミート食堂は美味しいですよ
[1517.215] (S)shupii097: ゴザが恋しいよ
[1517.984] (S)山田たろう太郎: umeHat
[1524.708] ちょーーー: カワノは折笠の代わりになれるのかなー
[1524.971] (S)Siesta111: umeHat
[1525.172] sora_neko09: 折笠分裂したか
[1526.352] toropuni: 折笠さんはプロじゃないし仕事とか忙しいんじゃね？
[1527.675] (S)hitorisuto: umeGross
[1529.705] uhauhap: 最近見ないね彼
[1530.917] easter6620: 折笠1グループ
[1532.935] (S)danny_love_danny: BeasTV以前のスタイルがいいんだけど。折笠さんいてウメふー
[1533.783] tk3333: ゴザが求められてる。。
[1535.351] geozero: atpRtsd
[1540.584] tidifjjrudhhd: サムスピ新作やる？
[1542.163] (S)akiaki0612: 折笠さん、普段何してるの？
[1548.279] (S)パチーノ: 折笠さん仕事してるの？
[1548.768] (S)yoinio: ガラガラガラガラ
