[827.574] kumatedd: 昨日はにゃん師さんがNGで残念でしたね
[841.284] syan8011: NAO KUN
[842.705] だいこん_: でも今は閉店中だから遊べないゾ
[843.531] woodmud: 三太郎さんが切り間違えでずっと叫んでたな
[844.781] drag0nspeed99_: @DaigoTheBeasTV Kon'nichiwa anata wa hon o tei kakaku ni suru koto ga dekimasu ka?
[845.119] ぴろぴろまる: ときどの雪山みたい
[846.574] (S)randa_maiza: randa_maiza subscribed with Twitch Prime. They've subscribed for 6 months, currently on a 1 month streak! 
[846.674] (M)Moobot: Thanks for subbing for 6 months, @RANDA_MAIZA 
[846.837] (S)Rieetion: Google翻訳は2005年からあなたのファンです。
[848.657] (S)zappnn: umeSmoosh_HF
[849.872] (S)omedetroit: マサ呼べたのはデカいね
[851.512] (S)Rieetion: Google翻訳は2005年からあなたのファンです。!!!
[854.894] ミヤ0085: オタク界隈は雀魂っていう女の子可愛いネトマが流行ってるみたいよ
[870.372] だいこん_: じゃんたま
[870.603] ayataka33: …
[871.162] tabibitox: まぁグレーゾーンがな
[873.176] drag0nspeed99_: @DaigoTheBeasTV こんにちはあなたは本を低価格にすることができますか？
[874.832] dekamega: １０万とかちょっとしたマンションかい？
[877.762] ememeume: そんなに！？？
[877.844] meganesandesuyo: 久しぶりにボンちゃんが配信で元気だったよ
[880.926] Hitode_noko: じゃんたま遊びやすくて面白いで
[881.141] (S)zappnn: マサ呼べるようになったのはいいね
[881.826] (S)ebithunder: マサの悪態つく感じ面白い
[884.955] papipopon: マージか
[884.993] (S)user81023: ぐーぐるちゃん！
[885.420] バチンウニ: すげぇじゃん
[886.079] (S)yattunohoo: ｗ
[887.062] ilm0806: ランダマイザって、あの眼鏡の女の子かな
[887.401] woodmud: ｗｗｗ
[888.703] (S)~MISSING_COMMENTER_INFO~: w
[888.866] akiaki0612: 初めて雀荘行った時は緊張した？
[889.784] kumatedd: ｗｗ
[890.526] obo_006: また外国に嫁ができちゃう！
[892.252] (S)user81023: グーグルウメ
[893.389] papipopon: すげぇ
[893.604] domontyan: ka__ru subscribed with Twitch Prime. They've subscribed for 20 months, currently on a 6 month streak! うおおおおおおおおおおおおお
[893.631] 000105: こんにちは、KSKさんペヤング食えっていえば食うって話しした？
[893.631] (S)maddy2623: 10万ってリャンピンくらいのレートでも溶けなくない？
[893.677] (M)Moobot: @KA__RU with the 20 months re-sub! 
[896.242] ememeume: 看板で見るのは千円とかそれぐらいなのに
[897.142] latenight000: Google翻訳ファン歴そこそこ長いやん
[898.296] すずのすけ: ありがとー！
[901.739] ayataka33: www
[901.839] だいこん_: 凄まじいスポンサーで草
[902.554] drag0nspeed99_: @DaigoTheBeasTV まだカップヌードルを食べますか
[903.279] tyapa95: googleスポンサーってまーーじか
[903.493] danny_love_danny: ウメちゃんすごい！
[905.152] 不渡哲也: Google|Daigo
[905.740] daruma2597: 配信で雀荘の話って大丈夫なのかね
[915.240] だいこん_: 賭けじゃんねえ
[923.780] (S)子亀の親分: 今ってペヤング待ち？
[924.836] ぴろぴろまる: ときどマゴ神ちゃん呼んでVISION雪山やろう
[925.576] lucentsnow: 麻雀のウメちゃんのファンか？
[926.256] balthazar000: プレイ代って高いんだなー（棒
[927.429] woodmud: 本は中古じゃないと基本低価格にできないから
[930.810] ミヤ0085: 今日は誰とディスコ対戦します？
[932.306] drag0nspeed99_: @DaigoTheBeasTV なぜ酔うの？
[933.095] chi_chan_: chi_chan_ is gifting 1 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 1 in the channel! 
[934.140] chi_chan_: chi_chan_ gifted a Tier 1 sub to yamame! 
[934.299] akiaki0612: 雀荘行ったことないから怖いイメージ
[937.872] lesame: ついこの前カップラーメン食ってたきするけどｗ
[943.911] meganesandesuyo: アルティマってそんなに混ざらないの？
[944.940] (S)maddy2623: プレイ代たっけぇ
[948.181] dirtybuck: Nageeee
[949.008] だいこん_: てか何するのか決めてないんすかｗ
[950.311] (S)yuuubin: たしかに雀荘って怖いイメージあるよね
[951.375] beer4649: かくれんぼのゲームとか面白い
[952.604] zykjrk: 「なぜ酔うの？」 深いね・・・
[956.903] (S)Rieetion: Rieetion is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 5 in the channel! 
[957.601] (S)askrsu: ウメちゃん配信中飯食うのマジ早いけど何食べてるの？
[957.898] (S)Rieetion: Rieetion gifted a Tier 1 sub to sirono55! 
[957.974] (S)Rieetion: Rieetion gifted a Tier 1 sub to fanboy8585! 
[958.052] (S)Rieetion: Rieetion gifted a Tier 1 sub to mocacc1no! 
[958.142] (S)Rieetion: Rieetion gifted a Tier 1 sub to hawawawawawa! 
[958.389] (S)Rieetion: Rieetion gifted a Tier 1 sub to ricezuki! 
[961.211] lucentsnow: 健康麻雀ってなんなの？
[962.099] (S)gajpmwtdpw: 今ウメちゃんが好きそうなドラマやってる
[962.311] syan8011: NAOOOO KUN
[962.533] ememeume: シンプルな質問w
[964.185] playatlas: PogChamp
[964.361] (S)hayama01: うわぁ
[964.592] (S)yamame: @chi_chan_さん、サブスクギフトをありがとう！
[965.596] (S)user81023: PogChamp
[968.072] obo_006: 翻訳外人が！！
[969.259] tuk1maru: 祭りだ
[969.528] dekamega: 物理本は値引きできないけど電子なら自由自在だ
[969.901] tagane6: 水派とふ～どに混ぜてもらお？
[969.964] だいこん_: ナイスゥ！
[971.441] papipopon: うわぁ
[974.224] ANGRA_09: umeYay
[974.986] ryokucha_: すげｗ
[975.539] (M)Moobot: That's a tad too many emotes, @Rieetion (warning)
[975.597] matsu_zalem: 雀荘では、梅昆布茶人気だったんすか？
[975.771] oimo: 石油王がおる
[980.446] drag0nspeed99_: @DaigoTheBeasTV 雑草を試したことはありますか？
[982.758] (S)ほげええ: umeStretch
[984.208] (S)万年六段: 石油王がおるぞ！！
[984.714] だいこん_: 賭けない、吸わない、飲まない
[985.284] ememeume: 大学の周りに沢山あるイメージ
[985.378] budou0: ミルダム行く時だけじゃなくて、ゲームを切り替えるときもツイートして欲しいです！
[986.454] (S)maddy2623: umeOuroboros
[986.511] ryokucha_: 雑草ｗｗｗｗ
[986.663] tabibitox: ガチ水派ふ～ど（15時から交代でえいた）で今ディスコラウンジ回してるね
[987.061] dirtybuck: YouWHY
[994.451] (S)lesame: 初めてサブスクもらえた、ありがとうございます
[998.880] kitagawakun: 一月に何キロくらいのペースで体重落ちてるの？
[1004.653] (S)yuuubin: ドリンクは無料なんだ
[1006.741] akiaki0612: 雀荘、ウメさんが初めて行くキッカケはなんだったの？
[1009.879] lucentsnow: ウメコブちゃん
[1015.570] juuuunation: umeDuo_HF
[1017.925] ぴろぴろまる: ウメちゃんカレー作ってたの？
[1025.659] drag0nspeed99_: @DaigoTheBeasTV 雑草を楽しんでいますか
[1032.985] ミヤ0085: ふーどとはどうして絡まなくなったの？
[1033.363] (S)hayama01: 雀荘タバコの煙で喉からからになった所にコーラ流し込むの好き
[1038.073] lucentsnow: どこまで痩せていくんやウメちゃん
[1038.250] (S)wahaha7788: お
[1040.292] (S)king_ice23: ウメちゃん炭水化物とってる？
[1042.163] 不渡哲也: いいペースですね
[1042.950] balthazar000: 人揃えるられるかな
[1046.838] kurare2020: 甘いもの苦手？
[1048.246] STARfromTOKYO: 雀荘も禁煙になったのかな
[1050.870] だいこん_: 炭水化物はレッドブル
[1052.077] (S)maddy2623: 行動力の化身
[1055.557] 国府田: 何も知らず両手使って怒られた
[1055.837] realStudoggydogg: realst7NAISU
[1056.063] prototypeie: ウメちゃん0kgになっちゃう
[1057.663] beer4649: ときど筋肉配信してたな・・・・
[1057.768] しいたけもぐもぐ: 月２キロはすごい
[1063.396] (S)子亀の親分: なおくんとラウンジやってほしい
[1064.336] tyohu246: 麻雀の漫画とかよみます？
[1069.239] hanzeuss: こくじんが加藤純一と浮気APEXしてました
[1072.312] 雨男: ストイック
[1073.519] (S)yuuubin: 普段なら何食べてるの？
[1077.465] lucentsnow: 週イチで頭とかぼーっとしないの？
[1078.188] (S)wahaha7788: umeDuo
[1080.093] tonyudx2025: ウマとかピンとかよくわからん
