[2484.491] rotonz: yuyuたぬはいま思えばこそ大きな分かれ目だったなぁ
[2499.851] (S)shupii0907: もう一回見よう
[2505.834] balthazar000: あの鉄拳はよかったねぇ
[2506.387] 記入漏れ: その小川さんもギルティから離れてしまったというのが悲しい
[2510.981] (S)sdy_hs: 四回見たわ
[2520.955] ilm0806: ゆうゆうたぬ、は獣道で花開いたな
[2528.531] ilm0806: ギルティ金にならんしな
[2528.861] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[2534.586] ぐのたお: 歴史に残る試合だったからなー
[2548.782] chappy_mgmg: オゴウクラハシは今見ても震える
[2550.082] ilm0806: RPGってトラキアの話か
[2559.539] prisira: 獣道なかったらゆうゆうさんはスポンサーなかったかもね
[2569.590] かげでん: 酒回ってきたらオゴウクラハシみたくなるんだよなー
[2578.129] 山田たろう太郎: LUL
[2578.957] tarantarantaran: 一人HUBかっけ〜
[2585.420] rotonz: Hubいくんすね
[2590.092] 記入漏れ: とはいえ別に彼が今やってるDBも金にはなってないので、単純にザトー弱体一辺倒で折れたのよな
[2594.737] tarantarantaran: uyuyuyHeart
[2617.146] (S)matsu_zalem: 養豚場へ送られる豚を園児たちが号泣で送ったあと、生姜焼き食ってるエンディングのドキュメントは、さすがに笑った。
[2619.651] あっと驚くイマイさん: 女子バレーはおもろい
[2623.100] takuyatakuyatakuya: 審判のいるスポーツ嫌いなんじゃなかったっけ？
[2628.063] tarantarantaran: 俺も女子バレーしゅき
[2629.864] (S)roka_sfv: roka_sfv converted from a Twitch Prime sub to a Tier 1 sub! 
[2649.504] gowest2018: 韓国に勝って銅メダル取ったのかなあ
[2649.529] あっと驚くイマイさん: 男子バレーは大概一発できまるから微妙
[2654.844] amadori3: 騒ぐ事が目的だからね
[2675.808] (S)サラバア: 男子バレーのスピードとパワーはちょっと引くレベルw
[2692.603] ilm0806: クールキッドの嫁応援
[2718.170] (S)naka105: 嫁は草ｗ
[2740.120] kirsch_jing: レッツゴージャスティン！
[2773.911] krtwitch2013: EVO2009とかめちゃくちゃアウェーだったよね
[2774.292] orange016: マゴさん…w
[2801.009] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2816.806] rotonz: 深い
[2831.709] ilm0806: トラボが、大会怖い病を発症した
[2844.617] ぼぜ: トラボ……
[2852.366] rotonz: すげえ深い、他のにも通ずるわ
[2860.360] 山田たろう太郎: へー、それは興味深い
[2861.971] (S)lyo0822: なるほど
[2868.129] rfnd4936: 話が上手いなほんと
[2878.287] Kanquez05: 興味深い
[2879.479] vesitermbtl: この話の流れｗ
[2882.228] ilm0806: トラボは、この話を聞くべきだよなあ
[2885.670] rotonz: 金言だよこれ
[2890.028] usa451: 騒ぐのはいいんだ。アドバイスは、迷っちゃうから
[2891.564] takuyatakuyatakuya: 自分だけじゃなくてみんなの幸せを願う人なんだね
[2891.831] justinyukiwo: なるほどなぁー
[2901.126] hachi_mitsu: 毎週いい話出るなあ
[2901.650] cabos_cider: 第3の審眼
[2911.511] chappy_mgmg: アウェーは俺しかいない
[2916.497] icyblue1985: 良い話だなぁ
[2918.835] ぐのたお: 判断力という視点はさすが応援されてるだけある
[2942.328] rfnd4936: 韓国VSイタリア・・・
[2947.115] hachi_mitsu: そうそう、ゲームは判定が絶対なのがいいと思う
[2953.087] usa451: クールキッド嫁
[2961.612] ilm0806: トラボ、お前の答えは、ここにあるぞ
[2980.150] 鉢植: 正面突破！！
[2980.309] 記入漏れ: なるべくしてそうなってる部分は環境と
[3004.541] (S)matsu_zalem: ブルクミテはどうなるんかなぁ…
[3051.216] ぐのたお: 大一番にごわす
[3073.117] (S)lyo0822: どこの嫁だ
[3082.227] usa451: ヌキ
[3108.655] balthazar000: アドバイスは...
[3111.706] takuyatakuyatakuya: '93かよ
[3112.720] kirsch_jing: Caba？
[3119.267] メピパラ: ウメちゃんのプロブレムX戦とか
[3120.716] usa451: レッツゴージャスティーン
[3133.247] rfnd4936: CC2015じゃんｗ
[3137.000] balthazar000: GO Dai GO
[3138.855] (S)mmiiacha: ウル4ラストのCC
[3139.486] amadori3: 人ならざる顔ってどんな顔？ｗ
[3143.258] usa451: ユン以外全部
[3152.721] vesitermbtl: 無力ｗｗ
[3157.117] (S)matsu_zalem: アルカイックスマイルウメハラ
[3175.506] ilm0806: CC2015、シエン戦やインフィル戦が解脱してる
[3187.683] 記入漏れ: 古く、ネットの誰かが言った、格ゲー星人攻めてきてもウメハラが居る、も理に適ってたという事だろうかｗ
[3189.977] icyblue1985: チャイナエディション
[3209.170] masakiti42: あ
[3214.872] balthazar000: ユンキャラ変えは衝撃だったなぁ
[3219.812] nihondota: TEPPENの人気が無さ過ぎてどうしたらいいのか教えてください
[3226.726] prisira: たかし・・・
[3228.312] usa451: これキャラ弱くね？
[3231.692] rotonz: みんなユンだったからｗ
[3232.999] vesitermbtl: たかし
[3256.632] (S)sdy_hs: 来季は豪鬼いくんかなぁ
[3262.335] balthazar000: 二連覇ってすごいよなぁ
[3270.428] rfnd4936: 豪鬼も今更感がね・・・
[3281.282] ぼぜ: どうでもいいことではないけどｗ
[3285.121] kirsch_jing: TEPPENはPCでも遊べるようにして
[3292.284] icyblue1985: スト4は強い行動を擦って押し付けあうゲームだったからなぁ
[3293.801] rfnd4936: いっそガイルだけシーズン3にもどしていいんじゃね
[3300.457] mashe1748: ＡＥのリュウは相当
[3310.984] (S)ememeume: ememeume subscribed with Twitch Prime. They've subscribed for 11 months, currently on a 4 month streak! 
[3311.101] (M)Moobot: Thanks for subbing for 11 months, @EMEMEUME 
[3313.533] ilm0806: いやあ、3連覇hとかしたら、前人未到になうよ
[3340.120] rotonz: エレナ……
