[214.840] (S)こうちゃんん: ゾムさん信じる
[214.914] (S)rinrin510: radaokunHatena
[215.184] (S)どくつる: うーん……
[215.433] (S)rio12030114: ？？？
[215.648] (S)lein2: ゾムさんだろ
[215.937] (S)yasino1504: ふーん
[216.169] (S)ririmaru_nx: あとでお金払うんだよね？
[216.315] (S)てとてと: ゾムさん
[216.521] (S)楓___: ゾムニキ一択
[216.751] (S)つー1012: ゾム
[216.757] (S)bonzinkun: わこらだ
[217.074] (S)mikan_san: ら民だぞ？？
[217.413] (S)kaakk: ゾムさんに決まってるじゃないっすか
[217.414] (S)nashi00suki: ゾムさん信じる
[217.433] (S)Miriotta: うーんゾムさんかな
[217.713] (S)rio12030114: え？
[217.926] (S)kotatsu_san: いくら払ってんの
[217.988] (S)梨一: ゾムニキ
[218.318] (S)すずるーと: ゾムさん
[218.548] (S)夢現: ゾムさん支持します！
[218.728] (S)totoroosukatsu: わこらだ
[218.788] (S)miumii_330: 追い出すな
[218.841] (S)shira_to: ゾムさんしか信じないよ
[219.035] (S)ぉうどん: ゾムさん
[219.102] (S)kakekan: ゾムさん
[219.297] (S)ririmaru_nx: ゾム
[219.315] (S)ﾓﾓｽｴ: ゾムさん
[219.423] (S)nya0k0: ぞむさん
[219.534] (S)uchichan_p: らっだぁを切り捨てる
[219.570] poteito: でもゾムさんの方が好き
[219.676] (S)kedamanoma: ww
[219.685] (S)よわはと: ゾムさん
[219.788] (S)そまる: ゾムさんだろ
[220.143] (S)ねぎカレー: ゾムさんかなぁ…
[220.259] (S)nero2422: radaokunHatena
[220.362] (S)tsuchi_root: ゾム
[220.742] (S)microworm_88: ゾムさんを信じます
[220.744] (S)勿忘草: ゾムニキだな
[220.975] (S)ナ行: ゾムさん
[220.990] (S)owatativv: みんなゾムさんの味方やぞ
[221.016] (S)こちょこがみ: お前のことは信じねぇ
[221.077] (S)mizukurage_: ゾムさんに決まってる
[221.269] (S)ithi25: ゾムさん
[221.329] (S)落雷_: ゾム
[221.736] (S)どくつる: radaokunHatena
[221.746] (S)zeratin12: ゾムさんしかねえだろ
[221.921] (S)hato0123: ゾムさん
[222.103] (S)kabosuq15: ゾムさん信じる
[222.317] (S)ずきゅきゅんた: ゾムさん
[222.499] (S)youmi4869: radaokunHatena
[222.640] (S)he_s_s: ゾムさん
[222.910] (S)menheracha: ゾムさんに決まってんだろ
[222.918] (S)jhonnymorimori: ゾムニキだよ
[223.041] (S)なぁなん: naanann39 subscribed with Twitch Prime. They've subscribed for 6 months! わこらだ！この日を待ってた！
[223.121] (S)もぐもぐあおば: ゾムさんですね
[223.162] (S)鳥餅あわほ: そりゃあもう、ねぇ
[223.235] (S)海苔820: ゾムさん
[223.284] (S)いのりさん: そこはゾムさん信じるわ
[223.371] (S)miumii_330: ゾムさん
[224.118] (S)azucha_z: ゾムさん
[224.156] (S)s_shy_boy: ゾムさんに着くぞ？
[224.200] (S)五色椿: ゾムさん
[224.228] (S)doku___: ゾムさん
[224.289] (S)すのっぺ: ゾムさんだよなぁ
[224.424] (S)karasu57: ゾムさんだな
[224.432] (S)H1yoyo: ゾムさん
[224.451] (S)0itimaru: ゾムさん
[224.463] (S)茅野: わこらだ！
[224.535] (S)Alpha_5665: ゾムさん
[224.592] (S)kabinohaetamoti: え？
[224.694] (S)rio12030114: ゾムさんだな
[224.747] (S)小林ばやし: ゾム
[224.817] (S)Neru003: ゾム
[224.996] (S)1cmmeter: ゾムさんやろ
[225.241] (S)kotatsu_san: ゾム
[225.241] (S)ichigaya_suzuna: ゾムさんだろ
[225.296] (S)るっこらら: ゾムさん
