[3330.665] haiganiko: :)
[3331.244] kitagawakun: スト５の風水エンジンだったら俊敏＋１＋２くらいだったろうねｗ
[3333.897] かささぎ: 緑デッキだけ来ませんなぁ
[3337.005] (S)hisotensokuzei: ライバルズなら狙い撃ち
[3346.486] (S)gomesu: ふーどさんと梅さんは参加しないのかな？大会
[3361.763] woodmud: フォロアーはシャドバだっけ？
[3369.918] daruma2597: トリガーを引くはダメ？
[3378.312] yossi1225: 僕も出たかったな～
[3386.560] goodriser: でもDQ10人くらいいるぞ
[3389.062] kemononeko: 解説のウメハラさん
[3392.946] kitagawakun: カードゲーの解説って無ヅカしそうだよね
[3394.246] inoitami: このゲームそんな長く続くの？
[3399.866] (S)平本: オタクさん
[3400.641] 憂う者の弟子: 連撃一閃！！
[3405.928] かささぎ: 超必（SNK感
[3406.067] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[3423.017] kahaku91: 当日枠すこし入れたんだよね
[3424.544] かささぎ: ルネさんとか
[3451.468] R0BROKOP: Whats happening
[3475.089] rtmt: 好きなやつが集まっててたのしいね
[3481.839] woodmud: 格ゲーマーはこのゲームやってるのまだまだ少ないのか？
[3491.389] haiganiko: 俊敏と連撃で実質4回攻撃ですよジュリ
[3492.212] hakeo_db: 俊敏って2倍ちょいって認識だけど正確にはどうなんだろ
[3494.492] 憂う者の弟子: ザワザワ
[3499.960] kahaku91: さすがに5000万
[3501.685] danny_love_danny: 仲良くなってきた
[3507.707] (S)nicknocknocken: このゲームって2色しかないんですか?
[3514.350] (S)ﾔﾐ: 人間強度は下がった
[3514.364] sutoku94: ルネさんは別げーで世界チャンピョンとか、日本選抜チームとかに選ばれてるもんなぁ
[3515.633] おじキッズ兄: つよそう
[3530.021] かささぎ: ドミニオンとか
[3533.537] ryou7144: 2000とか化け物かな
[3535.529] b_oka5: ウォーロード
[3536.252] 憂う者の弟子: 30万ぱわー
[3538.664] kahaku91: 2000は大台だね
[3541.000] yossi1225: どうも人外です
[3546.453] (S)gomesu: 上映ってない
[3549.372] (S)hisotensokuzei: 機種かｗ
[3550.922] おじキッズ兄: あっ
[3551.505] かささぎ: 定期的にお願いします！！
[3560.173] (S)hisotensokuzei: 回線…
[3561.432] niemalsaufgeben: アンドロイド対応はよ
[3562.117] ジン368: 回線が
[3563.767] danny_love_danny: なんでAndroidはみれないの？
[3567.205] SsHomes: monkaS
[3573.760] t_bato: ハンサム折笠はどこ？
[3575.045] prosciu: 機種バラバラだから大変だね
[3575.159] ryou7144: ノーゲームで
[3577.606] (S)gomesu: 上手札見えないのが、さすが2000って感じ
[3590.820] おじキッズ兄: カード全部持ってる感じだ
[3595.408] かささぎ: 見せられないよ！
[3605.638] 000105: ウメちゃん買ってー
[3608.856] rtmt: 決勝とかならやってもいいかも
[3609.055] angardgg: 地下だからしゃーないね
[3610.894] ~MISSING_COMMENTER_INFO~: トラブルはつきもの
[3614.107] niemalsaufgeben: ウメなら買える
[3616.291] (S)gomesu: どの機械？
[3617.177] kitagawakun: テッペンってキャプして配信する機能に制限設けられてるんだっけ？たしか
[3623.611] kahaku91: マゴさんの賞金で買おう
[3623.856] (S)gomesu: ほえー
[3624.717] danny_love_danny: ウメが経費で買う
[3627.613] hanpamon: ウメちゃんの高いは100万から
[3630.904] usa451: LANケーブルでつなぐん？
[3632.621] (S)gomesu: マゴ賞金笑
[3645.745] metoro3: 2000ぐらいであるね
[3647.900] woodmud: そんなのあるんだ
[3653.268] danny_love_danny: それ安定するね
[3654.030] keisuke081991: マゴで買おう
[3662.300] おじキッズ兄: やすｗ
[3662.497] usa451: マゴさんの賞金
[3669.170] (S)gomesu: 小さいルーターみたいなものなのかな
[3671.583] (S)hisotensokuzei: PC版欲しいなぁ
[3671.769] tanikiyo: それできたらなにかあるの？
[3676.611] kitagawakun: テッペンやるときだけwifi接続切ってるわ
[3678.408] ~MISSING_COMMENTER_INFO~: Jesuに買ってもらおう
[3684.195] ~MISSING_COMMENTER_INFO~: そそ、PC版出せマジで
[3685.419] (S)gomesu: でも手札は見えない笑
[3687.795] triskeal: Switchはそんな感じで有線接続するよね
[3694.314] inoitami: ４９０万どっかにあるからそれで買えば
[3698.071] siyouchu: 片方がlightning、片方がtypecな
[3698.339] (S)gomesu: PC対応してほしいよね
[3706.832] ~MISSING_COMMENTER_INFO~: それかブルスタで動くようにしてくれりゃそれでいい
[3710.734] b_oka5: ***
[3714.103] balthazar000: PC版出れば、いろんな人が配信しやすくなるよね
[3724.526] おじキッズ兄: もうつらそう
[3727.238] 憂う者の弟子: PC版はよ
[3730.973] b_oka5: うわリンクとんでもないことになったがLAN二つなぐノ3千円だった
[3737.743] margareta1111: NOXplayer も無理なの？
[3740.081] kitagawakun: これは早くもきつい
[3740.324] rtmt: 873円ケーブル
[3754.271] hanpamon: eSports推すなら配信しやすくなる仕組み用意して欲しいね
[3763.870] 憂う者の弟子: エミュは全部対策されてる
[3776.340] (S)hisotensokuzei: NOX無理やで
[3778.005] niemalsaufgeben: ノダ！
[3778.118] サメカツ1999: 野田氏・・・
[3789.556] kitagawakun: パソコンに画面を取り込むのが制限されてるのか
[3789.559] 金ゆで玉太郎: 野田さんは完全身内ノリ
[3790.766] margareta1111: そうなんだ・・・スマホだと熱くなるし早く対応してほしい
[3810.040] balthazar000: グレーじゃないの、その辺は
[3813.883] usa451: 武神龍
[3826.382] 憂う者の弟子: 野田氏、削ってるね
[3851.585] かささぎ: 4/2/9
[3878.171] yossi1225: 攻撃２体力９は自分の手札をランダムで一枚捨てるですね。被った除去を捨てたり、リベンジユニットを引くための回転率をあげます！
[3887.050] woodmud: 無理だった―
[3891.879] niemalsaufgeben: うまいな
[3905.621] (S)gomesu: Cheer100 お二人ともTGSお疲れ様でした。
[3905.966] (M)Moobot: Thanks for the support, @gomesu 
[3909.114] kireboshibasyato: 暗転後一律で若干の間を設けじゃダメなの？
[3921.947] おじキッズ兄: ふ～どだからｗ
[3928.823] kitagawakun: マゴさん！？
[3934.120] metoro3: 野田さん
[3944.670] かささぎ: ナリハルさんきたぁ
[3963.381] kahaku91: 野田さんの説明めんどくさすぎるｗ
[3970.128] woodmud: でも烈火拳って3枚入れなきゃ意味ない割にはコスト高くない？
[3974.019] (B)DaigoTheBeasTV: https://smash.gg/tournament/beastv-cup-teppen-1/events
[3999.682] inoitami: 上の何？
[4005.150] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[4026.293] noon333333: リュウ相手にタイラント強いなあ
[4029.559] かささぎ: 上は、アンドロイドスマホだから表示できないとかなんとか
[4035.131] (S)rizojo121213: rizojo121213 subscribed with Twitch Prime. 
[4035.210] (M)Moobot: @RIZOJO121213さんTwitch Prime登録ありがとうございます！
[4045.481] kitagawakun: 烈火って顔面に打てたっけ？
[4064.079] (S)hisotensokuzei: ggやな
[4065.295] かささぎ: うてません！
[4067.736] kahaku91: 迷いを絶つ！
[4075.742] kitagawakun: 顔面に打てないのなら弱いｗ
[4087.081] SomacruzMd: リュウ何してんの
[4092.969] (S)hisotensokuzei: レウス召喚する
[4110.239] kitagawakun: っｇ
[4121.031] kahaku91: 絶望のナッシュ
[4141.145] 憂う者の弟子: 30万ウェスカーつよい
[4151.627] ~MISSING_COMMENTER_INFO~: 破壊嫌い
[4157.486] ジン368: やはり2000は強かった
[4170.391] tabibitox: 2000つよいな
[4170.915] ryou7144: 2000の安定感
[4173.846] yossi1225: Eスポーツ！
[4179.443] ~MISSING_COMMENTER_INFO~: 握手ナイス
[4180.490] 金ゆで玉太郎: e-Sports
[4183.085] mocacc1no: esports 
[4187.874] (S)sartan7: 露骨なe-sportsアピール
[4190.177] しゅごいよ: esports
[4196.646] niemalsaufgeben: 良いスポーツ
[4199.025] kahaku91: 優勝者に見せてもらって構成聞くとかね
[4212.828] kitagawakun: そのうち綿棒が最強とかになりそうｗ
[4214.064] scottiever06: cpt精神
[4216.494] yossi1225: 上級者連中は両手使いますよ
[4217.591] niruniru77: ウメスレチェック
[4219.246] keisuke081991: 物議を醸す
[4223.350] p0toooooooos: ダイゴのペン
[4232.433] junpei5110: 画面小さいスマホ有利説
