[1695.883] 柴犬のしっぽ: 顔避けるのいいねｗ
[1701.007] 上腕二頭筋サンドイッチ: フラッシュ良けれるのもゴールドからやろ！
[1706.380] achan141: ナイス避けw
[1740.795] (S)akahige9280: tonaka2Nice2
[1742.911] (S)けーーま: tonaka2Nikkori753
[1743.468] (S)owo_8o8: いいね
[1745.228] (S)かなるな: tonaka2Nice2
[1746.517] (S)owo_8o8: tonaka2Nice2
[1752.270] inufu: ナイス！
[1760.093] (S)kanemaru12912: wwww
[1763.242] (S)けーーま: www
[1771.847] achan141: 泣かないでw
[1774.200] タナたな: 泣いたっていいじゃない
[1781.008] 柴犬のしっぽ: もっとレイズのナイス聞きたい
[1781.318] (S)けーーま: 脊髄で反射していけ
[1781.557] (S)natu0713: いい声や
[1784.520] inufu: 泣かないでもう少し
[1797.577] (S)ケダ: ｗｗｗ
[1804.423] タナたな: 舘ひろし
[1829.985] inufu: ナイス
[1834.513] 柴犬のしっぽ: キスしよ
[1838.203] asuta_0928: かわいｗ
[1840.186] (S)けーーま: キスしろ
[1841.173] (S)akahige9280: www
[1842.423] 激ローメタモン: ごめんねのチューだろぉぉぉおおお
[1846.612] achan141: w
[1848.542] 上腕二頭筋サンドイッチ: valorant見るとvalorantしたくなる
[1850.339] inufu: www
[1851.089] (S)owo_8o8: 一切www
[1851.572] ネコとパン: ヘンディーさんエイムラボとかしてますか？
[1854.841] 場数ふみ子: w
[1855.375] エルネコ: 大事なところで2分も広告きて何も分からんかった
[1857.176] (S)natu0713: 一切ないのかよw
[1874.806] rio__0621: 優しい世界
[1881.090] (S)けーーま: やさいせいかつ
[1884.548] (S)akahige9280: tonaka2Nice2
[1885.168] achan141: ナイス！
[1886.295] (S)ケダ: チームつええ
[1892.994] inufu: ナイス
[1893.029] (S)owo_8o8: tonaka2Nice2
[1901.756] kiichan_oo: チームいい感じや
[1901.978] (S)akahige9280: 光ってるねぇ
[1904.053] asuta_0928: これは光
[1906.253] 姫神くろね: 空気◎
[1915.545] びーなすぅ: んん〜！ヘンディーーーっ
[1918.047] アンディィィ: !rank
[1918.230] (M)Nightbot: APEX/ゴールド２ VALORANT/ゴールド１
[1921.682] achan141: www
[1923.858] ayuno_shioyaki0o0: !rank
[1924.048] (M)Nightbot: APEX/ゴールド２ VALORANT/ゴールド１
[1925.251] inufu: クリスタルが光り始めたな
[1931.882] (S)けーーま: バック走www
[1947.169] (S)junn_0212: wwww
[1951.134] kaito_1k: wwwwww
[1952.981] 場数ふみ子: w
[1953.205] kiichan_oo: ｗｗｗｗｗｗ
[1954.614] いくと2: ｗｗｗ
[1954.744] (S)owo_8o8: wwwwwww
[1957.108] (S)akahige9280: www
[1957.834] inufu: www
[1960.125] かじ山: 相手のうまさにキレんなってw
[1963.420] shu_1011: 切れんナッツ
[1967.231] kiichan_oo: クローブ頭1発で抜いてくるねw
[1969.696] エルネコ: フィジカル強いのはプラチナからって決まってんのやぞ！
[1972.276] 柴犬のしっぽ: 声だしかってる！
[1989.590] kiichan_oo: ｗｗｗｗｗｗ
[1991.236] エルネコ: ｗｗｗｗｗｗ
[1992.867] (S)かなるな: tonaka2Iutayan2
[1994.456] (S)akahige9280: www
[1998.511] alufeee: タイミング完璧かよ
[1999.856] (S)けーーま: tonaka2Iutayan2
[2001.893] 上腕二頭筋サンドイッチ: すべてを分かってる男
[2002.673] かじ山: レイズとかジェットはグローヴしばいてるから、感度低いのかもな
[2012.813] (S)ららく: tonaka2Iutayan2
[2018.622] giselle_irene: ゆーてはないのよｗ
[2020.280] Juicewisdom: axeumBlush
[2021.333] achan141: www
[2023.524] azarashi_ft: やる側のきもちわかるのねｗ
[2065.275] alufeee: akariPopute
[2068.796] azarashi_ft: バック走4秒89
[2069.454] エルネコ: えぐい
[2077.424] (S)natu0713: 撃ち合いが
[2082.507] masa_0501: こんにちはー
[2089.371] inufu: 強いめぅ
[2089.598] みりみりみりみり: 走り打ちあるのみ
[2095.858] なまけぬこ: イメージするのは最強の自分
[2102.988] ネコとパン: デスマッチやりましょう
[2115.869] (S)ケダ: ストッピングがすべて
[2117.422] baaaaayan: キーボードがむずいんよ
[2117.995] いくと2: 繊細よねぇ
[2118.045] lets_gouda0: ストッピングが難しい
[2118.955] (S)かなるな: 反応速度？
[2119.655] kiichan_oo: ヴァロがちむずい
[2137.567] トニ丸クニツナ: そのかわり成長めちゃくちゃ感じやすいよねこのゲーム
[2137.730] かじ山: 覚えゲーなんよな。ここ敵出てくるからプリエイム〜とか。知ってるヤツが勝ちやすい
[2166.467] エルネコ: ないす！
[2168.492] achan141: ナイス👍
[2169.969] (S)ららく: tonaka2Nice2
[2170.936] (S)zakiyoka: ないす！
[2171.283] くすめ: nice
[2172.112] (S)ケダ: tonaka2Nice2
[2175.413] 刺身用ブロック: 🍆
[2176.569] inufu: ないちゅ！
[2186.219] (S)かなるな: tonaka2Nice2
[2192.554] いくと2: ないす！
[2193.992] kamaboko0000: 朝一のおしっこエイムに注意やな
[2200.835] gumic: 格付け完了か
[2202.773] いくと2: 分からせていこうｗ
[2205.761] エルネコ: ヴァロラントカースト
[2206.486] (S)かなるな: ラス回避
[2218.437] inufu: 序列まじかw
[2222.716] タナたな: 一つずつ上がっていこう
[2243.612] (S)エルネコ: エルネコ subscribed at Tier 1. 
[2268.963] (S)エルネコ: エルネコ is gifting 5 Tier 1 Subs to ヘンディー's community! They've gifted a total of 5 in the channel! 
[2269.604] (S)エルネコ: エルネコ gifted a Tier 1 sub to michaelpochi! 
[2269.630] (S)エルネコ: エルネコ gifted a Tier 1 sub to みくりんこっこ! 
[2269.631] (S)エルネコ: エルネコ gifted a Tier 1 sub to koujyu1414! 
[2269.653] (S)エルネコ: エルネコ gifted a Tier 1 sub to domingo_42! 
[2269.696] (S)エルネコ: エルネコ gifted a Tier 1 sub to ココアがのみたい! 
[2272.422] alufeee: www
[2274.779] (S)zakiyoka: ないす
[2275.256] (S)ケダ: tonaka2Nice2
[2275.748] lionelmessi4545: わあ
[2276.324] achan141: ナイス！
[2278.713] inufu: ないギフト
[2283.173] (S)junn_0212: ヘンディーリラックスや！
[2283.344] rio__0621: halli4Break2
[2284.241] blankpool: わぁ
[2292.469] さくぅ_: ないぎふ
[2302.586] (S)kanemaru12912: ほんとにリラックス大事
[2342.031] azarashi_ft: raizinRip
[2343.832] (S)zakiyoka: ないす
[2346.550] achan141: ナイス👍
[2348.518] おいるまん: Cheer100
[2348.859] giselle_irene: チャット
[2354.195] (S)エルネコ: ｗｗｗ
[2355.437] achan141: www
[2355.665] inufu: いーねー⤴︎
[2358.260] いくと2: ｗｗｗ
[2359.797] 刺身用ブロック: ナスビ
[2361.319] 姫神くろね: えええぇ・・・
[2362.506] (S)junn_0212: WTF言われたから
[2362.586] (S)syao_2: wwww
[2365.665] alufeee: akariPopute
[2365.915] たくみんやで: スペクターの距離じゃなかったかもね
[2366.195] タナたな: 謎
[2377.655] (S)zakiyoka: 向こうからどう見えてるんだろう
[2424.628] suu110: これ終わったらフルパできそう？
[2433.150] (S)エルネコ: ナイス削り
[2434.341] (S)ケダ: ナイス削り
[2434.578] achan141: nt
[2435.808] (S)akahige9280: tonaka2NICETRY
[2438.804] (S)ばぢ: ナイス削り！
[2442.202] (S)junn_0212: お
[2442.304] inufu: nt
[2445.944] (S)akahige9280: お
[2450.310] achan141: おお
[2455.403] (S)けーーま: tonaka2Niyari
[2455.973] sun_hidamari: あと8か
[2457.660] rio__0621: ないエこではある
[2469.526] (S)kanemaru12912: 絶対vdkやw
[2477.493] (S)ケダ: @3か
[2481.005] alufeee: akariNn
[2491.018] inufu: ボドカなんか納得した笑
[2522.832] (S)けーーま: tonaka2Nice2
[2522.857] (S)akahige9280: やれるぞ！
[2523.152] (S)ばぢ: おおお！
[2523.197] タナたな: ないすううう
[2525.672] achan141: ナイスー！
[2525.826] (S)ケダ: tonaka2Nice2
[2527.026] (S)kanemaru12912: SeemsGood
[2527.098] (S)junn_0212: ないとぅー
[2527.464] (S)エルネコ: いいぞぉ！！
[2527.677] (S)akko818: tonaka2Nice2
[2527.951] (S)akahige9280: tonaka2Nice2
[2528.326] bamboo3q: ないす
[2530.631] (S)けーーま: tonaka2Penraito
[2531.040] たくみんやで: かっけええええ
[2531.249] papillon779: ナイス
[2532.553] alufeee: akariPro
[2533.913] さくぅ_: tonaka2Nice2
[2534.039] achan141: かっこいい！
[2534.660] (S)zakiyoka: tonaka2Penraito
[2538.977] inufu: ヒュー！
[2539.344] タナたな: 泣いてる
[2542.147] ネコとパン: ナイス〜、ヘッドライン意識ー
[2544.375] (S)owo_8o8: tonaka2Nice2
[2546.469] gumic: それでもジェットさんはオコです
[2554.179] midk8: 一緒に詰めろって言われてるｗ
[2558.238] 刺身用ブロック: ええ調子や
[2564.555] 綾華_: なんだかw
[2565.048] mabochi3: 隠れてていいってコト？！
[2568.130] hinato_flog: ww
[2579.662] achan141: うま！
[2587.461] suu110: 俺のことベイトに使うなってことか
[2588.403] (S)エルネコ: 勝ったから良し
[2591.038] inufu: コーチングされてると考えとくか
