[1464.638] non__violence: 折笠 今がチャンスです
[1492.209] (S)myuraly: 獣道のネタできちゃうな
[1496.205] ratchet0512: 8・23事件
[1498.516] meshiumer: 豊田VS折笠のリスクマッチも見たいなあ
[1500.023] banbondon: 10時まで見るものないからな
[1500.776] okitotoro: これコサク負けたら一生擦られるな
[1502.767] Frasco006: 勝ち越してるとは？
[1513.867] lightkk0: 百鬼がよ
[1514.238] sibazuke0141: 3先だったらなー
[1516.363] nhhhe: 賞金首に折笠さん出てほしい
[1523.406] kusare_gedou: 百鬼が
[1533.152] asdtzg: 百鬼のせいにしていけ
[1536.259] (S)kkkfdf: コサク髪切って
[1537.858] (S)nonnon1990: 百鬼つよいなー
[1548.321] yulth: コサクッ
[1555.306] hoehoeR: おーコサク良いこといいやん
[1567.817] tk3333: でも普通に折笠さん強くてビックリや
[1572.764] omedetroit: 青虎育っていけ
[1575.785] Imaise: いいアドバイス
[1576.924] okitotoro: ？？？？「前髪が長すぎる！」
[1596.984] DJ4756473990: does daigo play chess?
[1616.401] current_06: 亀頭どうにかしろ
[1630.859] (S)diego_ohunabara: umeYay
[1644.101] (S)sugarsato_: とっきー、ネカリ戦はこれだぞ
[1655.877] sibazuke0141: コサクさん今日はハチマキしないんですね
[1659.351] user0511: 時短
[1663.594] toaluH2O: いい話するね
[1669.526] okitotoro: ちゃんと教えてくれてすばらしいね
[1681.392] loserswear: 勝ち越しはフカシだったか～
[1687.090] sibazuke0141: ありがとー
[1689.253] Imaise: コサクおつ
[1690.025] (S)prosciu: コサクありがとー
[1693.675] okitotoro: コサクありがとー
[1695.113] DJ4756473990: 西洋棋
[1695.121] (S)nonnon1990: 百鬼で勝ち越しかあ
[1705.381] ratchet0512: FF8の主人公だよね
[1707.616] Frasco006: ハンサム抑えられんかぁ
[1709.815] aobara0208: キャラが強いから戦い方が変わんないんだよね折笠さん
[1719.279] yulth: 豪鬼から折笠が
[1720.430] lightkk0: 俺折笠
[1728.057] sora_neko09: 豪鬼の攻撃力に頼り切り
[1731.474] asdtzg: handsome出てたね
[1734.797] (S)NAOjpp: www
[1739.415] okitotoro: マジ説教ｗ
[1740.570] (S)nonnon1990: 豪鬼が強すぎるのがよくない
[1740.646] (S)ayuka_game: 草
[1740.757] 足立太郎: LUL
[1740.900] (S)sugarsato_: ハンサム・・・
[1742.400] h2hiroyuki: 現状一人プレイで対戦になってないってことね
[1746.618] lightkk0: マジレス飛んできたぞ
[1746.652] m3vz: ワロタ
[1747.704] さぶろ: 最初からずっと言われてるじゃんこのこと
[1747.876] cafe_gondo: ガチなやつ
[1748.031] sibazuke0141: お説教w
[1749.218] sita1111: 公開説教ｗ
[1749.499] asdtzg: 笑うわ
[1753.865] yulth: 年下に怒られるおじさん
[1754.030] (S)shiki_sb: ガチ
[1758.456] gamuq: 草
[1759.905] (S)zero4zero7: 場所が中野であることと、継続していけないことと、ストVもってないという3つの理由で、行きたくても行けなかった。
[1763.018] otfgk: 厳しいマジレスきたｗ
[1763.298] m3vz: いきなりクラカン
[1764.149] loq901: いやー年下にガチ説教は来るねｗ
[1765.397] (S)kumanobed: ガチのお説教
[1769.219] (S)takamitsu_hayashi: this is orikasa
[1777.036] pompeyo: why does daigo use necalli?
[1780.368] (S)kahaku91: 相手プロゲーマーだということを忘れてるな？
[1788.282] 鯖ギョーザゼリー: 折笠+キャラ対＝猛者
[1827.459] hadogamosenpai: chiS
[1827.611] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1832.092] Soulcube1982: people still artificial hype boring fighter 5?
[1860.372] (S)NAOjpp: ｗ
[1860.608] yulth: できず
[1863.788] (S)kuini__: ｗｗ
[1915.326] muryokuka: this man use necali is not daigo
[1922.742] maemaemaema: なるほど！
[1925.978] skSombat: how do you balance earphones on smartphones
[1927.740] ~MISSING_COMMENTER_INFO~: ふけえ
[1929.031] (S)sugarsato_: なるほど・・・
[1938.933] sora_neko09: Daigo is absent. Fuudo teach anti-Necali strategy to Orikasa.
[1945.635] omaturiwasshoi5: 分かりやすい
[1965.590] DJ4756473990: haha anyone want to play ARKANOID?
[1968.562] ~MISSING_COMMENTER_INFO~: DAIGO IS BEAUTIFUL
[1968.792] almost6bars: @headone i guess you'll need a mixer app for something like that
[1970.078] ~MISSING_COMMENTER_INFO~: <2
[1982.969] (S)diego_ohunabara: umeHandsome
[1983.750] sibazuke0141: 応用できる知識
[2010.633] TheRealHikiki: umeHandsome
[2020.845] (S)eremin_39: umeFail
[2024.136] skSombat: @almost6bars aaah yes thanks
[2031.246] (S)diego_ohunabara: MercyWing1
