[2693.555] (S)ソーラン武士: FallWinning
[2696.887] kastodui: P
[2699.205] たくあんどす: ボコボコやん
[2706.369] ラギ3: 強
[2716.565] FirstBlood_GG: お
[2737.406] sndkzfm1: すげー色
[2737.572] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[2741.891] 皇帝ルル: すご
[2746.642] たくあんどす: それやりてぇ
[2754.411] greyspecterstudio: greyspecterstudio subscribed at Tier 1. They've subscribed for 57 months, currently on a 57 month streak! 
[2768.369] (S)dokuyubi: 消化器官全壊してる肌の色
[2789.267] 皇帝ルル: 57か月連続は凄い
[2820.478] rinze_chan: 6連勝！
[2822.803] (S)midori_no_tanuki: midori_no_tanuki subscribed with Prime. They've subscribed for 5 months, currently on a 5 month streak! 
[2824.286] (S)仙ニーン: umeSnooze
[2848.830] prisira: 竜尾？
[2852.193] (S)tabibitox: バルログ使いがダル使いに
[2872.426] ランジェリーバード: カワノきゅんはファブルみたいに浴槽で寝てるんだってね、すごいなぁ。
[2878.708] sndkzfm1: おー
[2880.709] rinze_chan: リーサルかんぺき
[2884.053] carry_on_my_way: すげ
[2893.047] bunbun0880: 龍尾すきだねー
[2894.217] 楓原なお: 楓原なお subscribed with Prime. 
[2895.172] (S)仙ニーン: 見ててリフティングきもてぃー
[2918.011] log_zzz: 今日は攻め全振りみたいな感じで見てて楽しい
[2918.378] ぷつお: リフティングうめー
[2933.753] prisira: 空中拾いは竜尾で拾うのがまるいんかな
[2938.162] (S)koutwitchtv: 1900
[2939.278] (S)日本語かな: 確定反撃のときアッパー奮迅しゃが中パンのループにしないのってやっぱ操作多くなるから安定する立ち大パンにしてるの？それともラッシュからだとダメージ変わらんから？
[2946.328] rat_2442: 痛そう
[2947.128] rinze_chan: 1900きたー
[2954.938] (S)ソーラン武士: LUL
[2969.132] (S)tabibitox: 金鳥さん
[2971.398] titilrin: きんにぃ
[2974.732] (S)hi_soft: mekarudo subscribed with Prime. They've subscribed for 4 months! 
[2976.824] log_zzz: きんちょーるにぃ
[2977.294] (S)日本語かな: なるほど
[2980.882] sstteex: 綺麗な波動拳
[3023.778] ratchet0512: バード一族
[3039.333] 新ころりん: 定期的に同じ人と当たる時間帯
[3043.288] sobabetterudon: この弾撃ちには年季が感じられる
[3046.567] abura0: 鳥がつく格ゲーマー強い説
[3060.529] 3_dots: なんかこの、達人同士の間合い好き
[3064.582] 新ころりん: 勝ちをトリに行くからかな？ｗ
[3073.433] blueplanet96: スト5始まった
[3075.574] (S)仙ニーン: umeCossack
[3078.865] sndkzfm1: かっけー
[3079.143] log_zzz: ケン同士で時間切れなりかけとかあるんだな
[3085.767] kurobedam: かけちゃんもうずらのままだったらバード一族になってたんかな
[3097.822] katalysi: Daigo with bedhead
[3115.316] (S)axchuuu: ベッドヘッドってねぐせ？
[3126.931] 新ころりん: 翔るだし翼を得てるから鳥じゃろ
[3126.931] (S)箸くれ: ケン同キャラ割とおもしろいよね
[3130.659] monen_tofu: リベンジ
[3135.007] blueplanet96: 寝ぐせじゃね？知らんけど
[3142.283] log_zzz: きんちょーる師匠ーー
[3143.744] (S)日本語かな: ひよことか雛とかついてるプレイヤーは現れるのか
[3165.541] gekoooooooooooooooo: 鶏めしさんも調理済みだけどセーフか
[3177.814] おきあがりこぼし: ライスバード
[3178.719] (S)仙ニーン: 間合いの距離感むずそう
