[2291.018] (S)じゅーくぼーい: ミスミソウとは別物です！
[2296.717] (S)syouyuireppa: それホーリーランドじゃね
[2307.411] とうちゃん1: 大河ドラマが面白いですよ
[2308.125] (S)hoshi_boshi_0: SPECはまーじで面白いのでオススメです
[2314.830] kimie_white: ***
[2336.342] sindou_ume: VIVANT
[2351.446] (S)けろろがめ: 「坂の上の雲」はまだ小国だったの日本がいかにしてロシアに勝つまでに至ったかのお話です。
[2351.924] nanasenchi: DARK（ドイツのドラマ）
[2352.430] uma10151515: サンクチュアリ
[2357.214] v_harumi_v: ドラマじゃないけど、ヘルボーイすき。
[2382.694] rarirureluis: ベイブいいぞ
[2398.848] ﾔﾐ: いじめっれっ子に復讐はオーバーキルｗ
[2399.512] (S)ponponguripon: さっき複数人がおもろいって言ってたのあった
[2399.695] yuya__516: 入学徴兵みたいなやつ？
[2413.259] (S)イエール: そんなに派手な展開のある作品じゃないけど、まほろ駅前シリーズは好きよ。まほろ駅前多田便利軒（映画）、まほろ駅前番外地（ドラマ）とかどう？（原作は舟を編むなどで有名な三浦しをん）
[2421.604] provisualfight: RyuChamp
[2426.956] fikat_0702: リーチャー面白いですよ、派手さはないですが
[2438.067] 80808527: グッドウィルハンティング名作だから観てくれ
[2439.540] lucky7404: 迅雷弱派生SA地味ムズ
[2461.704] (S)イエール: 主演は瑛太と松田龍平
[2465.061] まろ助: ヴィンツェンツォおもしろかったな
[2466.592] (S)けろろがめ: 「坂の上の雲」は原作が司馬遼太郎です
[2471.013] ロバヲ: アイオホノオ
[2476.484] wouth56: ハンニバルおもろかった
[2480.291] sindou_ume: 爽快さで言うとジョン・ウィックシリーズ全作
[2490.938] (S)じゅーくぼーい: 脚本とか演技なら日本より韓国のがレベチすぎる
[2492.683] マンゴスチン: リーガルハイ
[2525.857] homu0117: フランク・ダラボン監督のマジェスティック見たことある？
[2526.636] (S)おしるこ11: ネトフリなら地獄が呼んでいる面白いよ
[2536.854] (S)화랑잘해지고싶다: リリィってあれガードしてもシミーできるんや
[2589.686] (S)화랑잘해지고싶다: フレーム消費したりしなかったりするのもやっぱ読み合いなんですかね
[2591.335] (S)けろろがめ: あとはV6の岡田准一さんが主演の「SP」がめっちゃ面白いですね SPモノだけどすこしだけ能力者的な要素ありです
[2592.274] fikat_0702: 対策バッチリー
[2597.995] provisualfight: KEN 
[2614.716] (S)じゅーくぼーい: ウメちゃんがチラ見したの殺人者のパラドックス？
[2614.930] tiagox182: daigo big hugs from brazil!
[2619.437] kimie_white: インパクトシビアなんか
[2641.709] gftakataka: ODはインパクト確定しないはず
[2644.366] 高速スライダー: Huluのパトレイバー実写版
[2655.454] (S)ましゅダヨ: あぁ、名前だけなら知ってる
[2663.377] v_harumi_v: 人前で観るには刺激が強めだけど、海外ドラマのスパルタカスかっこ良くて大好き。剣闘士とか沢山出てくる
[2666.756] provisualfight: capcomKO
[2682.666] sindou_ume: デンゼルワシントンさんのイコライザー全作も面白い
[2692.316] (S)野原しんのすけのぞうさん: イコライザーはガチ
[2695.621] gftakataka: あれ、そうだっけ
[2697.814] fikat_0702: イコライザー面白いですね、映画だけど
[2698.885] (S)syouyuireppa: 映画だけど、どんでん返し系ミステリーすきなら9人の翻訳家見てほしい。結構最後驚いた
[2702.365] v_harumi_v: 昔映画であったのとは、別でドラマがあるの
[2708.241] (S)ましゅダヨ: 全部グロい感じですか？
[2720.904] (S)hoshi_boshi_0: ネトフリオリジナルのストレンジャーシングス面白いのでオススメです
[2735.198] (S)イエール: 渋い映画だけど、トレーニングデイも好きよ（デンゼルワシントン出演）。
[2753.346] (S)野原しんのすけのぞうさん: デンゼルワシントンならザ・ウォーカーもおもろい
[2761.034] provisualfight: capcomG
[2770.189] kimie_white: さっきは遠かった
[2771.666] yougen1124: 遠くだと確定しないとかはある
[2772.472] ボンちゃん: カスタムやろうず
[2774.512] gftakataka: ごめーーん
[2775.260] れみだすライト: じゃスパ暗転した時にインパクトボタン押しっぱなしだとダメとかあります？
[2782.076] sindou_ume: デンゼルワシントン出てるの全部好きまである電車のヤツも最高やった
[2785.388] yamato925925: ちゃんぼん
[2787.478] ボンちゃん: ラインみてー
[2787.711] れみだすライト: それできるときと出来ないときあって
[2789.045] masmas999: フリー・ガイ面白かったよ
[2791.181] not_wada: ブレイキングバッドってみました？
[2791.410] fireballkid1981: お、マサからお誘い
[2802.069] ミジンコ隊長: ボンちゃんいたぁ！
[2803.018] matheus123braga: Gênio
[2804.709] (S)イエール: ボンさーんからライン
[2806.834] (S)じゅーくぼーい: 殺人者のパラドックス観るならD.Pっていう韓国の徴兵制度の闇を描いたドラマ面白いです
[2810.058] 80808527: イミテーションゲーム
[2813.365] (S)きしー: ネトフリで汚れなき子ってドイツのミステリードラマおもしかた
[2813.645] fikat_0702: ぼんさーんいたぁ
[2819.128] (S)ましゅダヨ: あ、ボンちゃん
[2823.209] 軽く捻るか: おおお
[2823.371] (S)イエール: コーチのお願いか？
[2825.900] kimie_white: 業務連絡
[2826.487] masmas999: カスタムやろうって
[2829.301] fireballkid1981: 草
[2830.910] kimie_white: ｗｗｗ
[2831.247] ミジンコ隊長: BibleThump
[2833.851] (S)イエール: wwww
[2835.615] 軽く捻るか: あらー
[2836.410] ボンちゃん: あっ
[2836.915] (S)hoshi_boshi_0: うわーん
[2839.947] v_harumi_v: またの機会に
[2841.670] (S)じゅーくぼーい: えええ？
[2843.539] (S)hoshi_boshi_0: あっ
[2844.804] ボンちゃん: わかりました
[2844.871] fireballkid1981: BibleThump
[2845.163] 四国エスハ: 振られたｗ
[2846.108] fikat_0702: ホントタイミング悪かったｗ
[2849.756] sindou_ume: はやーい！
[2850.460] (S)じゅーくぼーい: まじかあああ
[2851.193] latenight000: 忙しいのでね（ゲームやりながら
[2851.334] (S)ponponguripon: みたかったなあ
[2851.491] もきち555: ごめーん
[2852.247] (S)イエール: ごめんよボンさーん
[2861.201] (S)じゅーくぼーい: umeFail
[2863.760] emaplusplus: ケンもほろろ
[2866.189] tama_zx61: 見たかったー
[2866.968] maddy2623: 見たかった
[2870.073] lucky7404: この後なんかあるの？
[2871.666] 近未来バスター: わかりました が何かジワったw
[2874.804] une3333: ボンちゃんまたね
[2888.593] one596: ボンちゃんcrカップ頑張ってね
[2894.180] (S)イエール: 水派と飲みにいくと予想する
[2898.822] (S)ましゅダヨ: 飲みとかある日はこんな感じじゃない？？
[2904.580] (S)じゅーくぼーい: え？今日配信終わっちゃうんですか？
[2914.299] (S)ましゅダヨ: ボンさんまたスパーして
[2932.532] ミジンコ隊長: うっま
[2935.465] be1surprise: PogChamp
[2935.599] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2935.993] (S)화랑잘해지고싶다: すごい対策、、
[2969.490] sindou_ume: 殺人？
[2971.736] (S)イエール: どうなん？おせーてーけろー
[2972.203] (S)じゅーくぼーい: 殺人者のパラドックスは面白いけど、ハマるかは人によります
[2974.885] ko_enma_sama: ガストのやつ？
[2980.693] sei_6: だいたい１話でおもしろさわかるよね
[3012.559] トトロボッチ: 詰ませてない？
[3017.376] provisualfight: KPOPvictory
[3018.529] fikat_0702: 完璧すぎるｗ
[3022.964] マンゴスチン: なんも通らん
[3023.131] sindou_ume: 韓国映画はわりと刑事物が面白かったヤツあったなぁ
[3023.820] (S)じゅーくぼーい: １話大事
[3042.336] ko_enma_sama: 私は不適切にもほどがあるにはまってます
[3044.110] wrwig: それだったらハマらないかも
[3045.423] ブラッドリンク: うめガイル第１話はありますか？
[3046.905] (S)화랑잘해지고싶다: 刑事系ならベテランですかね
[3047.900] tanikame: tanikame subscribed at Tier 1. They've subscribed for 23 months! 
[3050.580] (S)syouyuireppa: 何系が好きなの
[3052.354] (S)ましゅダヨ: そんなこと言ったらシュタゲとかどうするんや……
[3058.363] fikat_0702: 3話まで見て欲しさはあるｗ
[3058.525] (S)けろろがめ: V6の岡田准一さんが主演の「SP」がめっちゃ面白いですね SPモノだけどすこしだけ能力者的な要素ありです
[3072.239] (S)화랑잘해지고싶다: 僕これ
[3073.311] yuya__516: 阿部サダヲのやつよ！
[3079.442] (S)화랑잘해지고싶다: 特に意味ないので、、、
[3083.882] ミジンコ隊長: これよこれ
[3086.031] (S)~MISSING_COMMENTER_INFO~: espi categoty
[3086.474] (S)화랑잘해지고싶다: きむさんでいいです
[3093.497] (S)イエール: キム兄
[3093.722] johndoe6523rp: きむにぃ
[3096.638] (S)ponponguripon: きむにぃ
[3096.739] (S)ましゅダヨ: キムにぃ
[3098.028] v_harumi_v: きむさん
[3101.986] (S)simatarow: キムにぃ
[3104.858] (S)화랑잘해지고싶다: ｗｗ
[3106.485] maya_g01: きむにぃ
[3108.915] gmpmwtwz: キム兄はもう居るのよ
[3109.023] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[3118.559] (S)きしー: くどかんだよねたぶん
[3126.094] wrwig: きむにぃね
[3130.705] ilm0806: 政治ドラマはどうだろうか
[3137.446] (S)~MISSING_COMMENTER_INFO~: aka chunli
[3155.387] ~MISSING_COMMENTER_INFO~: aniki
[3157.831] (S)ましゅダヨ: spは面白い。岡田くんがアクションに本格的に沼って今では師範代まで行ってしまった始まりだ……
[3158.518] (S)イエール: 余談だけどSPの脚本書いてる金城一紀の小説はどれも結構おもろい
[3163.344] ~MISSING_COMMENTER_INFO~: sf6 need vega and sagat
[3163.379] (S)~MISSING_COMMENTER_INFO~: ollla
[3176.824] (S)syouyuireppa: ウメちゃんの言ってる橋本環奈のやつはトクメイじゃね？
[3178.270] (S)~MISSING_COMMENTER_INFO~: vega and feilong
[3211.749] (S)じゅーくぼーい: てかウメちゃんのドラマが観たいわ。誰かが代役やって
[3232.555] zigkky: うめさんレジェンド一位になって欲しいっす応援してます
[3251.564] v_harumi_v: 僕らは奇跡でできている っていうドラマも面白かった。高橋一生さんが主演されてるやつ。
[3253.742] fikat_0702: ウメ映画見たかったですねえ
[3255.775] (S)イエール: ちなみに金城一紀原作のフライダディフライの映画版でも岡田准一は出演しているでゲスよ
[3261.449] (S)monpiipop: ネトフリの「秘密の森」すきだな
[3267.097] のな: ウメちゃん今棒に戻したらレバレスより弱い？
[3270.223] (S)syouyuireppa: 警視庁の会計係になって財政難に対処する的なやつ
[3275.377] (S)ましゅダヨ: フライダディフライはまじでおもろい
[3278.865] battorong: 今沈黙の艦隊見てるけど死ぬほど面白い。
[3289.643] Jasminexxx2525: NCISが好きで本家よりLAが好きだけど、配信やってないかも
[3304.865] あふまん: なんで女の子にやさしく投げられただけで大ダメージが入るんですか？
[3317.453] (S)じゅーくぼーい: www
[3323.612] (S)ましゅダヨ: やさしく？？
[3333.784] (S)ましゅダヨ: 本当に優しくでしょーーーか！
[3346.573] jima5011: BGMは消した方がインパクト返しやすいとかありますか？
[3361.771] (S)イエール: 綾辻の十角館の実写化が微妙に怪しい
[3380.439] (S)ましゅダヨ: 狙いさだめてるなあー
[3394.621] (S)~MISSING_COMMENTER_INFO~: OD波動つええなあ
[3413.571] perfecttakahashi: ウメちゃんがBGM消さないのはオフと近い環境でやるため？
[3413.936] (S)ましゅダヨ: FPSだと足音聞くためにBGM消すもんね〜ありえる
[3419.373] v_harumi_v: 大会でも消せたりできるのかな？
[3431.777] (S)イエール: じゃんけん強者w
[3432.825] (S)ponponguripon: 最近みんな英語にしてるよね
[3437.186] gftakataka: BGM無しはさみしい 
[3440.775] uncledoon: じゃんけんのプロか？
[3445.455] (S)화랑잘해지고싶다: 大会の設定は変えられないんじゃないですか？
[3450.732] (S)ましゅダヨ: 今日はそゆ日か……
[3455.669] jima5011: じゃんけん小僧
[3462.818] mayo_030: メンタリスト
[3466.791] (S)じゅーくぼーい: 確かにキャラBGM良いの多い今作
[3482.472] (S)syouyuireppa: リュウのBGM返して
[3483.744] (S)ましゅダヨ: BGMある方が調子いいんだよなあ
[3493.637] battorong: アールの実況付ければインパクト返せる説なかったっけ
[3502.952] tomorock21: ネカリーノよんで！
[3511.875] (S)ponponguripon: あ
[3514.731] fikat_0702: ｗｗ
[3515.071] Armaeterna: 春麗戦で波動撃つのってどうなの？
[3525.264] (S)hoshi_boshi_0: スナイプ成功率たっかい
[3528.624] myaaaaaa123: これ本人だろ
[3528.755] v_harumi_v: なんかいいがある～
[3528.843] (S)ましゅダヨ: 名前変わってるwww
[3529.707] kabicha000: これ本人？
[3532.074] クラクラ777: ｗｗｗ
[3532.919] (S)イエール: ネカリーノはなんかいいがあるw
[3533.129] (S)monpiipop: お、リーノやん
[3543.477] nikkou18: これ本人なん？ｗ
[3545.935] (S)ましゅダヨ: 弟子にしろっていわなくなったねww
