[103.609] (S)~MISSING_COMMENTER_INFO~: ｵﾊﾖｵﾊﾖ
[103.628] yukitwitch14: ｵﾊﾖｵﾊﾖ
[103.938] rocomoco18: ｵﾊﾖきたー
[104.049] (S)aichikenmeen: ｵﾊﾖｵﾊﾖ
[104.515] きゅーべー: ｵﾊﾖｵﾊﾖ
[104.552] (S)辛麻婆豆腐: ｵﾊﾖｵﾊﾖ
[104.732] (S)udon_jack: ｵﾊﾖｵﾊﾖ
[104.973] ebifraaaaai: www
[105.159] (S)南瓜博士: オハヨオハヨ
[105.343] sugar_nuts5: おはよ
[105.459] (S)こんにちわとそん: ｵﾊﾖｵﾊﾖきちゃああああ
[105.492] (S)れぶりみ: ｵﾊﾖ ｵﾊﾖ
[105.520] yt9653: 助かる
[105.656] (S)でじたま: 本家きたああああああああ
[105.763] しおいも_: ｵﾊﾖ
[106.015] (S)おにぎりポン: ｵﾊﾖｵﾊﾖ
[106.228] (S)べーまる: ｵﾊﾖｵﾊﾖ
[106.436] tatisjrfan23: おはよ、おはよ
[106.459] eightstead: ｵﾊﾖｵﾊﾖ
[106.673] ぶたどん123: 本家
[107.658] (S)banndana5115: ｵﾊﾖｵﾊﾖ
[107.665] しふぁん: ｵﾊﾖｵﾊﾖ
[107.809] mmmarichan: おはよーーーー
[107.879] (S)蛙田いぶき: ｵﾊﾖｵﾊﾖ
[108.265] nana43: 本物だあああああああああああ
[108.364] kintakun02: オハヨオハヨ
[108.779] (S)そると111: おはよ
[109.043] 甘酒014: www
[109.086] shin0225sw: きたあ！
[109.640] (S)のるんくん: ファンちゃんｵﾊﾖｵﾊﾖ
[110.407] (S)おしる皇: オハヨオハヨ
[110.460] (S)ゆうたくん: ｵﾊﾖｵﾊﾖ
[110.666] (S)しばきとんこつ: しばきとんこつ subscribed at Tier 1. They've subscribed for 9 months! 
[110.771] イーダコ: オハヨオハヨ
[111.364] (S)tanu_bougore800: 本家きたー！
[111.371] (S)ちゃぃちゃぃ: ｵﾊﾖｵﾊﾖ
[111.372] terasu25: ｵﾊﾖｵﾊﾖ
[111.893] (S)こんにちわとそん: 本家きちゃあああああ
[112.010] (S)けたた: キター！
[112.875] (S)rinko626: 王はよ！
[112.886] nisebakasan: オハヨオハヨ
[112.896] ノキ3: オハヨオハヨだらけで草
[112.924] (S)あきにい: ｵﾊﾖ
[113.054] kawasaki315: ボス！おはよおはよ
[113.137] (S)そら_空: ｵﾊﾖｵﾊﾖ
[113.140] (S)ぴはやん: きちゃああああ
[113.610] (S)bonehead51: 本家助かる
[114.699] (S)八咫烏: ｵﾊﾖｵﾊﾖ
[114.973] (S)tororo_k: ファンちゃんｵﾊﾖｵﾊﾖ
[115.202] (S)でぇき2733: ストグラジオからのストグラ
[115.230] (S)alohapon: ｵﾊﾖｵﾊﾖ
[115.262] (S)ひし形メロン: ｵﾊﾖｵﾊﾖ
[115.601] (S)_えるー: オハヨオハヨ
[115.649] tatisjrfan23: きたー
[115.832] midutax: wwwwww
[115.857] (S)れぶりみ: 大丈夫化Ｗ
[115.860] (S)きゅむぉ: ｗｗｗｗ
[115.871] jmgtpddds: おはよおはよ
[115.923] (S)aruma01: aruma01 subscribed with Prime. They've subscribed for 8 months! 
[116.197] (S)アジ7864: オハヨオハヨ
[116.349] yukito127: wwwwwwww
[117.034] yadon1320: ｵﾊﾖｵﾊﾖ
[117.205] (S)apron_u: ｗｗｗｗ
[117.421] rocomoco18: 声w
[117.623] minmin5557: wwww
[118.269] 天之川彦星: ガサガサ
[118.277] (S)あきにい: wwwwww
[118.418] (S)goripon_0727: なぜここ？
[118.443] madowakusan: wwwwwwwww
[118.832] (S)bonehead51: wwwwww
[118.941] kittakku222: ｗｗｗｗｗｗｗｗ
[119.371] トーカ20: 公式
[119.587] yk_999: www
[119.694] (S)先カンブリア時代人: fantas22Muscle
[119.757] bachelorkiss: 本物だｧｧｧｧ
[119.800] owner30goo: ｵﾊﾖｵﾊﾖ
[119.822] (S)4tsu_03: wwwwww
