[90.592] yyyuuna: あ
[90.674] ほっしゃ: へった
[90.811] namonakix: はんじょうの配信見てたらバトラ出てきて草！
[90.842] (S)魑魑魑魑: 俺らのための配信は無しで加藤が絡むとつけます、と
[90.898] あんソロ: リーク界隈
[91.030] (S)soralira: 今日仕事辞めるか 
[91.198] shoot3r_1: あーあ
[91.411] runrunxan: へった
[91.452] ll_cc_002: あ
[91.609] (S)yoshiyoshiunko: batoraSudachikunAnimation
[91.743] MrsGreenNipple: ファッション🍐ださいからやめなー？
[92.071] (S)pon_pon_bomb_: マップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せマップ隠せ
[92.113] ちくわぶさんたろう: w
[92.310] military555555: あ
[92.522] (S)richard_starrky: すだちくん出せよ
[92.540] lokinlokinlokin: あーあ
[92.761] (S)見るやつ: 謝るな
[92.901] (S)wo_nderland: へった
[93.399] toshi365: うれしょんをみにきました
[93.603] (S)はんぺん太郎: ぴょんぴょんぴょん
[94.115] yayayakn: あーあ
[94.325] nezar777777: お前だけは許さない
[94.339] groovy_gozila: へった
[94.372] (S)frorida_22: 寝ようとした瞬間配信すんのやめろ 
[94.373] (B)バトラ: tegahurueru
[94.585] つくもや: DV？
[94.613] ドーピングさかな: あ
[94.747] やめろお前: へった
[94.842] ustreamer_668: ゴースティングしていいですか？
[94.863] (S)minatoyssy: あ
[94.886] oeoupro: へった
[94.895] (S)村紗あざらし: 敬語使っててわろた
[94.960] ごまつゆ: あーあ
[95.036] tenks0611: へった
[95.186] shinki101: 嬉ション
[95.637] (S)sai11000: yoshimiClap
[95.941] (S)harumakiudon: へった
[96.002] (S)richard_starrky: batoraSudachikunAnimation
[96.085] avaranti: 緊張するな
[96.240] (S)歌い踊り舞う私はマララ: あーあ
[96.652] pauljohnson1118: ヴァロやめてね 
[96.775] yfyhudguxtggssy: ごめんなさいやめろ
[96.777] カフ力: 活躍しないとまずい
[96.857] ぬえぼ: あーあ
[97.043] ikanosashimiiiii: 下手くそは来んな
[97.249] パパイレ: 賭けさせてくれい
[97.602] あんソロ: 豆腐
[97.604] ひぽ_: ｸｶｶｶ
[98.282] アルミサエル: クビ
[98.443] エクレシア: これは失格
[98.450] (S)823aaa: batoraValo
[98.900] ~MISSING_COMMENTER_INFO~: マップ隠せマップ隠せ
[98.972] (S)lsugizo: batoraSudachikunAnimation
[99.046] shoot3r_1: やめちまえへたくそげーむ！
