[470.345] もちももちともち: 両者のびのびやって欲しいよな
[470.685] artemis_ais: 金曜日じゃない？
[474.333] hunbaa13: 連戦グロい
[476.011] ssssssssszx: 金曜日
[476.072] (S)arumon_JP: 1人だけ入れないとかなるとvorzインになる？
[476.902] ぶどう糖液糖: 金曜やね
[478.350] kazuho04: 連戦はダルい
[478.536] kqreh: OhMyDog
[478.723] manimani0418: 明後日ムラゲ戦やね
[478.782] (S)令和のペレ: 明後日ムラゲww
[478.965] arcetto1116: 連戦w
[481.431] kaha3s: ムラゲクソ弱くていいや
[482.853] friedexx: 次が14
[483.139] octtako86: 金曜
[483.841] r_eyna0824: かわいそう
[484.254] marumaruuuuuu: ある
[485.664] aqutan_sukikamo: 今日のムラゲ見た感じ余裕で勝てると思いましたか？？？
[485.700] ぶどう糖液糖: ムラゲ戦は金曜
[488.082] rion222222: あるよ
[488.338] spinet12345: 次１４
[489.437] lkjhgfdsa24: ムラゲは１４
[489.652] kqreh: 明後日なんやムラゲ
[492.697] 184_________: 連戦になったら流石にｇｍ
[493.664] しばこう: ムラげは金曜日やな
[495.041] artemis_ais: 明日あっても連戦にはならないよ
[498.131] kenkoukun1: 今どんな状況？
[498.287] arcetto1116: 流石にね
[498.420] yumepiriri: お前の配信がクライアントエラーの原因か？
[500.469] sakaki1102: 連戦はgm
[500.710] (S)banzam_jp: 絶対ないよ()
[501.679] glicoxxx: 明日になったらszが連戦じゃね
[503.897] のーたいむ: 今日無理そう？
[506.685] khsgzjsv: モンキーターンなら熱い
[508.467] aaaapplee: リドル勝ち続けてるの？
[509.646] rion222222: 連戦は流石にないと思う
[510.318] tengu_114514: もうボドカとSCARZのオーナーでPKしようや
[510.712] orkupez: トーナメントじゃないしね
[516.637] ssssssssszx: なるほど
[517.834] gtyan89: リドルは金曜日
[521.505] frasy79: 来週とかなりそう
[525.305] kqreh: 元々スケジュールきつきつやしなー
[526.894] じょける: https://x.com/valesportscl_jp/status/1789973939852292307
[529.360] ssssssssszx: はや
[529.482] sas4m_: https://x.com/valesportscl_jp/status/1789973939852292307
[529.655] 184_________: 意地でも今日やることになるのか？
[530.788] arcetto1116: はっや
[531.220] しばこう: はっや
[531.898] takuto135: はや
[532.035] ゆううううき: なんでリドルはクライアントエラー多いの？
[532.543] zen7lk: はっや
[532.711] mashasi1015: はっや
[533.054] kaha3s: はや
[533.792] しゅーまいまい: はっや
[534.223] グラル87: はっや
[535.747] maru__2127: はっや
[536.469] blaotnkzz: はやすぎ
[536.811] maruya1119: 流石に可哀想だからないやろな
[537.027] jagaimo468: はやすぎ
[537.825] kqreh: はや
[538.089] m_nao0419: はっや
[538.877] ar1es_893: はやこわ
[541.036] takuto135: 待機してたろ
[544.124] ssssssssszx: 見して
[549.174] Mainyu55: SIXPAD４
[550.545] しばこう: コピー待機してただろ
[556.976] senninhaaaaaaaa: 今日はウォちぱなしか
[564.349] ぶどう糖液糖: どっちにしてもきついな
[564.404] pokepokepopopo: どうなんやろな
[565.027] riiin2525: 1番ケツの方にまわすか
[565.413] takuto135: ひええ
[568.817] kaha3s: 連日予定だからどっかがやばい
[571.109] 184_________: 今日遅くなったらSZが可哀想だな
[573.809] 辛めのジョニィ: 連戦かもな
[573.845] hal_1ch: 大会クライアントじゃないと無理か
[578.510] artemis_ais: 元々FLとか連戦だから気にしてない気がする
[580.534] kqreh: 今日で直るとも限らない？
[580.640] tkr052309: 今日やらないとまずい
[581.126] spinet12345: いっそ最終日でいいんじゃね
[581.916] ただ感謝を: 大変やな
[582.490] bacoyashi: どっちも勝ちです良いよ
[583.764] ssssssssszx: 見してえ
[590.042] takuto135: リドルなら連戦でも負けることはないだろうけど
[590.322] angry_hungry19: 勘弁してくれぇ
[590.340] ばべるちゃ: 明日に治るんだったら今日やるでしょ
[593.570] しばこう: ムラゲ的には嬉しいよぉ
[594.753] hexadinnn: 一試合だけの日作ってもらうしかないな
[596.708] marrymerrymary0203: もともと連戦してたチームあるくね
[604.537] inalet007: SZとRIDが同時の日がないから公平にはできないな
[605.530] hamumelon43: 対策する時間も減るし
[607.780] r_kanaa: SZも落ちてるんじゃないの
[610.185] rion222222: FLとか普通に連戦だぞ
[611.898] 赤巻紙青巻紙黄ワキガキ: 明日の朝9時にやろう
[614.164] puion_: 日程増やすとかは無理やろなあ
[615.175] glicoxxx: 選手達かわいそうだ
[616.060] のーたいむ: なんでMRGとVLのはいけたのに
[617.949] a8mahman: このバグは一体なんなのか
[618.748] ggotsu: ふぁっきんクソアカウント
[619.252] nondelimaru: 予備日とかないんか
[620.007] 007_221b: ゲーマーは余裕よ
[620.326] uooo4080: 平日昼の時点でふざけてるぞ
