[6220.640] lililllln: ｗｗｗ
[6221.696] yessi_1111: wwwwwww
[6221.943] (S)manji5616: www
[6222.631] (S)akahige9280: ええてw
[6224.426] (S)かなるな: それは無理か
[6226.559] うみねこ01: 何してんのw
[6227.021] lililllln: りおんが悪いよなｗｗ
[6227.540] zakiyoka: 無念ww
[6231.709] (S)manji5616: ふるなよw
[6232.358] デクです: やりおった！
[6233.562] ginjan0724: wwwwww
[6237.248] さくぅ_: BibleThump
[6242.035] (S)かなるな: tonaka2Wwwwww
[6243.267] lililllln: おもろｗｗｗｗｗｗ
[6253.124] chromrem: wwwwwww
[6262.568] satou_ta: くるしい……くるしい……
[6267.228] lililllln: あそこは無理なんやなありがとうなｗ
[6275.524] (S)じぇにん: https://clips.twitch.tv/PrettyDrabDiscMikeHogu-lB-7XwEX1_n9kHp0
[6376.809] (S)akahige9280: tonaka2Kuuuuuun
[6401.421] lililllln: ｗｗｗｗｗｗ
[6401.637] (S)akahige9280: www
[6411.341] lililllln: なんでなんｗｗ
[6411.532] (S)akahige9280: タイミング 
[6435.488] (S)かなるな: 直やな 
[6458.906] lililllln: 絶叫パーティー
[6523.500] lililllln: いったらんかいやったらんかい
[6544.393] zakiyoka: ないす
[6549.447] (S)akahige9280: な、れたw
[6550.354] cocomaaru: wwww
[6551.419] lililllln: www
[6560.364] (S)かなるな: 停止する直前？笑
[6583.500] ミロスティック: 変な声出たw
[6623.378] lililllln: www
[6629.057] (S)akahige9280: www
[6858.429] (S)akahige9280: ないすー
[7071.630] lililllln: ナイスエース〜！
[7074.833] (S)akahige9280: ナイスACE
[7158.508] ミロスティック: でてきたあ
[7160.409] (S)akahige9280: www
[7204.187] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[7224.061] ミロスティック: おおおお
[7227.284] satou_ta: うますぎぃ
[7227.609] (S)かなるな: つよー
[7229.263] (S)akahige9280: うおおおおお
[7236.161] さくぅ_: おおお
[7240.930] (S)akahige9280: tonaka2Nice2
[7294.984] satou_ta: ないすー
[7312.568] (S)akahige9280: これには相手もびっくりやろうな
[7347.493] tattu_kun: あぶなｗ
[7347.573] satou_ta: あっぶね
[7359.084] (S)akahige9280: www
[7409.613] (S)akahige9280: www
[7411.561] satou_ta: wwwwwwwww
[7416.688] ミロスティック: けんき隔離されたwww
[7429.658] (S)akahige9280: ナイスー
[7518.822] (S)akahige9280: tonaka2Nice2
[7601.965] lililllln: あぎゃーwww
[7607.948] (S)akahige9280: www
[7712.958] lililllln: www
[7718.486] (S)akahige9280: おしかった
[7724.165] lililllln: ntnt
[7733.259] (S)かなるな: おもろいヴァロや
[7792.391] りょぴちぶ: へんでぃーさんのナイフ何か教えてください！
[7924.210] (S)akahige9280: 近接武器はフォーチュンズセプターらしいです
[7939.299] lililllln: あ
[7952.644] (S)akahige9280: ポコポコだw
[7958.087] lililllln: え〜ggです
[7972.856] vovovod: 最初に誰か落ちたなあw
[7991.290] Juicewisdom: axeumBlush
[7996.173] lililllln: おもろすぎたな
[8010.719] lililllln: このマップの危険さはわかった
[8011.166] ゲームマニア: 落ちたやつおったなぁｗ
[8021.781] (S)akahige9280: このマップで最初に落ちたのはヘンディー？
[8044.294] lililllln: みんなこた♡
[8054.257] (S)akahige9280: 大人気やん
[8117.977] lililllln: お
[8151.027] lililllln: 🍢
[8176.207] lililllln: みんな脳みそ一緒ｗｗｗ
[8190.674] (S)akahige9280: www
[8258.779] (S)akahige9280: www
[8277.516] デクです: やってることエグいw
[8298.658] (S)akahige9280: tonaka2Wwwwww
[8447.966] lililllln: 終わってる戦いｗｗ
[8526.954] lililllln: 近接ブンブンおじさん
[8540.213] pwgkpmtjwm: あきらめたw
[8549.672] (S)はおちゃ: 近接ｗｗｗ
[8562.070] (S)akahige9280: www
[8574.265] lililllln: 誰とも近接バトルできず
[8615.132] (S)akahige9280: おつかれさまでした
[8665.285] lililllln: え…
[8672.906] lililllln: 不利な記事ｗｗ
[8677.729] lililllln: あっ…
[8698.121] lililllln: BibleThump
[8725.076] lililllln: あ
[8727.436] (S)akahige9280: www
[8735.520] lililllln: えっ/////
[8742.655] (S)かなるな: (*ﾉωﾉ)ﾎﾟｯ
[8750.291] (S)akahige9280: 水風呂に四つん這いで入るヘンディー
[8809.444] (S)かなるな: おしりぷかーせんと
[8810.481] (S)himono0524: 髪の毛痛むしな
[8819.158] lililllln: www
[8828.280] (S)akahige9280: さっき誘ってたのにw
[8831.704] (S)かなるな: 誘われたら行くぐらいよな
[8848.092] (S)akahige9280: tonaka2Wwwwww
[8849.368] lililllln: はやwww
[8871.090] pwgkpmtjwm: ハゲ隠しか
[8872.559] (S)かなるな: 髪の毛用や
[8887.926] (S)かなるな: でもはげるんよな
[8921.753] lililllln: は、げ
[8929.147] (S)かなるな: 育毛しないと
[8942.109] kabukisanteam: けんきがいたら必ず髪の毛の話するのやめろw
[8944.212] pwgkpmtjwm: けんきりおんヘンディーはネタじゃないw
[8944.620] lililllln: 気まずいって
[8958.715] (S)かなるな: 釈迦ワンでも語ってたな
[8995.457] kabukisanteam: いうて刺青も整形みたいなもんやろ
[8995.892] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[8995.977] lililllln: 近づいてきたｗ
[9040.827] (S)かなるな: やってみなわからんって
[9059.430] kabukisanteam: へんでぃーは髪染めてるからやろ
[9065.130] (S)かなるな: 薬飲むと不能になる可能性あるって
[9075.310] さくぅ_: 女性化するってこと？
[9081.816] (S)akahige9280: 男性ホルモンを抑制してるからやで
[9096.285] kabukisanteam: ホルモンを抑えるからたちにくくなる人がいる
[9102.012] (S)かなるな: 男性ホルモン強いと脱毛するんか
[9134.425] (S)かなるな: これ以上行きたくなかったらAGAなんや
[9140.802] デクです: カーレースの時といいおもろい
[9144.662] 0ni5ri: うるーか暇してるw
[9147.253] (S)かなるな: ぼとども言うてた
[9156.657] lililllln: うるーか関係ない顔してるな
[9168.792] (S)かなるな: おでこ広いから
[9183.605] lililllln: 植え付けよう
[9185.530] (S)はおちゃ: うるーか暇そうやw
