[224.198] 5555454n: 遅刻ｗｗｗｗ
[224.200] yukidaruma_: あっ
[224.237] zako1919: 配信を休んでた理由を言え
[224.783] kinpren: RAGEの話聞けるのか
[225.199] fqss0ztB: でもウメちゃん作画いい
[225.515] ~MISSING_COMMENTER_INFO~: ドトール…
[225.721] ~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗｗｗｗ
[225.772] rtmt: Rageより前あるべ
[226.151] mamamama3: はやく走ろ？
[227.090] bobumakihara1212: あっ
[227.149] entrony: ｗ
[227.149] kakiseed: ウメちゃん痩せた？
[227.228] yamame: www
[227.536] Undori: OpieOP
[227.694] kyorory: 遅刻レイジｗｗｗｗｗｗｗｗｗｗｗ
[227.730] AtomPeter: 時系列TV?
[228.229] tuiteru: レイジ？
[228.497] umeguile: あ…
[228.794] toshioj: ウメちゃん髪の毛ふわふわしてそう
[228.967] shin4567890: ネガティブなのは 最初にかたづける
[229.100] rt340: あ・・・
[230.026] banana0520: やめろっっ！
[230.229] kazumikun: 二人ともお疲れ様でした
[230.351] yakiniku96: 兄弟w
[230.547] suwatei: 遅刻したの？
[230.668] oinari5: 遅刻ワケアリらしいよ
[230.686] TUBE_MAN: 遅刻
[231.310] ぐぐっす: あっ
[231.316] Planetrollcall: wwwwwww
[231.406] olfact4989: wwww
[231.445] Pipicoms: 受け付け失敗
[231.482] 鷹爪三角脚: 本人からねｗ
[231.720] domontyan: いきなり荒れるぞ
[231.888] 稲川淳子: 俺？
[232.007] kyouou: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[232.083] げろげろまる: 遅刻失格
[232.372] kinpren: ドトール許せねー
[232.425] lookeezy: is this topanga 
[232.599] leere1017: ｗｗｗ
[232.832] rias9121: 喫茶店ハメ
[233.430] bene1201: 遅刻の真相
[233.553] sarah_0519: …
[233.712] zako2ako: ドトール事件いく？
[233.756] shin4567890: 時系列だからね うめちゃんから
[233.904] ﾃﾄﾗﾝ: あれは時間の聞き方が悪かったの？
[233.942] hannibal097: ０回戦
[234.832] japanese_soldier: ハラキリ
[234.895] refrain87: didnt daigo get DQ
[235.307] hkfj0: RAGE運営最低だな
[235.754] stainless304: デ、デブじゃないよ…（震え声）
[236.258] okamasa456: 0回戦負け
[236.796] TUBE_MAN: ドトール
[237.003] (S)Daigororo: umeSnooze
[237.561] nanasi12: ウメはレイジで”負けなかった”
[237.686] refrain87: for shopwing p late
[239.305] junya0430: ばかたれ
[239.485] ぐぐっす: わからん殺し
[239.496] domontyan: ・・・・・・
[240.192] BonGouki: 受付失敗ｗｗｗ
[240.325] kakiseed: 0回戦敗退
[240.395] kazehiki: 事件
[240.461] sarah_0519: ウメちゃん…
[240.500] koma2007: ほんま大失態やったからな
[240.780] tuiteru: 時系列ＴＶ
[241.697] crusade893: 0回戦敗退ｗｗｗｗ
[242.310] (S)Daigororo: umeZen
[242.634] gameadaada: またかぁ
[242.820] rias9121: インタビュー ハメたろ
[242.881] toshioj: あっ
[242.892] 鷹爪三角脚: え
[242.898] zako1919: 配信を休んでた理由を言え！
[243.012] nacciman: ふーど勝ちたがりの前に話してええのか笑
[243.084] Planetrollcall: ・・・・
[243.091] mk_n: 大会の話、いろいろ聞きたい
[243.638] makurag: へー
[243.749] scottie_ver03: ドトールで遊ぶからな
[245.284] Leonhard598: 遅刻なんだよなぁ...
[245.434] asakura3dayo: ０回戦敗退
[245.807] kakiseed: うっそだぁ
[246.183] leere1017: 人生初
[246.387] (S)cafe_gondo: あー
[246.666] zweihandor: ｗｗｗ
[247.831] kyouou: え？
[248.555] ohigara: ばかたれ！
[248.654] fapfapjpn: 4Head
[249.131] crispymkmk: ｗｗ
[249.180] rtmt: 出れないｗ
[249.373] yukaring: ww
[249.395] gmmcom: 出禁？
[249.539] ~MISSING_COMMENTER_INFO~: ４位おめでとう
[250.190] tiger_x_chicken: 甘やかされてきたんだな
[250.399] sarah_0519: 初？
[250.637] 99sapp: 0回戦敗退
[250.912] すぐるん: 誰にも負けなかったね
[251.637] げろげろまる: 居たのに出れない
[252.094] domontyan: ああ
[252.140] ~MISSING_COMMENTER_INFO~: あー
[252.407] irongear2: 0回戦敗退
[253.061] tuiteru: え
[253.446] suwatei: 俺はウメハラだぞ
[253.639] yamicuro: 体洗いすぎたか
[254.023] AtomPeter: 0回戦
[254.173] entrony: ばかたれ大吾
[254.210] (S)optedout731: 0回戦ハードル高い
[254.939] TUBE_MAN: 緩みすぎじゃない？
[255.280] Papapadad: 無敗
[256.431] umeguile: 言い訳するな
[256.446] japanese_soldier: どぐらの事笑えんなぁ
[257.039] crispymkmk: 人生初ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[257.456] kyouou: うそつけ
[258.078] zako1919: 配信を休んでた理由をまず言えや
[258.345] kinpren: ｗｗｗｗｗｗ
[258.348] typewild9: 喫茶店敗退
[258.493] yamame: wwwww
[258.646] lookeezy: LUL enjoying coffee
[258.761] kokemomomomo: この「俺」が
[259.443] koma2007: ウメさんほんま大反省しーよ
[259.498] mcmonjaa: ウメちゃん…
[259.915] hituji_: ドトール待機
[259.938] suwatei: ｗｗｗｗ
[260.049] ~MISSING_COMMENTER_INFO~: WHERE IS KURODA
[260.549] mamamama3: 初めて遅刻を認められなかった
[260.766] wgj123456: ２５年
[260.800] stainless304: ウメちゃん…どうして…
[260.806] rakio: ｗｗｗ
[260.900] 鷹爪三角脚: 体をあらいすぎた
[261.024] tuiteru: ｗｗｗｗ
[261.952] mochitap: ｗｗｗｗｗ
[262.247] relaw08: 草
[262.645] AtomPeter: 悲しみｗｗｗ
[262.811] black12345: たわけがっ
[263.326] leere1017: ｗｗｗｗｗｗｗｗ
[263.404] ﾃﾄﾗﾝ: 遅刻常習犯ではあるけど出られなかったのは初か
[263.688] bobumakihara1212: ウメちゃんの初めてがRAGE
[264.383] tyusonmn: とりあえずファンに謝ろ？
[265.458] beehive3: ウメちゃん・・・
[265.693] kyorory: まじでマネージャー雇おうよ
[265.779] 鷹爪三角脚: ２５年ｗ
[266.844] hannibal097: ｗｗｗｗｗｗｗ
[266.858] ぷっち: 25年目の奇跡
[267.029] junya0430: 笑えないだろｗ
[267.244] shopynis: 運営も運営だろ
[267.609] okamasa456: 初0回戦負け
[267.760] gorori56: wwww
[267.955] chikotsu: www
[268.213] fqss0ztB: 出れませんでした（キレ気味
[268.726] mizuhiro1224: 面白い初体験したね
[270.281] scottie_ver03: 11歳かよｗｗｗ
[271.038] checker_od: LOL
[271.050] Korotyan: 0回戦敗退
[271.453] gudeusagi: ほんとにぃ〜〜？w
[272.269] domontyan: あの強豪の中でウメさんが活躍する姿みたかったよ
[272.344] umeguile: ウメちゃん…どうして…
[273.270] yakiniku96: がまがなんかイキてったけどなんか特別な理由あったの？
[273.949] suwatei: 板じゃん
[274.044] rias9121: 敗因は喫茶店
[274.539] sakkuaku: www
[274.578] ecoco555: 今まで特別扱いされてたんだろうな
[275.088] irongear2: マネはいるぞ
[275.868] takashi315: RAGE
[276.012] kinpren: ｗｗｗｗｗｗｗｗ
[276.132] Papapadad: ｗｗｗｗ
[276.534] pizza_: ww
[276.615] fliege1515: wwwwwwwww
[277.298] mamamama3: ｗｗｗ
[277.434] AtomPeter: ｗｗｗ
[277.814] crusade893: ｗｗｗｗｗｗｗｗ
[277.888] 鷹爪三角脚: いて出れないは悲しいな
[278.006] kakiseed: ｗｗｗｗｗｗｗｗｗｗｗ
[278.274] namakura13: wwwwwwwwwwwww
[278.494] suwatei: ｗｗｗｗｗｗｗｗ
[278.548] crispymkmk: ｗｗｗｗｗｗｗｗｗｗｗ
[278.617] rakio: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[278.685] chikotsu: BibleThump
[279.012] kinpren: せやな
[279.142] ﾃﾄﾗﾝ: マネージャーはいるよ
[279.156] sugarsato_: ｗｗｗｗｗｗｗｗ
[279.190] sarah_0519: ウメちゃん…
[279.319] ガガガイギー: ｗｗｗｗｗ
[279.369] めたも: www
[279.388] iicocode: ｗｗｗｗｗｗｗｗｗｗｗｗ
