[21.423] m_k_style: umeSalute
[1814.925] tankbba146: ウメちゃんモダンの経験はないからなぁ
[1814.987] (S)moppu_gake: おれは半年もやってこんななのに、、、
[1816.672] 4444446666: ３か月なんてものすごく短いと思うけどな
[1817.722] 000105: フレームとかシステム優先順位とかまだまだあるぜ〜
[1821.309] tabibitox: モダンはルークとか春みたいにMR上位にいないキャラだと情報少なそう
[1826.639] d_1098: 3ヶ月で1700行けてる時点ですげえぞ
[1831.615] ミジンコ隊長: ハイタニせんせーい
[1832.494] クラクラ777: たしかに
[1833.125] potocki1810: なるほどー
[1833.640] uroitann: Mの上の人のリプレイ観てるな
[1835.386] ミスターポポ: ほー
[1835.561] tsubomaru: センス凄いなこの人
[1836.207] mart_00_: ハイタニぐらい？
[1836.831] v_harumi_v: 言われてみれば！
[1839.848] かぁわむら: 2000以上とかかなり少ないような
[1841.014] (S)ponponguripon: 自分がお手本に…
[1841.783] 5don: 先生いないと 不安よね
[1849.910] osarusan26: モダンの一番のデメリットはお手本がないことってのは初期の段階でマゴさんとかが指摘してましたね
[1850.457] 箸くれ: ハイタニ先生ーーー！！！
[1851.559] 千葉県おっさん: ほー
[1859.554] ミスターポポ: 伸びしろが最初から満たせちゃうんだよねモダンは
[1883.224] 箸くれ: きっといろんなゲームうまい人なんだろねえ
