[3339.583] dosukoiyahhoi: めっちゃかっこいい…
[3341.280] mart_00_: なるおつーよい
[3346.315] 吉田じんぎ: コマ投げ後初段は補正なしだっけ？
[3349.117] The_Loewenator: Raw command grab into ca does massive damage lol
[3356.818] (S)kakutora_no_o: やっぱ売れた男は違った
[3362.441] esutark: 来年の魚群なるおくるか
[3381.138] 斉藤さん: かっけえし減るなぁ
[3383.731] (S)sugi_tree3: 5400位減る
[3384.444] The_Loewenator: I love landing it as a jamie main myself
[3400.221] つきよ2223: これだけやってるウメちゃんが、まだまだわからん事がある スト6ってスゲーや！！！
[3529.964] (S)Petergunns: Petergunns subscribed with Prime. 
[3558.766] bec118_japan: 落としたー
[3604.954] tabibitox: 小P多いな
[3633.920] gomesu: ウメハラ現象についてなのですが、平日の仕事帰りとかだと帰って、これもあれもやろうって惰性でやれてしまうんだけど、休日になるとベッドから起きるのもめんどくさくなる、みたいなものに近いのかな？って思いましたが、どうですかね？
[3661.074] (S)vaio_95: もっけ再び
[3663.621] une3333: もっけっけ
[3668.325] mimiprettybot: 史上
[3688.911] つきよ2223: 何もしたくない日、あるよなー
[3692.589] esutark: もけの逆襲
[3704.782] るーるい: そういう日は誰にでもあるから仕方🍆
[3707.699] つきよ2223: もけリベンジ
[3743.230] (S)イエール: もけなー
[3743.386] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[3744.849] (S)のぶとも: あれの名前がひとまずウメハラ現象で落ち着いてるところがジワジワくる
[3756.943] (S)kakutora_no_o: もけあそびきとる
