[871.544] We_are_in_rock: ウメを解き放て！
[871.673] (S)たけおか: 虹色らーめん強し
[872.295] nikku2929: キチパ～
[872.326] csfiyingv: w
[876.036] Imaise: 虹色は神だから
[876.056] sagecomand: ガイルでやろ
[878.529] fine287: 大会はじまるんかこれ
[878.724] burisuke: ガイルでいいよｗ
[878.728] Ceciltaisa: 小野聞いてるか
[883.171] Binbo_chama: これからも自由にやってください
[887.245] rin_p15: リュウか龍かどっちだよ
[895.348] Ryugui: 是空さん
[896.121] tw_numa: ずっと野試合だな
[896.441] juukinrou: 波動拳が弱いのが問題
[896.974] gororimk2: 是空さんでもええんやで
[899.997] obo_006: ｗｗｗ
[901.484] kahaku91: アールさんボコる？
[902.206] toshioj: 飛んで降りて龍
[904.758] sstrfd: ときど
[904.897] Pichantonn: タカシ
[904.912] mejiro_: ｗｗｗｗ
[906.879] lutz001: 是空はリュウきついし
[908.348] domontyan: 強いウメちゃん見たいからガイルでいいっす
[909.131] tw_numa: 飛んで降りてアール
[910.178] sasasf5: 美しい肌時
[910.978] Imaise: 飛んで降りて美しい
[912.000] rin_p15: 飛んで滑って龍
[915.057] iisnotgat18dk: アール是空対ウメリュウやって
[915.064] rt340: ウメ龍やるか？
[918.677] crnanashi: アールｖｓウメハラやってほしい
[927.102] (S)体調不良は背中をほぐせ: やっと登録できた
[928.344] bakedonion: 龍ちゃんの美的センス…
[931.887] 超アンディー: 「ズレた美学」アール氏
[933.610] juukinrou: 開始前から時間押してるってマジ？
[935.644] julien_tf: greetings from America 
[936.010] emrld_s: リュウはどう使うべきなのかさっぱりわからん
[953.007] scottiever06: 是空さんとウメリュウか！？
[954.494] burisuke: アール対ウメハラええな
[957.015] owa_yellow: 楽しそうに対戦してる
[957.318] (S)ohnumakunio: 是空対ウメハラリュウ
[961.245] みずさわ: 是空は変身面白いけど立ち回りがわからん
[962.454] yanai0213: どこまで進みました？
[963.046] kawa__3: 顔ずっと出してんのかよ
[967.412] akiaki0612: 始まるまでワイプと会場画面と逆でいいよ
[968.058] curryricemaster: wwwww
[969.937] sasasf5: 信念を貫き通している
[972.012] (S)イガ: アールさんVSウメちゃんいいね
[978.909] akiaki0612: 裸キャミィめｗ
[981.927] Kanquez05: 間違いない
[983.144] 超アンディー: 服装もズレてるまである
[987.623] spring__thief: くっさいな
[988.098] canon_203: 自己認識は大事
[988.342] bakedonion: 美学どころじゃなかったー
[992.018] askinWW: no english?
[995.443] (S)rx393: 裸キャミィはやめてあげてｗ
[996.312] user0511: ゲーム来てないよ
[997.771] tkbbq: itazan get a haircut?
[998.733] rin_p15: リュウvs龍頼むわ
[1000.111] tw_numa: アールさんは仕事してるの
[1000.391] zyagamon: うつってませーん
[1001.908] canon_203: キチパたのしそう
[1005.782] (S)たけおか: 虹色らーめん助けて
[1005.916] (S)体調不良は背中をほぐせ: やってたの？
[1007.547] sasasf5: ウメリュウだああああ
[1008.004] jtopnbsd: アール有能
[1009.238] toshioj: ウメ龍配信でしょ
[1009.728] bacchuskou: メナトは要らない
[1010.233] lutz001: やってたのかｗ
[1011.155] (S)イガ: 希少度高い
[1012.085] burisuke: ウメちゃん絶対是空調べてないでしょ
[1013.417] crnanashi: やったあああああああああああ
[1014.925] garfunkel99: ウメハラ×アール の出会いってどこかで話したっけ？
[1015.206] Heracles_12: PogChamp
[1016.537] えぬ田: アールさんジョジョ愛語って
[1017.816] (S)もけたわけ: アールと戦おうぜ」」
[1020.279] kami4genjin: リュウは隣りにいる
[1021.728] fapfapjpn: PogChamp
[1022.427] (S)ma6_uv: さすがTwitch社員
[1022.858] nikku2929: ウメリュウ・・・絶滅したはずじゃ・・・
[1023.095] kumatedd: ケーキ食いてぇ
[1023.118] Imaise: おー
[1023.752] littlestory4: 糖質制限とは
[1023.915] 山田たろう太郎: アンドリューおめ
[1024.626] user0511: 折笠のアカウントかよｗ
[1025.218] julien_tf: I believe that was kichipamu
[1025.975] あんだんて456: 健治さん来て、配員初期のムーミン谷にトルメキアの戦艦が来た話、最高に笑ったの思い出した
[1026.648] (S)MadEggMania: へーって
[1030.644] Imaise: さすがアールさん
[1030.796] Heracles_12: ランクマか
[1030.875] tkbbq: o
[1031.052] Binbo_chama: サブスクライバーさん、アール是空VSウメリュウお願いしてくださいm(_ _)m
[1031.548] juukinrou: ゲージ隠し
[1032.053] toshioj: &龍
[1032.325] kumatedd: 上品な味しそう
[1033.677] emrld_s: 甘い物は程々に！
[1033.829] kagamin177: ハンサム折笠
[1035.533] tissuepaper857: 音がない
[1036.731] akiaki0612: さっそくディスｗ
[1037.949] obo_006: やってたんだランクマ
[1038.876] nikku2929: ガイルより足遅いの？？
[1039.745] makibisi8787: 折笠のIDじゃねーか
[1039.929] (S)ミスターポポ: 超林万須美さんですか？
[1040.248] bakedonion: あえて最強キャラを使わないランクマ
[1042.740] daichan1200: アンドリューおめでとー
[1047.048] taketake122: っぱうめちゃんはリュウやなあ、、
[1047.795] otogibanashi: ガイルも見たい
[1048.637] curryricemaster: 折笠ランクすげー上がってるw
[1050.640] (S)avmajvm: 足短いうえに遅いとかもう何のキャラだよ
[1055.786] (S)maruku0: アイヤー
[1057.988] Heracles_12: ウメリュウのランクマ 
[1061.590] crank_0: ふーど出るまでずっとランクマやるの？
[1064.226] (S)stopriverk: 折笠も2万
[1068.852] tw_numa: 相手折笠さんだと思ってるんだな…
[1076.057] (S)イガ: ウメちゃんはあえて最強キャラ使わないからな…
[1079.169] akiaki0612: ウメは豪気
[1080.466] monjyara25: めちゃくちゃ弱いリュウさんや
[1084.560] (S)体調不良は背中をほぐせ: 手が短い
[1085.880] zyagamon: ガイルの癖
[1085.986] tkbbq: LUL
[1086.561] ~MISSING_COMMENTER_INFO~: ID詐欺
[1088.185] mqdf1987: ウメちゃん
[1088.955] wash4: この折笠弱いね
[1091.236] 超アンディー: 不自然なまでにみじけーー不自然なまでに！
[1093.448] Toroman8888: 折笠とアールさんはどっちが強いの？
[1093.535] prisira: サマーなら。。。
[1094.155] kami4genjin: 相手も上手いね
[1094.717] (S)avmajvm: 手も短いかー
[1094.984] sephiraEX: 今回そんな弱いか？
[1096.566] donachan: 斬空強い昇竜よわい
[1096.570] (S)ミスターポポ: 折笠さんパっと見緊張してわちゃわちゃしがちなのに結果出してんのな
[1096.803] maldomancer: ela1
[1097.556] akiaki0612: ウメはゴウキ使おうと思わなかったの？
[1098.039] matuzawa826: 手足がもがれてるたかし
[1098.603] heishosann: 悲しい
[1098.723] myaaaaaa123: 折笠よっわ！！！！
[1105.321] cafe_gondo: 使うと手足の短さにびっくりする
[1107.178] higan1983: ハンサム折笠
[1110.915] zyagamon: 使ってる人多いし
[1115.078] gasgasga555: 主人公（）
[1115.262] rin_p15: 豪鬼のこのコスいいな
[1116.548] staygold0907: らぐってるっていい言葉
[1116.858] user0511: ラグそうだな
[1118.188] MAMEDEtuPOU: ウメ笠
[1123.079] (S)nukaduke91: ワープしてる
[1123.321] tw_numa: まさかウメリュウとはな
[1128.918] rt340: モルモットたかし
[1129.390] bakedonion: 負けてもすべてをハンサムのせいに…
[1132.512] (S)ミスターポポ: リュウだけセビ実装してゲージ4本にしよ
[1133.465] oleo0227: 足短いなあ
[1133.665] tereereteree: リュウ in 2018 
[1136.548] rin_p15: 豪鬼使われると処理落ちすることない？
[1139.203] tkbbq: dash up sweep 
[1144.502] prisira: VTまじ弱いなｗ
