[866.931] guest324438: そしてこれを片付けるのがごーしくん
[886.375] えいす7: 2p側座ってるのかまだ
[894.035] kskfarksk: いま来た、なるおまだ残ってる？！
[899.572] (S)雑食: 設営・撤去はほんま大変そうだ
[899.993] X_March_X: もけパンクか
[900.531] (S)ジョニー中本: ＥＷ！！
[901.358] guest324438: もけPUNKや
[901.412] (S)teitei0343: なるお敗退した
[901.990] (S)TNTNBRN: 散った
[906.522] (S)ジョニー中本: プロブもおる！！
[907.322] kskfarksk: まーじかありがとー！
[908.697] あすか002: もけパンク
[909.590] (S)MasudaTheMenace: 分かりやすくていいね
[909.860] ちゃんはら: ベンもいる
[911.854] johndoe6523rp: もけウメパンクえびはら良い勝負だったんだな
[914.439] 藤堂21: EWルーザーズか
[915.532] (S)nononono_uhoho: ベンも
[917.979] X_March_X: ＥＸ紅茶花伝くるか
[922.984] moppu_gake: イケメンいるなー
[924.143] hayato_twitch: VSナウマンで散った
[929.883] あすか002: もけ居るって事はウメちゃん落ちたのか
[931.559] 7qojisan: もう配信台エグいカードばっかか
[932.637] (S)ジョニー中本: お？
[933.034] (S)nononono_uhoho: あっつ
[934.786] (S)TNTNBRN: お
[935.915] えいす7: やべーな
[937.261] kskfarksk: ナウ最後か…見たかったぜ
[937.747] おかあさんいつも: ウィナーズいる人すごすぎる
[937.865] (S)teitei0343: お〜
[940.548] (S)10jqka: おお
[940.552] on_rin: ウメハラさんに勝ったんだもけさん
[944.587] yonayona04: もっけ頼む
[947.110] (S)lovepeace369: 熱いな！
[947.782] (S)sakippo_o: もうエッグいのしか残ってない
[949.899] ぴすたちーお: すげーカード
[954.770] にくピンク: なんだかんだつええやつは勝つんだね
[955.680] kskfarksk: 指サック
[955.875] ほねこっぷ: もけいけるかな
[958.346] johndoe6523rp: もけ2ー1ウメ
[959.664] (S)MasudaTheMenace: 紅茶花伝投げてほしいなあ
[960.369] shunin77: もけ史上最強のもけか？
[961.648] (S)goldexpepe: 違法ｗ
[964.568] camel0141: 紅茶花伝警戒
[965.533] (S)teitei0343: 指サック
[967.729] moppu_gake: ウメちゃん、、、
[972.329] おかあさんいつも: もけテッカテカ
[974.977] X_March_X: ＯＤ紅茶花伝
[976.646] yonayona04: もけもトーナメント強いな
[978.448] (S)ジョニー中本: この指サックはめてるレバレスＪＰのお姉さんいたけどすんごかった
[979.642] みはる_雨月: 今日はコーラだから大丈夫
[985.660] camel0141: 今年はコーラw
