[156.708] (S)takeru3614yu: マスターいけるやんw
[156.870] akueriasu0112: ならマスターは必須だね
[157.565] (S)hololence: マスター行くべ
[159.172] (S)siretoko6688: 全勝いこや
[159.827] sasarin000: めっちゃ楽しみ
[159.893] (S)あるぼい: どんどん減るやんｗ
[162.019] tookuyaa6: 3倍であれ
[162.047] akueriasu0112: ウメハラだろ
[162.627] (S)bubu_0830: 減らすなwwww
[163.989] (S)saesae321: やめとけー
[164.044] annnnna61: え？
[165.041] (S)08ryyyyy: うい
[166.877] (S)leonnkmr: ダイヤ行こう
[167.572] ろた_0417: ふぁんたに絶対勝て！！
[168.145] (S)琥太郎です: 言い過ぎたかw
[168.187] jgsakaey: いけないんかい
[169.057] karina081010: ww
[169.171] (S)きのころ: ｗｗｗｗｗ
[169.269] (S)hotatechang55: www
[170.035] (S)koikoi_Liquid: hiirag17Iq
[170.286] (S)konishi625: www
[170.487] (S)awaif: コチわくわく
[170.628] (S)もんぬサマー: 他の人のツイートで出たぞ
[170.694] (S)marui_ao: もう知っている
[170.856] (S)umami12: www
[171.128] (S)karu_064: りゅうきちさん？
[171.805] (S)misanga22: wwww
[171.876] (S)chishin99: むりだなｗ
[172.010] (S)raim_1223: D?
[172.095] (S)エメラルドスプラッシュ: 勝ちたい
[172.743] (S)z1gzagb: wwwwwwwww
[172.985] (S)na_na_na27: 応援してるよー！
[173.031] (S)るぁ__: www
[173.038] (S)ゆかぷー0413: こんばんは〜 
[173.205] (S)pnpn0: ｗｗｗｗ
[173.415] (S)mitametako: www
[173.571] (S)omarukun_96: ｗｗｗ
[174.403] (S)nekone12345: さすがにw
[174.630] (S)siomm_: wwww
[174.947] (S)きのころ: 流石にｗ
[175.653] karina081010: 慣れた方でねw
[175.669] (S)pariri622: しかたないw
[175.919] (S)08ryyyyy: それはそうw
[176.468] (S)kame2983: 冷静！！！
[176.696] hitu_non: www
[176.734] natsuk126: 流石にな
[176.927] (S)pojittt: あたおか
[177.040] (S)dogezachann: 絶対モダンのがいいｗｗ
[177.417] (S)motiizu: いけないかー
[177.966] (S)kingyo122: それはそう
[178.407] (S)marui_ao: いまではないかwww
[178.424] (S)todoman12: さすがにかw
[178.701] (S)z1gzagb: 流石にｗ
[178.708] (S)ゆずレモン3: それはそうw
[179.568] (S)the_goku_sf: そりゃそうだw
[179.570] (S)yupicha_yu: www
[179.814] (S)misanga22: さすがにね
[180.025] tairu167: それは無理
[180.834] (S)smfrontier: w
[182.423] (S)bubu_0830: 無理だったかwww
[182.936] (S)naanana__2: wwwww
[183.026] (S)sabohanin: さすがにね
[183.459] (S)琥太郎です: 確かにwしゃーなしwww
[183.585] (S)わしを抱かんかい: =͟͟͞( ᐕ)੭ GoGo‼️
[183.635] (S)umami12: 慣れてないとなw
[183.649] (S)giv_213: モダンケンか？？
[184.046] karina081010: そうねw
[184.112] (S)bite_m_: さすがにwwww
[184.136] (S)osusiikano: hiirag17Boss
[184.946] (S)tanakabayo: 勝ちのが優先や
[185.199] (S)min__109: それはそうw
[185.391] (S)ワタルさん: 勝つためのね
[186.012] (S)メガあめふらし: さすがにね
[187.897] (S)Haru_Hanami: それはそうw
[188.984] ~MISSING_COMMENTER_INFO~: お
[190.715] (S)soil_1234: さすがに
[190.729] tomoriichi: つるぎー！がんばれー！！
[193.090] (S)o0_0o45: いつ決まったの？
[193.871] (S)ゆずレモン3: いつから出ること知ってたの？w
[194.950] (S)kasteera: コーチの人もうツルギだって言ってたよww
[195.324] (S)pojittt: 出る対空も出んくなるからな
[195.529] (S)leonnkmr: 対空の強みが無くなるな
[196.624] tookuyaa6: コーチ誰か気になるな
[196.846] metamons2: DinoDance
[197.285] れもねーどです: 大会後か
[201.131] (S)nnshrk: 応援してるぞ！！
[201.565] darumaron29: これコーチだるまやろ
[203.088] (S)ReJoker1412: さすがにモダンか
[206.308] (S)しぐまままま: ふぁいとー！
[207.997] akueriasu0112: モダンケンってプロで使ってる人いないから誰がコーチだかわからんな
[208.569] 遅れてごめん: これはコーチあの人か！
[209.041] (S)yukimaru0609: コーチ ゲロってた
[210.321] (S)hayatekawayu: まじ！？
[211.526] (S)NinaEve2712: お
[211.623] (S)もんぬサマー: し、んじ
[211.739] metamons2: やめとけ 
[211.820] (S)08ryyyyy: お
[211.954] (S)umami12: ほーう
[212.021] akueriasu0112: ない
[212.091] (S)marui_ao: お願いしまーす
[212.298] (S)saesae321: だるやと思ってたけどこくか
[213.330] ~MISSING_COMMENTER_INFO~: Cのマーク捨てないで
[213.347] (S)ぷくてん: おお
[214.625] ろた_0417: うめちゃん、ときど、りゅうきち辺りだったらアツ
[215.085] (S)aixxx35: ええやんええやん
[215.678] (S)oiccc: コーチ自白してた
[215.991] (S)bite_m_: うおー
[216.081] nyarudosub: コーチからリークあったぞ
[216.670] (S)tetoteto_3: お
[216.884] (S)siomm_: お
[217.297] ~MISSING_COMMENTER_INFO~: おお
[218.861] (S)oshiro33: ありあり
[219.544] (S)the_goku_sf: お
[220.099] (S)marui_ao: おー！
[221.745] akueriasu0112: マリーザとエドが多いよ
[222.252] grsxv: クラシックだったらかっこいいけどなー
[222.818] (S)のーるん: お！？
[222.972] (S)nanonanoo2: だるまはないやろ
[223.730] (S)とっぷっぷ: ホンダ
[223.757] (S)dragoyon: 勝てよツルギーーー！
[224.486] (S)hayatekawayu: うれしいいい
[224.936] (S)dogezachann: そっちのがいいね
[225.096] ~MISSING_COMMENTER_INFO~: それは面白いかも
[225.149] (S)sabohanin: ええやん
[225.354] karina081010: おお
[230.343] (S)agakakanaina: hiirag17Boss
[230.507] (S)gontanuki: 応援してるぞー
[231.601] (S)tng_llll: 本、田
[231.711] (S)saesae321: ラシード、エド
[231.874] (S)nasp0n: あ
[231.896] (S)hotatechang55: www
[232.099] (S)琥太郎です: 知ってるけだ見てのあたのしみやろー！
[232.384] akueriasu0112: エド
[232.432] (S)z1gzagb: wwwwww
[232.594] god32282: こく兄が自分からツルギのコーチ言ってたよ
[233.125] (S)konishi625: wwwwww
[233.293] (S)magunitude: ｗｗ
[233.314] (S)giv_213: がんばれー操作忘れてるよね？w触ってなかったでしょ
[233.344] metamons2: なんで？
[233.372] (S)mon9n: こくにいコーチだったら熱い
[233.752] (S)nemuou: あ
[233.771] (S)pojittt: ファンダ
[234.858] (S)tiger6332: コーチもうわかってるよ
[235.274] ~MISSING_COMMENTER_INFO~: wwwwww
[235.313] (S)エメラルドスプラッシュ: F
[235.425] christiandior0805: ふぁん、た
[236.028] (S)awaif: wwwwwwww
[236.052] (S)motiizu: wwwwwwwwwww
[236.423] (S)desutanuru: こくにいがコーチってほんとですか
[236.642] (S)丘乃: www
[236.910] mahironian: 誰やろなあｗ
[237.148] (S)mitametako: www
[237.171] (S)umami12: ww
[237.373] (S)はちみつ832: 本田、エド、ラシード
[238.945] (S)まきすとーぶ: ふぁん、た
[238.996] akueriasu0112: ファンタの本田ね
[239.095] (S)rybjag: ふぁ
[239.187] (S)naanana__2: wwwwwww
[239.280] (S)うみゅねむ: ふぁんだ
[239.357] (S)dogezachann: 負けられない戦いがここにある
[239.693] (S)るぁ__: ww
[239.817] (S)きのころ: ふぁん、た
[239.936] (S)pnpn0: ｗｗｗｗｗｗｗｗ
[240.140] (S)パックンチョム: www
[240.387] (S)yamadasanchi: wwww
[240.474] (S)misanga22: wwww
[240.524] (S)oiccc: F
[240.616] (S)lackystpeace: ふぁん、た
[240.649] (S)zuu_mg: wwww
[240.720] jgsakaey: 初狩りの本田
[240.729] tasu2950: マリーザとか？
[241.168] パンしゃん8: 本田さんwww
[242.093] (S)キモータ: 太
